74256, BABYNEO , BABYNEO, NOT FOUND, POM. 60 G x 1, N_Q
77546, BABYNEO PREVENT , BABYNEO PREVENT, NOT FOUND, CREME DERM 45 G x 1, N_Q
58172, BAC-SULFITRIN , BAC SULFITRIN, NOT FOUND, AMP. 480 MG 5 ML x 50, N_Q
42459, BAC-SULFITRIN , BAC SULFITRIN, NOT FOUND, CPR 400 MG x 20 (/80), N_Q
58675, BACTRONEO , BACTRONEO, NOT FOUND, CREME 2 % 15 G x 1, N_Q
69828, BACTRONEO , BACTRONEO, NOT FOUND, POM. 2 % 15 G x 1, N_Q
56555, BECLONATO , BECLONATO, NOT FOUND, AMP. 1 ML x 1, N_Q
52313, BENZOAX , BENZOAX, NOT FOUND, EMULS 25 % 100 ML x 1, N_Q
52314, BENZOAX , BENZOAX, NOT FOUND, SABAO 10 % 60 G x 1, N_Q
64726, BENZOILMETRONID.MG , BENZOILMETRONID, NOT FOUND, SUSP ORAL 40 MG 80 ML x 1 (/ML), N_Q
67280, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30, N_Q
67279, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, N_Q
57684, BETSONA , BETSONA, NOT FOUND, CREME 1 MG 30 G x 1 (/G), N_Q
57685, BETSONA , BETSONA, NOT FOUND, POM. 1 MG 30 G x 1 (/G), N_Q
84333, BONTOSS , BONTOSS, NOT FOUND, XAR AD. 1.60 MG 120 ML x 1 (/ML), N_Q
84486, BONTOSS , BONTOSS, NOT FOUND, XAR INF 0.80 MG 120 ML x 1 (/ML), N_Q
85398, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 20, N_Q
85399, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 30, N_Q
85400, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 20, N_Q
85401, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 30, N_Q
67281, BROMETO IPRATRO.MG , BROMETO IPRATRO, BROMETO IPRATROPIO, SOLN INALT 0.25 MG 20 ML x 1 (, N_Q
57227, BROMIFEN , BROMIFEN, NOT FOUND, GOTAS 20 ML x 1, N_Q
75553, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, GOTAS 4 MG 20 ML x 1 (/ML), N_Q
73054, BRONDYNEO , BRONDYNEO, NOT FOUND, XAR. AD 50 MG 120 ML x 1 (/5ML), N_Q
73055, BRONDYNEO , BRONDYNEO, NOT FOUND, XAR. PED. 25 MG 120 ML x 1 (/5ML), N_Q
53457, BUCLIMAX , BUCLIMAX, NOT FOUND, SUSP ORAL 120 ML x 1, N_Q
