61987; LANZACOR ; LANZACOR; NOT FOUND; CPR REVEST 50 MG x 14; N_Q
61988; LANZACOR ; LANZACOR; NOT FOUND; CPR REVEST 50 MG x 28; N_Q
145090; LANZACOR ; LANZACOR; NOT FOUND; CPR REVEST 50 MG x 30; N_Q
78434; LANZACOR ; LANZACOR; NOT FOUND; CPR REVEST 50 MG x 490; N_Q
85412; LEVONORGESTREL MG ; LEVONORGESTREL; LEVONORGESTREL; CPR 1.50 MG x 1; N_Q
65984; LEZEPAN ; LEZEPAN; NOT FOUND; CPR 3 MG x 20; N_Q
65985; LEZEPAN ; LEZEPAN; NOT FOUND; CPR 6 MG x 20; N_Q
58744; LIDOGEL ; LIDOGEL; NOT FOUND; GEL TOP. 2 % 30 G x 1; N_Q
47463; LINCOMIRAL ; LINCOMIRAL; NOT FOUND; AMP. 300 MG 1 ML x 1; N_Q
47619; LINCOMIRAL ; LINCOMIRAL; NOT FOUND; AMP. 600 MG 2 ML x 1; N_Q
86657; LIPNEO ; LIPNEO; NOT FOUND; CPR 100 MG x 30; N_Q
65368; LIPOCLIN ; LIPOCLIN; NOT FOUND; CPR 20 MG x 30; N_Q
61989; LISOCLOR ; LISOCLOR; NOT FOUND; CPR 12.5 MG x 30 (/20); N_Q
63903; LISOPRIL ; LISOPRIL; NOT FOUND; CPR 10 MG x 30; N_Q
57750; LOMBALGINA ; LOMBALGINA; NOT FOUND; CPR 300 MG x 20; N_Q
62859; LORAPAN ; LORAPAN; NOT FOUND; CPR 1 MG x 20; N_Q
62860; LORAPAN ; LORAPAN; NOT FOUND; CPR 2 MG x 20; N_Q
72567; LORATA+PSEUDOEF.MG ; LORATA PSEUDOEF; NOT FOUND; XAR. 60 ML x 1; N_Q
104574; LORATADINA MG ; LORATADINA; LORATADINA; CPR 10 MG x 12; N_Q
74296; LORATADINA MG ; LORATADINA; LORATADINA; XAROPE 1 MG 100 ML x 1 (/ML); N_Q
76232; LORENTIL ; LORENTIL; NOT FOUND; CREME DERMAT 10 MG 20 G x 1 (/G); N_Q
76944; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 100 MG x 30; N_Q
76943; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 30; N_Q
85711; LOXAM ; LOXAM; NOT FOUND; CPR 15 MG x 10; N_Q
54606; LOXAM ; LOXAM; NOT FOUND; CPR 7.50 MG x 10; N_Q
64733; LOZIL ; LOZIL; NOT FOUND; CPR REVEST 900 MG x 12; N_Q
