77029, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 14, N_Q
77030, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 28, N_Q
78953, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 7, N_Q
77033, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 14, N_Q
77034, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 28, N_Q
77036, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 7, N_Q
98546, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, N_Q
69964, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, N_Q
63190, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1 (/ML), N_Q
78436, PARKLEN , PARKLEN, NOT FOUND, CPR 250 MG x 200 (/25), N_Q
62792, PARKLEN , PARKLEN, NOT FOUND, CPR 250 MG x 30 (/25), N_Q
72344, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 10, N_Q
66325, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 15, N_Q
46957, PIROXINID , PIROXINID, NOT FOUND, CAPS 20 MG x 15, N_Q
75308, PLESONAX , PLESONAX, NOT FOUND, DRAG 5 MG x 100, N_Q
70379, PLESONAX , PLESONAX, NOT FOUND, DRAG 5 MG x 20, N_Q
61349, PRADINOLOL , PRADINOLOL, NOT FOUND, CPR 40 MG x 40, N_Q
59614, PRADINOLOL , PRADINOLOL, NOT FOUND, CPR 80 MG x 20, N_Q
61861, PRAMIDALIN , PRAMIDALIN, NOT FOUND, CPR 250 MG x 30, N_Q
78954, PRAVASTAT SODIC MG , PRAVASTAT SODIC, NOT FOUND, CPR 10 MG x 30, N_Q
74691, PRAVASTAT SODIC MG , PRAVASTAT SODIC, NOT FOUND, CPR 20 MG x 30, N_Q
78955, PRAVASTAT SODIC MG , PRAVASTAT SODIC, NOT FOUND, CPR 40 MG x 30, N_Q
68308, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 10, N_Q
68309, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 20, N_Q
68311, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 20, N_Q
66326, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, CREME DERMAT 0.50 MG 30 G x 1 (, N_Q
66071, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, POM.DERMAT 0.50 MG 30 G x 1 (/G, N_Q
57794, PROPIOSOL , PROPIOSOL, NOT FOUND, CREME 0.50 MG 30 G x 1 (/G), N_Q
57795, PROPIOSOL , PROPIOSOL, NOT FOUND, POM. 0.50 MG 30 G x 1 (/G), N_Q
55725, PROXACIN , PROXACIN, NOT FOUND, CPR REVEST 250 MG x 6, N_Q
55726, PROXACIN , PROXACIN, NOT FOUND, CPR REVEST 500 MG x 14, N_Q
53333, PROXACIN , PROXACIN, NOT FOUND, CPR REVEST 500 MG x 6, N_Q
72905, PROXACIN , PROXACIN, NOT FOUND, SOLN OFTAL 3.50 MG 5 ML x 1 (/ML), N_Q
73191, PRURIFEN , PRURIFEN, NOT FOUND, XPE 1 MG 120 ML x 1 (/5ML), N_Q
54702, PULMOFLUX , PULMOFLUX, NOT FOUND, XAROPE 2 MG 100 ML x 1 (/5ML), N_Q
61451, PYLORIKIT , PYLORIKIT, NOT FOUND, KIT 7X8 x 56, N_Q
71655, PYLORISET , PYLORISET, NOT FOUND, KIT 7X8 x 56, N_Q
