84350, IBUFRAN , IBUFRAN, NOT FOUND, GOTAS 50 MG 30 ML x 1 (/ML), N_Q
50986, IBUFRAN , IBUFRAN, NOT FOUND, DRAG 600 MG x 30, N_Q
100159, IBUFRAN , IBUFRAN, NOT FOUND, DRAG 300 MG x 20, N_Q
100158, IBUFRAN , IBUFRAN, NOT FOUND, DRAG 400 MG x 10, N_Q
76721, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 100 MG 20 ML x 1 (/ML), N_Q
73183, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 50 MG 30 ML x 1 (/ML), N_Q
77511, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR 400 MG x 10, N_Q
33829, IODETOSS , IODETOSS, NOT FOUND, XAROPE 100 ML x 1, N_Q
58734, IPRANEO , IPRANEO, NOT FOUND, SOLN INALT 25 MG 20 ML x 1 (/ML), N_Q
85411, IVERMECTINA MG , IVERMECTINA, IVERMECTINA, CPR 6 MG x 4, N_Q
85410, IVERMECTINA MG , IVERMECTINA, IVERMECTINA, CPR 6 MG x 2, N_Q
86219, IVERNEO , IVERNEO, NOT FOUND, CPR 6 MG x 4, N_Q
86217, IVERNEO , IVERNEO, NOT FOUND, CPR 6 MG x 2, N_Q
