1165400160011; METFORDIN; METFORDIN; NOT FOUND; 500 MG COM REV CT 3 BL AL PLAS INC X 10; BFR
1165400160028; METFORDIN; METFORDIN; NOT FOUND; 850 MG COM REV CT 3 BL AL PLAS INC X 10; BFR
1165400180029; MEGAZOL; MEGAZOL; NOT FOUND; 100 MG/5 ML SUS OR CT FR VD AMB X 30 ML; BFR
1165400180010; MEGAZOL; MEGAZOL; NOT FOUND; 100 MG COM CT BL AL PVC X 6; BFR
1165400250019; METILBIO; METILBIO; NOT FOUND; 250 MG COM REV CT 3 BL AL PLAS INC X 10; BFR
1165400250027; METILBIO; METILBIO; NOT FOUND; 500 MG COM REV CT 3 BL AL PLAS INC X 10 ; BFR
1165400310054; METROTIX; METROTIX; NOT FOUND; 40 MG/ML SUS OR INF CT FR VD AMB X 80 ML; BFR
1165400310046; METROTIX; METROTIX; NOT FOUND; 100 MG GEL BG AL X 50 G; BFR
1165400310011; METROTIX; METROTIX; NOT FOUND; 250 MG COM CT BL AL  PVC X 20; BFR
1165400310021; METROTIX; METROTIX; NOT FOUND; 400 MG COM CT 2 BL AL  PVC X 10; BFR
1165400310038; METROTIX; METROTIX; NOT FOUND; 400 MG COM CT 2 BL AL  PVC X 12; BFR
1165400100025; MICOZOL; MICOZOL; NOT FOUND; 20 MG/ML LOC CT FR VD AMB X 30 ML; BFR
1165400100017; MICOZOL; MICOZOL; NOT FOUND; 20 MG/G PO TOP CT FR PLAS OPC X 30 G; BFR
1165400460013; MACROZOL; MACROZOL; NOT FOUND; 10 MG CAP GEL DURA CT FR PLAS OPC X 14; BFR
1165400460031; MACROZOL; MACROZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 14; BFR
1165400460048; MACROZOL; MACROZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 28; BFR
1165400460021; MACROZOL; MACROZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X  7; BFR
1165400460056; MACROZOL; MACROZOL; NOT FOUND; 40 MG CAP GEL DURA CT FR PLAS OPC X 7; BFR
