1165400350013; BIMOXIN; BIMOXIN; NOT FOUND; 250 MG/5ML PO PREP EXTEMP CT FR VD AMB X 60 ML; BFR
1165400350021; BIMOXIN; BIMOXIN; NOT FOUND; 250 MG/5ML PO PREP EXTEMP CT FR VD AMB X 150 ML; BFR
1165400350031; BIMOXIN; BIMOXIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; BFR
1165400350048; BIMOXIN; BIMOXIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; BFR
1165400610031; BIOTENOR; BIOTENOR; NOT FOUND; 100 MG COM CT 2 BL AL PLAS INC X 14; BFR
1165400610023; BIOTENOR; BIOTENOR; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 14; BFR
1165400610015; BIOTENOR; BIOTENOR; NOT FOUND; 25 MG COM CT 2 BL AL PLAS INC X 14; BFR
1165400620037; BIOZITROM; BIOZITROM; NOT FOUND; 200 MG/5 ML PO PREP EXT SUS OR CT FR PLAS OPC X 20 ML + DIL FLAC X 9 ML + SER ; BFR
1165400620045; BIOZITROM; BIOZITROM; NOT FOUND; 200 MG/5 ML PO PREP EXT SUS OR CT FR PLAS OPC X 30 ML + DIL FLAC X 12 ML + SER; BFR
1165400620029; BIOZITROM; BIOZITROM; NOT FOUND; 500 MG COM REV CT BL AL PVC X 3 ; BFR
1165400620010; BIOZITROM; BIOZITROM; NOT FOUND; 500 MG COM REV CT BL AL PVC X 2 ; BFR
1165400200046; BENZOLINA; BENZOLINA; NOT FOUND; 100 MG/G SAB CT 1 UNID X 60 G; BFR
1165400200021; BENZOLINA; BENZOLINA; NOT FOUND; 250 MG/ML  EMU TOP CT FR VD AMB X 100 ML; BFR
1165400200038; BENZOLINA; BENZOLINA; NOT FOUND; 250 MG/ML  EMU TOP CT FR VD AMB X 60 ML; BFR
1165400200011; BENZOLINA; BENZOLINA; NOT FOUND; 250 MG/ML  EMU TOP CT FR VD AMB X 120 ML; BFR
1165400470019; BIOGLOS; BIOGLOS; NOT FOUND; 5000UI/G+900UI/G+150MG/GPOMX40G; BFR
1165400470027; BIOGLOS; BIOGLOS; NOT FOUND; 5000UI/G+900UI/G+150MG/GPOM50CX.40G; BFR
1165400440020; BIOTOSS; BIOTOSS; NOT FOUND; 1.5MG/ML XARP INFANTIL 120 ML; BFR
1165400440012; BIOTOSS; BIOTOSS; NOT FOUND; 3.0MG/ML XARP ADULTO 120 ML; BFR
1165400440039; BIOTOSS; BIOTOSS; NOT FOUND; 30MG/ML GOTAS FRASCO 10ML; BFR
1165400630016; BIOCRIN; BIOCRIN; NOT FOUND; SOL ORAL 15ML; BFR
1165400360019; BIOSEMIDE; BIOSEMIDE; NOT FOUND; 40 MG COM CT 2BL AL PVC X 10; BFR
1165400510010; BIODROX; BIODROX; NOT FOUND; 230 MG/05 ML SUS OR CT FR VD AMB X 120 ML 01; BFR
1165400510029; BIODROX; BIODROX; NOT FOUND; 230 MG/05 ML SUS OR CT FR VD AMB X 240 ML; BFR
1165400510037; BIODROX; BIODROX; NOT FOUND; 230 MG COM MAST CT 10 STR AL X 10; BFR
1165400540025; BIOTRAZOL; BIOTRAZOL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 10; BFR
1165400540017; BIOTRAZOL; BIOTRAZOL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 15 ; BFR
1165400540033; BIOTRAZOL; BIOTRAZOL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 4; BFR
1165400100051; BIODOL; BIODOL; NOT FOUND; 20 MG CREME DERM X 28G; BFR
1165400100033; BIODOL; BIODOL; NOT FOUND; 20 MG CREME DERM X 20G; BFR
1165400400010; BIOVIT; BIOVIT; NOT FOUND; SOL OR. FR 20 ML; BFR
1165400400045; BIOVIT; BIOVIT; NOT FOUND; CX. 100 DRAGEAS; BFR
1165400400029; BIOVIT; BIOVIT; NOT FOUND; CX. 20 DRAGEAS; BFR
1165400400037; BIOVIT; BIOVIT; NOT FOUND; CX.50 DRAGEAS; BFR
