1165400380028; CLAV-AIR; CLAV AIR; NOT FOUND; 125 MG/05 ML + 31.25 MG/05 ML PO PREP EXTEMP CT 01 FR VD AMB X 75 ML; BFR
1165400380036; CLAV-AIR; CLAV AIR; NOT FOUND; 250 MG/05 ML + 62.50 MG/05 ML PO PREP EXTEMP CT 01 FR VD AMB X 75 ML; BFR
1165400380011; CLAV-AIR; CLAV AIR; NOT FOUND; 500 MG + 125 MG COM REV CT 01 BL AL PLAS INC X 12; BFR
1165400380044; CLAV-AIR; CLAV AIR; NOT FOUND; 500 MG + 125 MG COM REV CT 01 BL AL PLAS INC X 18; BFR
1165400580027; CABIOTEN; CABIOTEN; NOT FOUND; 12.5 MG COM CT 2 BL AL PLAS INC X 15; BFR
1165400580043; CABIOTEN; CABIOTEN; NOT FOUND; 25 MG COM CT 2 BL AL PLAS INC X 14; BFR
1165400580061; CABIOTEN; CABIOTEN; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 14; BFR
1165400580035; CABIOTEN; CABIOTEN; NOT FOUND; 25 MG COM CT 1 BL AL PLAS INC X 16; BFR
1165400050052; CETOZAZ; CETOZAZ; NOT FOUND; 20 MGG CREM CX 50 BG AL PLAS INC X 30 G; BFR
1165400050044; CETOZAZ; CETOZAZ; NOT FOUND; 20MG/GCREM BISNX30G; BFR
1165400050011; CETOZAZ; CETOZAZ; NOT FOUND; 200 MGCOMP 1BLX 10; BFR
1165400050028; CETOZAZ; CETOZAZ; NOT FOUND; 200 MGCOMP 3 BL X 10; BFR
1165400050036; CETOZAZ; CETOZAZ; NOT FOUND; 200 MGCOMP 50 BL X 10; BFR
1165400060015; CIMETETAX; CIMETETAX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; BFR
1165400060023; CIMETETAX; CIMETETAX; NOT FOUND; 200 MG COM CT 4 BL AL PLAS INC X 10; BFR
1165400060031; CIMETETAX; CIMETETAX; NOT FOUND; 400 MG COM CT  BL AL PLAS INC X 16; BFR
1165400060041; CIMETETAX; CIMETETAX; NOT FOUND; 800 MG COM CT  BL AL PLAS INC X 8; BFR
1165400150049; CINARIVERT; CINARIVERT; NOT FOUND; 75 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; BFR
1165400150014; CINARIVERT; CINARIVERT; NOT FOUND; 25 MG COM CT 3 BL AL PLAS INC X 30; BFR
1165400150022; CINARIVERT; CINARIVERT; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; BFR
1165400150030; CINARIVERT; CINARIVERT; NOT FOUND; 75 MG COM CT BL AL PLAS INC X 30; BFR
1165400040014; CLABIOSIN; CLABIOSIN; NOT FOUND; 125 MG PO PREP EXTEMP CT FR VD AMB X 60 ML + COLHER MEDIDA; BFR
1165400040014; CLARICINA; CLARICINA; NOT FOUND; 125 MG PO PREP EXTEMP CT FR VD AMB X 60 ML + COLHER MEDIDA; BFR
1165400040022; CLABIOSIN; CLABIOSIN; NOT FOUND; 250 MG COM REV CT 3 BL AL PLAS INC X 10; BFR
1165400040022; CLARICINA; CLARICINA; NOT FOUND; 250 MG COM REV CT 3 BL AL PLAS INC X 10; BFR
1165400020013; CIPROMIZIN; CIPROMIZIN; NOT FOUND; 250 MG COM REV CX BL AL PLAS INC X 6; BFR
1165400020021; CIPROMIZIN; CIPROMIZIN; NOT FOUND; 250 MG COM REV CX 2 BL AL PLAS INC X 7; BFR
1165400020013; CIPROMIZIN; CIPROMIZIN; NOT FOUND; 500 MG COMP 1BL X 6; BFR
1165400020048; CIPROMIZIN; CIPROMIZIN; NOT FOUND; 500 MG COM REV CX 2 BL AL PLAS INC X 7; BFR
1165400010018; CLORPROMINI; CLORPROMINI; NOT FOUND; 250 MG COM CT 3 BL AL PLAS INC X 10; BFR
1165400010026; CLORPROMINI; CLORPROMINI; NOT FOUND; 250 MG COM CT 10 BL AL PLAS INC X 10; BFR
1165400500015; COMBULCER; COMBULCER; NOT FOUND; 20 MG COM REV CT 01 BL AL PLAS INC X 07; BFR
1165400500023; COMBULCER; COMBULCER; NOT FOUND; 20 MG COM REV CT 02 BL AL PLAS INC X 07; BFR
1165400500041; COMBULCER; COMBULCER; NOT FOUND; 40 MG COM REV CT 01 BL AL PLAS INC X 07; BFR
1165400500031; COMBULCER; COMBULCER; NOT FOUND; 40 MG COM REV CT 02 BL AL PLAS INC X 07; BFR
