542012040000006; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE INF CT FR PLAS TRANSP X 100 ML +CP MED; NV7
542012060001604; CARBOTRAT; CARBOTRAT; NOT FOUND; 20 MG/ML XPE PED CT FR PLAS TRANS X 100 ML + CP MED; NV7
542012040000106; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE AD CT FR PLAS TRANSP X 100 ML + CP MED; NV7
542012060001704; CARBOTRAT; CARBOTRAT; NOT FOUND; 50 MG/ML XPE AD CT FR PLAS TRANS X 100 ML + CP MED; NV7
542012090002204; CETONAT; CETONAT; NOT FOUND; 20 MG/ML SHAMP CT FR PLAS X 100 ML ; NV7
542012050000706; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/ML SHAMP CT FR PLAS X 100 ML; NV7
542012040000206; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 15 MG/5ML XPE INF CT FR PET AMB  X 120 ML; NV7
542012040000306; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 30 MG/5ML XPE AD CT FR PET AMB  X 120 ML; NV7
542012080002106; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 7.5 MG/ML SOL OR CT FR PLAS OPC GOT X 50 ML ; NV7
542013100002606; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 15 MG / ML XPE CT FR PLAS AMB X 120 ML + CP MED ; NV7
542013100002706; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 2 MG / ML SOL OR CT FR PLAS AMB X 100 ML + SER DOSAD ; NV7
542013100002804; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 2 MG/ML SOL OR CT FR PLAS AMB X 100 ML + SER DOSAD; NV7
