1013900140021; SOLUCAO FISIOLÓGICA DE RINGER COM LACTATO DE SÓDIO; SOLUCAO FISIOLOGICA RINGER LACTATO SODIO; NOT FOUND; SOL INJ CX 12 FR 1000 ML; SAO
1013900140013; SOLUCAO FISIOLÓGICA DE RINGER COM LACTATO DE SÓDIO; SOLUCAO FISIOLOGICA RINGER LACTATO SODIO; NOT FOUND; SOL INJ CX 20 FR 500 ML; SAO
1013900140051; SOLUCAO FISIOLÓGICA DE RINGER COM LACTATO DE SÓDIO; SOLUCAO FISIOLOGICA RINGER LACTATO SODIO; NOT FOUND; SOL INJ IV CX 20 BOLS PLAS SIST FECH X 500 ML ; SAO
1013900140061; SOLUCAO FISIOLÓGICA DE RINGER COM LACTATO DE SÓDIO; SOLUCAO FISIOLOGICA RINGER LACTATO SODIO; NOT FOUND; SOL INJ IV CX 12 BOLS PLAS SIST FECH X 1000 ML ; SAO
1013900140086; SOLUCAO FISIOLÓGICA DE RINGER COM LACTATO DE SÓDIO; SOLUCAO FISIOLOGICA RINGER LACTATO SODIO; NOT FOUND; SOL INJ CX 12 FR PLAS TRANS SIST FECH X 1000 ML; SAO
1013900140078; SOLUCAO FISIOLÓGICA DE RINGER COM LACTATO DE SÓDIO; SOLUCAO FISIOLOGICA RINGER LACTATO SODIO; NOT FOUND; SOL INJ CX 20 FR PLAS TRANS SIST FECH X 500 ML; SAO
1013900190075; SOLUÇÃO FISIOLÓGICA A 0,9%; SOLUCAO FISIOLOGICA A 0 9; NOT FOUND; 9 G/L SOL INJ IV CX 80 BOLS PLAS SIST FECH X 100 ML ; SAO
1013900190083; SOLUÇÃO FISIOLÓGICA A 0,9%; SOLUCAO FISIOLOGICA A 0 9; NOT FOUND; 9 G/L SOL INJ IV CX 40 BOLS PLAS SIST FECH X 250 ML ; SAO
1013900190091; SOLUÇÃO FISIOLÓGICA A 0,9%; SOLUCAO FISIOLOGICA A 0 9; NOT FOUND; 9 G/L SOL INJ IV CX 20 BOLS PLAS SIST FECH X 500 ML ; SAO
1013900190105; SOLUÇÃO FISIOLÓGICA A 0,9%; SOLUCAO FISIOLOGICA A 0 9; NOT FOUND; 9 G/L SOL INJ IV CX 12 BOLS PLAS SIST FECH X 1000 ML ; SAO
1013900110033; SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL; SOLUCAO GLICOFISIOLOGICA SANOBIOL; NOT FOUND; SOL INJ CX 12 FR 1000 ML; SAO
1013900110025; SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL; SOLUCAO GLICOFISIOLOGICA SANOBIOL; NOT FOUND; SOL INJ CX 20 FR 500 ML; SAO
1013900110017; SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL; SOLUCAO GLICOFISIOLOGICA SANOBIOL; NOT FOUND; SOL INJ CX 40 FR 250 ML; SAO
1013900110071; SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL; SOLUCAO GLICOFISIOLOGICA SANOBIOL; NOT FOUND; (0.9G + 5G)/100ML SOL INJ IV CX 40 BOLS TRILAMINADA PP TRANS SIST FECH X 250ML; SAO
1013900110081; SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL; SOLUCAO GLICOFISIOLOGICA SANOBIOL; NOT FOUND; (0.9G + 5G)/100ML SOL INJ IV CX 20 BOLS TRILAMINADA PP TRANS SIST FECH X 500ML; SAO
1013900110098; SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL; SOLUCAO GLICOFISIOLOGICA SANOBIOL; NOT FOUND; (0.9G + 5G)/100ML SOL INJ IV CX 12 BOLS TRILAMINADA PP TRANS SIST FECH X 1000ML; SAO
1013900110128; SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL; SOLUCAO GLICOFISIOLOGICA SANOBIOL; NOT FOUND; (0.9G + 5G)/100ML SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000ML; SAO
1013900110111; SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL; SOLUCAO GLICOFISIOLOGICA SANOBIOL; NOT FOUND; (0.9G + 5G)/100ML SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500ML; SAO
1013900110101; SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL; SOLUCAO GLICOFISIOLOGICA SANOBIOL; NOT FOUND; (0.9G + 5G)/100ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250ML; SAO
1013900100020; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10% SOL INJ CX 20 FR 500 ML; SAO
1013900100011; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10% SOL INJ CX 40 FR 250 ML; SAO
1013900100038; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10%SOL INJ CX 12 FR 1000 ML; SAO
1013900100062; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% SOL INJ CX 12 FR 1000 ML; SAO
1013900100054; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% SOL INJ CX 20 FR 500 ML; SAO
1013900100046; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% SOL INJ CX 40 FR 250 ML; SAO
1013900100076; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% SOL INJ CX 80 FR 125 ML; SAO
1013900100114; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV 80 BOLS PLAS SIST FECH X 125 ML; SAO
1013900100106; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX 12 BOLS PLAS SIST FECH X 1000 ML; SAO
1013900100092; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX 20 BOLS PLAS SIST FECH X 500 ML; SAO
1013900100084; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX 40 BOLS PLAS SIST FECH X 250 ML; SAO
1013900100149; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV 12 BOLS PLAS SIST FECH X 1000 ML; SAO
1013900100130; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV 20 BOLS PLAS SIST FECH X 500 ML; SAO
1013900100122; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV 40 BOLS PLAS SIST FECH X 250 ML; SAO
1013900100211; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML; SAO
