540501501119414; VITERCAL C; VITERCAL C; NOT FOUND; 500 MG + 600 MG COM EFEV CT TB PLAS X 10; MBR
540500301116413; VENOVAZ; VENOVAZ; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 30; MBR
540500303119411; VENOVAZ; VENOVAZ; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); MBR
540500302112411; VENOVAZ; VENOVAZ; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 60; MBR
540500402117415; VERMECTIL; VERMECTIL; NOT FOUND; 6 MG COM CT ENV AL POLIET X 2; MBR
540500401110417; VERMECTIL; VERMECTIL; NOT FOUND; 6 MG COM CT ENV AL POLIET X 4; MBR
540500202118418; VASTATIL; VASTATIL; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 30; MBR
540500203114416; VASTATIL; VASTATIL; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; MBR
540500204110414; VASTATIL; VASTATIL; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 10; MBR
540500205117412; VASTATIL; VASTATIL; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 30; MBR
540500206113410; VASTATIL; VASTATIL; NOT FOUND; 80 MG COM REV CT BL AL PLAS INC X 10; MBR
540500201111411; VASTATIL; VASTATIL; NOT FOUND; 80 MG COM REV CT BL AL PLAS INC X 30; MBR
