526113100089604; ONICORYL; ONICORYL; NOT FOUND; 50 MG/ML ESM CT FR VD AMB X 2.5 ML + (10 ESP + 30 COMPRESS + 30 LIXAS); GM2
526123401173114; OFLOXACINO; OFLOXACINO; OFLOXACINO; 3 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML ; GM2
526134102113115; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL / AL X 28; GM2
526134103111116; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL / AL X 28; GM2
526134101117117; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL / AL X 28; GM2
526115702119118; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 14; GM2
526115704111114; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 14; GM2
526115701112111; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 28; GM2
526115703115116; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 7; GM2
526115705118112; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 7; GM2
526113010088006; ORLISTATE; ORLISTATE; ORLISTATE; 120 MG CAP GEL DURA CT BL AL PLAS OPC X 42; GM2
526113010088106; ORLISTATE; ORLISTATE; ORLISTATE; 120 MG CAP GEL DURA CT BL AL PLAS OPC X 84; GM2
526114050092706; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 15MG COM REV CT BL AL PLAS OPC X 30; GM2
526112050084506; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10MG COM REV CT BL AL PLAS OPC X 30; GM2
526112050084606; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10MG COM REV CT BL AL PLAS OPC X 60; GM2
526112050084706; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20MG COM REV CT BL AL PLAS OPC X 30; GM2
526134401137415; ORTOSAMIN; ORTOSAMIN; NOT FOUND; 1.5 G PO P/ SOL OR CT 30 ENV AL PLAS X 3.95 G; GM2
