526112602113423; VIDYN; VIDYN; NOT FOUND; EFERV TB X10 COMP; GM2
526112601117425; VIDYN; VIDYN; NOT FOUND; FR X 30 DRG; GM2
526112701138416; VITONICO; VITONICO; NOT FOUND; SOL FR X 500ML; GM2
526133802111419; VASIFIL; VASIFIL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 2; GM2
526133801115410; VASIFIL; VASIFIL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 4; GM2
526133803118417; VASIFIL; VASIFIL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 2; GM2
526133804114415; VASIFIL; VASIFIL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 4; GM2
526133805110413; VASIFIL; VASIFIL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 1; GM2
526133806117411; VASIFIL; VASIFIL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 2; GM2
526133808111410; VASIFIL; VASIFIL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 4; GM2
526133807113411; VASIFIL; VASIFIL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 8; GM2
526125601161116; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G; GM2
526125602168114; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G; GM2
526114060093006; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL AL X 30; GM2
526112050084006; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL/AL X 30; GM2
526112050084106; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL/AL X 30; GM2
526112050084206; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 + 25 MG COM REV CT BL AL/AL X 30; GM2
526112050084306; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 + 25 MG COM REV CT BL AL/AL X 30; GM2
526112801116422; VYTINAL; VYTINAL; NOT FOUND; FR X 60 COMP REV; GM2
526123601164119; VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA; VALERATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 1 MG/G + 5 MG/G CREM DERM CT BG AL X 30 G ; GM2
526123602160117; VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA; VALERATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 1 MG/G + 5 MG/G POM DERM CT BG AL X 30 G; GM2
526119101160116; VALERATO DE BETAMETASONA; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1MG/G POM DERM CT BG AL X 30G; GM2
526119102116110; VALERATO DE BETAMETASONA; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1MG/G CREM DERM CT BG ALX30G; GM2
526119201130111; VALPROATO DE SÓDIO; VALPROATO SODIO; VALPROATO SODIO; 50MG/ML XPE CT FR VD AMB X 100 ML; GM2
526134601111118; VALSARTANA; VALSARTANA; VALSARTANA; 160 MG COM REV CT BL AL AL X 30; GM2
526134602116113; VALSARTANA; VALSARTANA; VALSARTANA; 320 MG COM REV CT BL AL AL X 30; GM2
526134603112111; VALSARTANA; VALSARTANA; VALSARTANA; 40 MG COM REV CT BL AL AL X 30; GM2
526134604119111; VALSARTANA; VALSARTANA; VALSARTANA; 80 MG COM REV CT BL AL AL X 30; GM2
