526506301112216, FEMARA, FEMARA, NOT FOUND, 2.5 MG COM REV CT BL AL PLAS INC X 28, NVR
526506501111310, FLOTAC, FLOTAC, NOT FOUND, 140 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10, NVR
526506502118319, FLOTAC, FLOTAC, NOT FOUND, 140 MG CAP GEL DURA CT BL AL PLAS INC X 10, NVR
526506503114317, FLOTAC, FLOTAC, NOT FOUND, 140 MG CAP GEL DURA CT BL AL PLAS INC X 14, NVR
526506505117313, FLOTAC, FLOTAC, NOT FOUND, 140 MG CAP GEL DURA CT BL AL PLAS INC X 4, NVR
526506702176411, FORADIL, FORADIL, NOT FOUND, 12 MCG CAP PO INAL CT BL AL/AL X 30, NVR
526506703172418, FORADIL, FORADIL, NOT FOUND, 12 MCG CAP PO INAL CT BL AL/AL X 30 + INALADOR, NVR
526506704179416, FORADIL, FORADIL, NOT FOUND, 12 MCG CAP PO INAL CT BL AL/AL X 60, NVR
526506705175414, FORADIL, FORADIL, NOT FOUND, 12 MCG CAP PO INAL CT BL AL/AL X 60 + INALADOR, NVR
526506805171313, FORASEQ, FORASEQ, NOT FOUND, 12 MCG PO ENCAP P/ INAL CT BL AL/AL X 20 + 200 MCG PO ENCAP P/ INAL CT BL AL PLAS X 20 + INALADOR, NVR
526506806176319, FORASEQ, FORASEQ, NOT FOUND, 12 MCG PO ENCAP P/ INAL CT BL AL/AL X 20 + 400 MCG PO ENCAP P/ INAL CT BL AL PLAS X 20 + INALADOR, NVR
526506803177314, FORASEQ, FORASEQ, NOT FOUND, 12 MCG PO ENCAP P/ INAL CT BL AL/AL X 60 + 200 MCG PO ENCAP P/ INAL CT BL AL PLAS X 60, NVR
526506804173312, FORASEQ, FORASEQ, NOT FOUND, 12 MCG PO ENCAP P/ INAL CT BL AL/AL X 60 + 400 MCG PO ENCAP P/ INAL CT BL AL PLAS X 60, NVR
526506801174415, FORASEQ, FORASEQ, NOT FOUND, 12 MCG PO ENCAP P/INAL CT BL AL/AL X 60 + 200 MCG PO ENCAP P/INAL CT BL AL PLAS X 60 + INALADOR, NVR
526506802170413, FORASEQ, FORASEQ, NOT FOUND, 12 MCG PO ENCAP P/INAL CT BL AL/AL X 60 + 400 MCG PO ENCAP P/INAL CT BL AL PLAS X 60 + INALADOR, NVR
526506301112216, FEMARA, FEMARA, NOT FOUND, 2.5 MG COM REV CT BL AL PLAS INC X 28, NVR
526506501111310, FLOTAC, FLOTAC, NOT FOUND, 140 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10, NVR
