526512402111317, PARCEL, PARCEL, NOT FOUND, 1 MG + 450 MG + 40 MG DRG CT BL AL PLAS INC X 20, NVR
526512301110315, PAMELOR, PAMELOR, NOT FOUND, 10 MG CAP GEL DURA CT  BL AL PLAS INC X 20, NVR
526512302117313, PAMELOR, PAMELOR, NOT FOUND, 10 MG CAP GEL DURA CT  BL AL PLAS INC X 30, NVR
526512303131311, PAMELOR, PAMELOR, NOT FOUND, 2 MG/ML SOL OR CT FR VD AMB X 100 ML, NVR
526512304111312, PAMELOR, PAMELOR, NOT FOUND, 25 MG CAP GEL DURA CT  BL AL PLAS INC  X 20, NVR
526512305116318, PAMELOR, PAMELOR, NOT FOUND, 25 MG CAP GEL DURA CT  BL AL PLAS INC X 30, NVR
526512306112316, PAMELOR, PAMELOR, NOT FOUND, 50 MG CAP GEL DURA CT  BL AL PLAS INC X 20, NVR
526512307119314, PAMELOR, PAMELOR, NOT FOUND, 50 MG CAP GEL DURA CT BL AL PLAS INC X 30, NVR
526512308115312, PAMELOR, PAMELOR, NOT FOUND, 75 MG CAP GEL DURA CT  BL AL PLAS INC  X  20, NVR
526512309111310, PAMELOR, PAMELOR, NOT FOUND, 75 MG CAP GEL DURA  CT BL AL PLAS INC X 30, NVR
526512805143411, PROCTO-GLYVENOL, PROCTO GLYVENOL, NOT FOUND, 400 MG + 40 MG SUP RET CT STR X 10, NVR
526512804163419, PROCTO-GLYVENOL, PROCTO GLYVENOL, NOT FOUND, 50 MG/G + 20 MG/G CREM CT BG AL X 30 G + 10 APLIC, NVR
526512806166318, PROCTO-GLYVENOL, PROCTO GLYVENOL, NOT FOUND, 50 MG/G + 20 MG/G CREM CT BG AL X 60 G + APLIC, NVR
526512503112319, PARLODEL, PARLODEL, NOT FOUND, 2.5 MG COM CT BL AL/AL X 14, NVR
526512504119317, PARLODEL, PARLODEL, NOT FOUND, 2.5 MG COM CT  BL AL/AL X 28, NVR
526512701178413, PRIVINA, PRIVINA, NOT FOUND, 1 MG/ML SOL NAS CT FR PLAS OPC GOT X 15 ML, NVR
