526515001134310, TEGRETOL, TEGRETOL, NOT FOUND, 20 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOS, NVR
526515002114313, TEGRETOL, TEGRETOL, NOT FOUND, 200 MG COM CT  BL AL PLAS INC X 20, NVR
526515005113318, TEGRETOL CR, TEGRETOL CR, NOT FOUND, 200 MG COM LIB PROL CT BL AL PLAS INC X 20, NVR
526515003110311, TEGRETOL, TEGRETOL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 60, NVR
526515006111319, TEGRETOL CR, TEGRETOL CR, NOT FOUND, 200 MG COM LIB PROL CT BL AL PLAS INC X 60, NVR
526515004117311, TEGRETOL, TEGRETOL, NOT FOUND, 400 MG COM CT  BL AL PLAS INC X 20, NVR
526515007116314, TEGRETOL CR, TEGRETOL CR, NOT FOUND, 400 MG COM LIB PROL CT BL AL PLAS INC X 20, NVR
526526601111414, TEGRETOL CR, TEGRETOL CR, NOT FOUND, 400 MG COM LIB PROL CT BL AL PLAS INC X 60, NVR
526515502117419, TRIMEDAL, TRIMEDAL, NOT FOUND, 500 MG + 0.5 MG + 15 MG + 40 MG  COM REV  1 CT STR AL/AL X 24 , NVR
526515503113311, TRIMEDAL, TRIMEDAL, NOT FOUND, 500 MG COM REV CT 1 STR AL/AL X 4, NVR
526515201117411, TOFRANIL, TOFRANIL, NOT FOUND, 10 MG DRG CT BL AL PLAS INC X 20 , NVR
526515202113418, TOFRANIL, TOFRANIL, NOT FOUND, 25 MG DRG CT BL AL PLAS INC X 20 , NVR
526527903111318, TOFRANIL PAMOATO, TOFRANIL PAMOATO, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 30, NVR
526527904118316, TOFRANIL PAMOATO, TOFRANIL PAMOATO, NOT FOUND, 75 MG CAP GEL DURA CT BL AL PLAS INC X 30, NVR
526514070079204, TASIGNA, TASIGNA, NOT FOUND, 200 MG CAPGEL DURA CT BL AL PLAS INC X 112, NVR
526530601112214, TASIGNA, TASIGNA, NOT FOUND, 200 MG CAPGEL DURA CT BL AL/AL X 112, NVR
526515404115314, TRILEPTAL, TRILEPTAL, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 10, NVR
526515403119316, TRILEPTAL, TRILEPTAL, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 20, NVR
526515405111312, TRILEPTAL, TRILEPTAL, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 60, NVR
526515410131415, TRILEPTAL, TRILEPTAL, NOT FOUND, 60 MG/ML SUS OR CT FR VD AMB X 100 ML + 2 SER DOS , NVR
526515407114319, TRILEPTAL, TRILEPTAL, NOT FOUND, 600 MG COM REV CT BL AL PLAS INC X 10, NVR
526515408110317, TRILEPTAL, TRILEPTAL, NOT FOUND, 600 MG COM REV CT BL AL PLAS INC X 20, NVR
526515409117315, TRILEPTAL, TRILEPTAL, NOT FOUND, 600 MG COM REV CT BL AL PLAS INC X 60, NVR
526513030077514, TOBI, TOBI, NOT FOUND, 300 MG/5 ML SOL NEBULIZ CT ENV AL X 56 AMP PE, NVR
