1235202140157; DONERA; DONERA; NOT FOUND; 5 MG COM REV BL AL PLAS INC X 10; RBY
1235202140165; DONERA; DONERA; NOT FOUND; 5 MG COM REV BL AL PLAS INC X 30; RBY
1235202140173; DONERA; DONERA; NOT FOUND; 5 MG COM REV BL AL PLAS INC X 60; RBY
1235202140122; DONERA; DONERA; NOT FOUND; 5 MG COM REV BL AL/AL X 10; RBY
1235202140130; DONERA; DONERA; NOT FOUND; 5 MG COM REV BL AL/AL X 30; RBY
1235202140149; DONERA; DONERA; NOT FOUND; 5 MG COM REV BL AL/AL X 60; RBY
1235202140017; DONERA; DONERA; NOT FOUND; 10 MG COM REV BL AL PLAS INC X 10; RBY
1235202140025; DONERA; DONERA; NOT FOUND; 10 MG COM REV BL AL PLAS INC X 30; RBY
1235202140033; DONERA; DONERA; NOT FOUND; 10 MG COM REV BL AL PLAS INC X 60; RBY
1235202140092; DONERA; DONERA; NOT FOUND; 10 MG COM REV BL AL/AL X 10; RBY
1235202140106; DONERA; DONERA; NOT FOUND; 10 MG COM REV BL AL/AL X 30; RBY
1235202140114; DONERA; DONERA; NOT FOUND; 10 MG COM REV BL AL/AL X 60; RBY
1235201040051; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 20; RBY
1235201040027; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG COM CT BL AL PLAS INC X 20; RBY
1235201610011; DICLOFENACO DIETILAMÔNIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CT BG AL REV X 60 G  ; RBY
1235201610028; DICLOFENACO DIETILAMÔNIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CT BG AL REV X 90 G; RBY
1235200940059; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100 MG COM DESINT LENTA CT BL AL PLAS INC X 10; RBY
1235200660048; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT 10 BL AL PLAS INC X 10 ( EMB HOSP ); RBY
1235200660013; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 10; RBY
1235200660021; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT 2 BL AL PLAS INC X 10; RBY
1235200580011; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG C/ 1 BL X 10; RBY
1235200580044; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT STR AL AL X 100 (EMB HOSP); RBY
1235200580028; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT STR AL AL X 20; RBY
1235202170064; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 24 MG COM CT BL AL/AL X 30; RBY
1235202170072; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 24 MG COM CT BL AL/AL X 60; RBY
1235202170048; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 24 MG COM CT BL AL/AL X 10; RBY
1235202170056; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 24 MG COM CT BL AL/AL X 20; RBY
1235202090011; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1.0 MG/G CREM DERM CT BG AL REV X 30 G; RBY
1235201920035; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS INC X 60; RBY
1235201920027; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS INC X 30; RBY
