1235201000025; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT STR AL X 12; RBY
1235201000033; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT 2 STR AL X 12; RBY
1235200710010; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50MG/G CREME X 1 BISN C/ 10 G; RBY
1235200570014; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 10; RBY
1235200570022; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 25; RBY
1235200570030; ACICLOVIR; ACICLOVIR; ACICLOVIR; 400 MG COM CT BL AL PLAS INC X 10; RBY
1235200570049; ACICLOVIR; ACICLOVIR; ACICLOVIR; 400 MG COM CT BL AL PLAS INC X 25; RBY
1235200440013; AMOXICILINA; AMOXICILINA; AMOXICILINA; 250 MG/5ML PO SUSP ORAL C/ 1 FR X 150 ML; RBY
1235201840015; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUS OR CT FR PLAS OPC X 150 ML + COL DOSAD; RBY
1235200400070; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAPS C/ 20 BL X 10; RBY
1235200400011; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAPS C/1 BL X 6; RBY
1235200400021; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAPS C/2 BL X 10; RBY
1235201860075; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP); RBY
1235201860032; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; RBY
1235201860083; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP); RBY
1235201860040; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; RBY
1235201860105; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; RBY
1235200550021; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 125MG + 31.25MG / 5ML PO SUSP X 75 ML; RBY
1235200550013; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 50 MG/ML + 12.5 MG/ML PO SUS OR CT FR PLAS OPC X 75 ML + COL DOSAD; RBY
1235201500011; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; BD 40MG/ML + 5.7MG/ML PO SUS OR CT FR PLAS OPC X 70ML; RBY
1235201500028; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 80 MG/ML + 11.5 MG/ML PO SUS OR CT FR PLAS OPC X 70 ML ; RBY
1235200500032; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL X 100 (EMB HOSP); RBY
1235200500024; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL X 18; RBY
1235200500016; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL X 6; RBY
1235202000037; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT STR AL X 20; RBY
1235202000010; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT STR AL X 12 ; RBY
1235202000029; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT STR AL X 14; RBY
1235200500067; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL X 12; RBY
1235201500036; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 80 MG/ML + 11.5 MG/ML PO SUS OR CT FR PLAS OPC X 70 ML + CP MED; RBY
1235200640039; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 1G PO INJ C/ 1 FR AMP + 1 AMP DIL.; RBY
1235200640047; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 1G PO INJ C/ 12 FR AMP + 12 AMP DIL.; RBY
1235200640012; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 500 MG PO INJ C/ 1 FR AMP + AMP DIL X 5ML; RBY
1235200640020; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 500MG PO INJ C/ 25 FR AMP +25 AMP DIL.; RBY
1235201190061; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 28 ; RBY
1235201190029; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 28; RBY
1235201190045; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 28; RBY
1235201190088; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30; RBY
1235201190071; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30; RBY
1235201190096; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; RBY
1235200730011; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 125MG/5ML PO SUSP X 50ML; RBY
1235200730021; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML ; RBY
1235200730046; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML + CP MED; RBY
1235200730054; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 50 MG/ML PO SUS OR CT FR PLAS TRANS X 70 ML + CP MED; RBY
1235200620011; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM REV CT STR AL/AL X 10; RBY
1235200620021; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM REV CT STR AL/AL X 10; RBY
