1235200510038; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COMP C/1 STR X 10; RBY
1235200510046; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COMP C/3 STR X 10; RBY
1235200510054; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COMP C/1 STR X 10; RBY
1235200510062; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COMP C/3 STR X 10; RBY
1235200510011; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COMP C/1 STR X 10; RBY
1235200510021; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COMP C/3 STR X 10; RBY
1235201080053; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 15 MG COM REV CT 2 BL AL PLAS INC X 10; RBY
1235201080061; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 15 MG COM REV CT 3 BL AL PLAS INC X 10; RBY
1235201080029; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 7.5 MG COM REV CT 2 BL AL PLAS INC X 10; RBY
1235201570018; MELOXICAN; MELOXICAN; NOT FOUND; 7.5 MG COM CT BL AL AL X 10; RBY
1235201570026; MELOXICAN; MELOXICAN; NOT FOUND; 15 MG COM CT BL AL AL X 10; RBY
1235201720011; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS INC X 10; RBY
1235201720044; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS INC X 30; RBY
1235200990021; METILDOPA; METILDOPA; METILDOPA; 250MG COMP C/ 3 BL X 10; RBY
1235200990048; METILDOPA; METILDOPA; METILDOPA; 500MG COMP C/ 3 BL X 10; RBY
