1235202040071; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO P/ SOL INJ IV CT FA VD TRANS (SIST FEC) X 30 ML (EMB HOSP) ; RBY
1235202040081; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO P/ SOL INJ IV CT 25 FA VD TRANS (SIST FEC) X 30 ML (EMB HOSP) ; RBY
1235202040098; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO P/ SOL INJ IV CT 50 FA VD TRANS (SIST FEC) X 30 ML (EMB HOSP); RBY
1235202040012; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO P/ SOL INJ IV CT FA VD INC (SIST FEC) X 22 ML (EMB HOSP); RBY
1235202040063; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO P/ SOL INJ IV CT25 FA VD INC (SIST FEC) X 22 ML (EMB HOSP); RBY
1235202290035; IRBESARTANA+HIDROCLOROTIAZIDA; IRBESARTANA HIDROCLOROTIAZIDA; NOT FOUND; 150 MG + 12.5 MG COM CT BL AL PLAS OPC X 60; RBY
1235202290019; IRBESARTANA+HIDROCLOROTIAZIDA; IRBESARTANA HIDROCLOROTIAZIDA; NOT FOUND; 150 MG + 12.5 MG COM CT BL AL PLAS OPC X 15 ; RBY
1235202290027; IRBESARTANA+HIDROCLOROTIAZIDA; IRBESARTANA HIDROCLOROTIAZIDA; NOT FOUND; 150 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; RBY
1235202290078; IRBESARTANA+HIDROCLOROTIAZIDA; IRBESARTANA HIDROCLOROTIAZIDA; NOT FOUND; 300 MG + 12.5 MG COM CT BL AL PLAS OPC X 15 ; RBY
1235202290086; IRBESARTANA+HIDROCLOROTIAZIDA; IRBESARTANA HIDROCLOROTIAZIDA; NOT FOUND; 300 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; RBY
1235202290094; IRBESARTANA+HIDROCLOROTIAZIDA; IRBESARTANA HIDROCLOROTIAZIDA; NOT FOUND; 300 MG + 12.5 MG COM CT BL AL PLAS OPC X 60; RBY
1235202150020; IRBESARTANA; IRBESARTANA; IRBESARTANA; 150 MG COM REV BL AL PLAS INC X 30; RBY
1235202150039; IRBESARTANA; IRBESARTANA; IRBESARTANA; 150 MG COM REV BL AL PLAS INC X 60; RBY
1235202150047; IRBESARTANA; IRBESARTANA; IRBESARTANA; 300 MG COM REV BL AL PLAS INC X 15; RBY
1235202150055; IRBESARTANA; IRBESARTANA; IRBESARTANA; 300 MG COM REV BL AL PLAS INC X 30; RBY
1235202150063; IRBESARTANA; IRBESARTANA; IRBESARTANA; 300 MG COM REV BL AL PLAS INC X 60; RBY
1235202150012; IRBESARTANA; IRBESARTANA; IRBESARTANA; 150 MG COM REV BL AL PLAS INC X 15; RBY
1235201620015; ISOTRETINOÍNA; ISOTRETINOINA; ISOTRETINOINA; 0.5 MG/G GEL CT BG AL X 30 G ; RBY
1235200750020; ISOTRETINOÍNA; ISOTRETINOINA; ISOTRETINOINA; 10 MG CAP GEL MOLE CT BL AL PLAS INC X 30; RBY
1235200750047; ISOTRETINOÍNA; ISOTRETINOINA; ISOTRETINOINA; 20 MG CAP GEL MOLE CT BL AL PLAS INC X 30; RBY
1235201090024; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAPS C/ 1 BL X 10; RBY
1235201090032; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAPS C/ 1 BL X 15; RBY
1235201090016; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAPS C/ 1 BL X 4; RBY
