1235202190030; ESOMEPRAZOL MAGNESIO; ESOMEPRAZOL MAGNESIO; NOT FOUND; 20 MG COM REV CT BL AL/AL X 14; RBY
1235202190049; ESOMEPRAZOL MAGNESIO; ESOMEPRAZOL MAGNESIO; NOT FOUND; 20 MG COM REV CT BL AL/AL X 28; RBY
1235202190057; ESOMEPRAZOL MAGNESIO; ESOMEPRAZOL MAGNESIO; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; RBY
1235202190111; ESOMEPRAZOL MAGNESIO; ESOMEPRAZOL MAGNESIO; NOT FOUND; 40 MG COM REV CT BL AL/AL X 7 ; RBY
1235202190121; ESOMEPRAZOL MAGNESIO; ESOMEPRAZOL MAGNESIO; NOT FOUND; 40 MG COM REV CT BL AL/AL X 10; RBY
1235202190138; ESOMEPRAZOL MAGNESIO; ESOMEPRAZOL MAGNESIO; NOT FOUND; 40 MG COM REV CT BL AL/AL X 14; RBY
1235202190014; ESOMEPRAZOL MAGNESIO; ESOMEPRAZOL MAGNESIO; NOT FOUND; 20 MG COM REV CT BL AL/AL X 7 ; RBY
1235202190146; ESOMEPRAZOL MAGNESIO; ESOMEPRAZOL MAGNESIO; NOT FOUND; 40 MG COM REV CT BL AL/AL X 28; RBY
1235202190154; ESOMEPRAZOL MAGNESIO; ESOMEPRAZOL MAGNESIO; NOT FOUND; 40 MG COM REV CT BL AL/AL X 30; RBY
1235202190022; ESOMEPRAZOL MAGNESIO; ESOMEPRAZOL MAGNESIO; NOT FOUND; 20 MG COM REV CT BL AL/AL X 10; RBY
1235202220010; EZOBLOC; EZOBLOC; NOT FOUND; 20 MG COM REV CT BL AL/AL X 7; RBY
1235202220029; EZOBLOC; EZOBLOC; NOT FOUND; 20 MG COM REV CT BL AL/AL X 10; RBY
1235202220037; EZOBLOC; EZOBLOC; NOT FOUND; 20 MG COM REV CT BL AL/AL X 14; RBY
1235202220045; EZOBLOC; EZOBLOC; NOT FOUND; 20 MG COM REV CT BL AL/AL X 28; RBY
1235202220053; EZOBLOC; EZOBLOC; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; RBY
1235202220118; EZOBLOC; EZOBLOC; NOT FOUND; 40 MG COM REV CT BL AL/AL X 7 ; RBY
1235202220126; EZOBLOC; EZOBLOC; NOT FOUND; 40 MG COM REV CT BL AL/AL X 10; RBY
1235202220134; EZOBLOC; EZOBLOC; NOT FOUND; 40 MG COM REV CT BL AL/AL X 14; RBY
1235202220142; EZOBLOC; EZOBLOC; NOT FOUND; 40 MG COM REV CT BL AL/AL X 28; RBY
1235202220150; EZOBLOC; EZOBLOC; NOT FOUND; 40 MG COM REV CT BL AL/AL X 30; RBY
