1235202180035; SCITALAX; SCITALAX; NOT FOUND; 10 MG COM REV CT BL AL AL X 14; RBY
1235202180043; SCITALAX; SCITALAX; NOT FOUND; 10 MG COM REV CT BL AL AL X 28; RBY
1235202180019; SCITALAX; SCITALAX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 14; RBY
1235202180027; SCITALAX; SCITALAX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 28; RBY
1235202130011; SELZIC; SELZIC; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 10; RBY
1235202130021; SELZIC; SELZIC; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC 20; RBY
1235202130038; SELZIC; SELZIC; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC 30; RBY
1235202130046; SELZIC; SELZIC; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC 60; RBY
1235202130054; SELZIC; SELZIC; NOT FOUND; 600 MG COM REV CT BL AL PLAS INC X 10; RBY
1235202130062; SELZIC; SELZIC; NOT FOUND; 600 MG COM REV CT BL AL PLAS INC 20; RBY
1235202130070; SELZIC; SELZIC; NOT FOUND; 600 MG COM REV CT BL AL PLAS INC 30; RBY
1235202130089; SELZIC; SELZIC; NOT FOUND; 600 MG COM REV CT BL AL PLAS INC 60; RBY
