1235202210015; LESTRIC; LESTRIC; NOT FOUND; 150 MG COM REV BL AL PLAS INC X 15; RBY
1235202210023; LESTRIC; LESTRIC; NOT FOUND; 150 MG COM REV BL AL PLAS INC X 30; RBY
1235202210031; LESTRIC; LESTRIC; NOT FOUND; 150 MG COM REV BL AL PLAS INC X 60; RBY
1235202210041; LESTRIC; LESTRIC; NOT FOUND; 300 MG COM REV BL AL PLAS INC X 15; RBY
1235202210058; LESTRIC; LESTRIC; NOT FOUND; 300 MG COM REV BL AL PLAS INC X 30; RBY
1235202210066; LESTRIC; LESTRIC; NOT FOUND; 300 MG COM REV BL AL PLAS INC X 60; RBY
1235200690028; LAMIVUDINA; LAMIVUDINA; LAMIVUDINA; 150 MG COMP C/ 6 BL X 10; RBY
1235201990017; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 25 MG COM CT BL AL PLAS INC X 30 ; RBY
1235201990051; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 100 MG COM CT BL AL PLAS INC X 30  ; RBY
1235201990068; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 100 MG COM CT BL AL PLAS INC X 60; RBY
1235201990025; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 25 MG COM CT BL AL PLAS INC X 60; RBY
1235201990033; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 50 MG COM CT BL AL PLAS INC X 30  ; RBY
1235201990041; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 50 MG COM CT BL AL PLAS INC X 60; RBY
1235200860039; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 250 MG COM REV CT BL AL PLAS INC X 7; RBY
1235200860055; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 7; RBY
1235200860063; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 10; RBY
1235200560035; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT BL AL PLAS INC X 10; RBY
1235200560043; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT BL AL PLAS INC X 30; RBY
1235200560051; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT BL AL PLAS INC X 10; RBY
1235200560061; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT BL AL PLAS INC X 30; RBY
1235200560019; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COMP C/ 1 BL X 10; RBY
1235200560027; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT BL AL PLAS INC X 30; RBY
1235200790030; LORATADINA; LORATADINA; LORATADINA; 10 MG COM CT 2 BL AL PLAS INC X 6; RBY
1235200740017; LORAZEPAM; LORAZEPAM; LORAZEPAM; 1 MG COM CT FR PLAS OPC X 20; RBY
1235200740025; LORAZEPAM; LORAZEPAM; LORAZEPAM; 1 MG COMP C/ 1 FR X 30; RBY
1235200740033; LORAZEPAM; LORAZEPAM; LORAZEPAM; 2 MG COM CT FR PLAS OPC X 20; RBY
1235200740041; LORAZEPAM; LORAZEPAM; LORAZEPAM; 2 MG COMP C/ 1 FR X 30; RBY
1235200740041; LORAZEPAM; LORAZEPAM; LORAZEPAM; 2 MG COM CT FR PLAS OPC X 30; RBY
1235200890086; LOSARTAN POTÁSSICO; LOSARTAN POTASSICO; NOT FOUND; 12.5 MG COM REV CT BL AL PLAS OPC X 21; RBY
1235200890043; LOSARTAN POTÁSSICO; LOSARTAN POTASSICO; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 14; RBY
1235200890019; LOSARTAN POTÁSSICO; LOSARTAN POTASSICO; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 28; RBY
1235200890027; LOSARTAN POTÁSSICO; LOSARTAN POTASSICO; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 30; RBY
1235200890124; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 60; RBY
1235200490029; LOVASTATINA; LOVASTATINA; LOVASTATINA; 10 MG COMP C/3 BL X 10; RBY
1235200490037; LOVASTATINA; LOVASTATINA; LOVASTATINA; 20 MG COMP C/1 BL X 10; RBY
1235200490045; LOVASTATINA; LOVASTATINA; LOVASTATINA; 20 MG COMP C/3 BL X 10; RBY
1235200490053; LOVASTATINA; LOVASTATINA; LOVASTATINA; 40 MG COMP C/1 BL X 10; RBY
