1235202160026; PLAQUETEL; PLAQUETEL; NOT FOUND; 75 MG COM REV CT BL AL/AL X 15; RBY
1235202160018; PLAQUETEL; PLAQUETEL; NOT FOUND; 75 MG COM REV CT BL AL/AL X 14 ; RBY
1235202160034; PLAQUETEL; PLAQUETEL; NOT FOUND; 75 MG COM REV CT BL AL/AL X 28; RBY
1235202160042; PLAQUETEL; PLAQUETEL; NOT FOUND; 75 MG COM REV CT BL AL/AL X 30; RBY
1235202160050; PLAQUETEL; PLAQUETEL; NOT FOUND; 75 MG COM REV CT BL AL/AL X 90 (EMB HOSP); RBY
1235202160069; PLAQUETEL; PLAQUETEL; NOT FOUND; 75 MG COM REV CT BL AL/AL X 98 (EMB HOSP); RBY
1235202010016; PANTOPRAZOL SÓDICO; PANTOPRAZOL SODICO; NOT FOUND; 40 MG COM REV CT STP AL X 7; RBY
1235202010024; PANTOPRAZOL SÓDICO; PANTOPRAZOL SODICO; NOT FOUND; 40 MG COM REV CT STP AL X 14; RBY
1235202010032; PANTOPRAZOL SÓDICO; PANTOPRAZOL SODICO; NOT FOUND; 40 MG COM REV CT STP AL X 28; RBY
1235202060013; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; 4 MG COM CT BL AL/AL X 14; RBY
1235202060056; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; 4 MG COM CT BL AL/AL X 100 (EMB HOSP); RBY
1235202060021; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; 4 MG COM CT BL AL/AL X 15; RBY
1235202060031; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; 4 MG COM CT BL AL/AL X 30; RBY
1235202060064; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; 4 MG COM CT BL AL/AL X 300 (EMB HOSP); RBY
1235202060048; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; PERINDOPRIL ERBUMINA; 4 MG COM CT BL AL/AL X 60; RBY
1235201600014; PIROXICAM; PIROXICAM; PIROXICAM; 5 MG/G GEL CT BG AL REV X 30 G; RBY
1235200970012; PIROXICAM; PIROXICAM; PIROXICAM; 20MG CAPS C/ 1BL X 10; RBY
1235200970020; PIROXICAM; PIROXICAM; PIROXICAM; 20MG CAPS C/ 1BL X 15; RBY
1235201150019; PIROXICAM COMP.; PIROXICAM COMP; NOT FOUND; 20 MG COMP C/1 BL X 10; RBY
1235201290015; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 10 MG CAPS C/ 1 BL X 10; RBY
1235201290023; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 10 MG COM CT BL AL/AL X 30; RBY
1235201290041; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 20 MG COM CT BL AL/AL X 30; RBY
1235201290074; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 20 MG COM CT BL AL/AL X 80 (EMB HOSP); RBY
