1235200850051; BETACLAV BD; BETACLAV BD; NOT FOUND; 200 MG + 28.5 MG/5ML PO SUSP OR X 70 ML; RBY
1235200850068; BETACLAV BD; BETACLAV BD; NOT FOUND; 400 MG + 57 MG/5ML PO SUSP OR X 70 ML; RBY
1235200850017; BETACLAV BD; BETACLAV BD; NOT FOUND; 875 MG + 125 MG COMP C/ 1 STR X 4; RBY
1235200850025; BETACLAV BD; BETACLAV BD; NOT FOUND; 875 MG + 125 MG COMP C/ 3 STR X 4; RBY
1235201110033; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT 3 BL AL PLAS OPC X 10; RBY
1235201110084; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT 3 BL AL PLAS OPC X 10; RBY
1235202070019; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL/AL X 14; RBY
1235202070035; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL/AL X 28; RBY
1235202280013; BETAXETIN; BETAXETIN; NOT FOUND; 24 MG COM CT BL AL AL X 10 ; RBY
1235202280021; BETAXETIN; BETAXETIN; NOT FOUND; 24 MG COM CT BL AL AL X 20; RBY
1235202280031; BETAXETIN; BETAXETIN; NOT FOUND; 24 MG COM CT BL AL AL X 30; RBY
1235202280048; BETAXETIN; BETAXETIN; NOT FOUND; 24 MG COM CT BL  AL AL X 60; RBY
1235202200011; BIPOGINE; BIPOGINE; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; RBY
1235202200028; BIPOGINE; BIPOGINE; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 60; RBY
1235202200036; BIPOGINE; BIPOGINE; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; RBY
1235202200044; BIPOGINE; BIPOGINE; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 60; RBY
1235202200052; BIPOGINE; BIPOGINE; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; RBY
1235202200060; BIPOGINE; BIPOGINE; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 60; RBY
