1038700030015; HYFILINA; HYFILINA; NOT FOUND; CX. C/100 AMPS.; HYP
1038700020024; HYPOCINA; HYPOCINA; NOT FOUND; 20 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML; HYP
1038700230028; HYPOCINA COMPOSTA; HYPOCINA COMPOSTA; NOT FOUND; 4 MG/ML + 500 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML (EMB HOSP); HYP
1038700230011; HYPOCINA COMPOSTA; HYPOCINA COMPOSTA; NOT FOUND; 6.67MG/ML + 333.4 MG/ML SOL OR CX 50 FR PLAS OPC X 20 ML ( EMB HOSP); HYP
1597538524563; HYPOCINA COMPOSTA; HYPOCINA COMPOSTA; NOT FOUND; CONTROLE; HYP
1038700250010; HYCIMET; HYCIMET; NOT FOUND; CX. C/100 AMPS. 300MG 2ML; HYP
1038700420013; HYPOFLOX; HYPOFLOX; NOT FOUND; (CIPROFLOXACINO 200MG) CX C/ 1UN 100ML; HYP
1038700200014; HYPONASAL; HYPONASAL; NOT FOUND; CX. C/100 FRS. 20ML; HYP
1038700010095; HYPOT; HYPOT; NOT FOUND; 60 MG/ML XPE CX 50 FR VD AMB X 150 ML; HYP
1038700190016; HIPOCAÍNA HYPERBÁRICA; HIPOCAINA HYPERBARICA; NOT FOUND; 5% 2ML CX C/ 50 AMPOLAS; HYP
1038700390068; HYPOCAINA; HYPOCAINA; NOT FOUND; 20 MG/ML SOL INJ CX 100 AMP VD INC X 5 ML; HYP
1038700390033; HYPOCAINA; HYPOCAINA; NOT FOUND; 10 MG/ML SOL INJ CX 100 FA VD INC X 20 ML; HYP
1038700390092; HYPOCAINA; HYPOCAINA; NOT FOUND; 2 PCC + 0.005 MG/ML SOL INJ CX 25 FA VD AMB X 20 ML; HYP
1038700220014; HYPOSIL; HYPOSIL; NOT FOUND; 5 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML ( EMB HOSP); HYP
1038700220030; HYPOSIL; HYPOSIL; NOT FOUND; 4 MG/ML SOL OR CT CX 144 FR PLAS OPC GOT X 10 ML (REST HOSP); HYP
1038700320019; HYPOVERIN; HYPOVERIN; NOT FOUND; 50 MG/ML SOL INJ CT 10 AMP VD AMB X 2 ML; HYP
1038700290012; HYPLEX B; HYPLEX B; NOT FOUND; SOL INJ IM CX 100 AMP VD AMB X 2 ML; HYP
1038700310013; HYNAREM; HYNAREM; NOT FOUND; CX. C/100 AMPS. 3ML; HYP
1038700180012; HYNALGIM; HYNALGIM; NOT FOUND; 500 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); HYP
1038700180039; HYNALGIM; HYNALGIM; NOT FOUND; 500 MG/ML SOL INJ CX 100 AMP VD AMB X 5 ML (EMB HOSP); HYP
1038700180020; HYNALGIM; HYNALGIM; NOT FOUND; 500 MG/ML SOL OR CX 50 FR PLAS OPC CGT X 10 ML (EMB.HOSPITALAR); HYP
1038700070579; HYDREN; HYDREN; NOT FOUND; CX. C/100 AMPS.; HYP
1038700360029; HYCLIN; HYCLIN; NOT FOUND; 150MG/ML SOL INJ CT 50 AMP VD INC X 4 ML; HYP
1038700130010; HYPOCÁLCIO; HYPOCALCIO; NOT FOUND; 0.1 G/ML SOL INJ CX 100 AMP VD INC X 10 ML; HYP
1038700610017; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG/ML SOL INJ CX 5 AMP VD AMB X 1 ML (EMB HOSP) ; HYP
1038700610025; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG/ML SOL INJ CX 25 AMP VD AMB X 1 ML (EMB HOSP); HYP
1038700610033; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP); HYP
1038700300018; HYPONOR; HYPONOR; NOT FOUND; 2 MG/ML SOL INJ CX 10 AMP VD AMB X 4 ML (REST HOSP); HYP
1038700300026; HYPONOR; HYPONOR; NOT FOUND; 2 MG/ML SOL INJ CX 50 AMP VD AMB X 4 ML (REST HOSP); HYP
1038700600011; HEMITARTARATO DE NOREPINEFRINA; HEMITARTARATO NOREPINEFRINA; HEMITARTARATO NOREPINEFRINA; 2 MG/ML SOL INJ IV CX 10 AMP VD AMB X 4 ML (EMB HOSP) ; HYP
1038700600021; HEMITARTARATO DE NOREPINEFRINA; HEMITARTARATO NOREPINEFRINA; HEMITARTARATO NOREPINEFRINA; 2 MG/ML SOL INJ IV CX 50 AMP VD AMB X 4 ML (EMB HOSP); HYP
1038700370024; HYLINC; HYLINC; NOT FOUND; 600 MG SOL INJ CX 50 AMP VD INC X 2 ML; HYP
1038700540027; HYPOFARMA MANITOL 20%; HYPOFARMA MANITOL 20; NOT FOUND; 200 MG/ML SOL INJ IV CX 35 FR PE TRANS SIST FECH X 250 ML; HYP
