510100406131413, CLOB-X, CLOB X, NOT FOUND,  0.5 MG/ML LOC DERM CT FR PLAS OPC X 59 ML, GLD
510100402169416, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G GEL CT BG AL X 30 G, GLD
510100405133412, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML XAMP CT FR PLAS OPC X 118 ML, GLD
510100401162418, CLOB-X, CLOB X, NOT FOUND, BISNAGA C/ 30 GR, GLD
510100403165414, CLOB-X, CLOB X, NOT FOUND, POMADA - BISNAGA C/ 30 GR, GLD
510100404171418, CLOB-X, CLOB X, NOT FOUND, SOLUCAO TOPICA C/ 50GR, GLD
510100406131413, CLOB-X, CLOB X, NOT FOUND,  0.5 MG/ML LOC DERM CT FR PLAS OPC X 59 ML, GLD
510100402169416, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G GEL CT BG AL X 30 G, GLD
510100405133412, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML XAMP CT FR PLAS OPC X 118 ML, GLD
510100401162418, CLOB-X, CLOB X, NOT FOUND, BISNAGA C/ 30 GR, GLD
510100403165414, CLOB-X, CLOB X, NOT FOUND, POMADA - BISNAGA C/ 30 GR, GLD
510100404171418, CLOB-X, CLOB X, NOT FOUND, SOLUCAO TOPICA C/ 50GR, GLD
510100406131413, CLOB-X, CLOB X, NOT FOUND,  0.5 MG/ML LOC DERM CT FR PLAS OPC X 59 ML, GLD
510100402169416, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G GEL CT BG AL X 30 G, GLD
510100405133412, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML XAMP CT FR PLAS OPC X 118 ML, GLD
510100401162418, CLOB-X, CLOB X, NOT FOUND, BISNAGA C/ 30 GR, GLD
510100403165414, CLOB-X, CLOB X, NOT FOUND, POMADA - BISNAGA C/ 30 GR, GLD
510100404171418, CLOB-X, CLOB X, NOT FOUND, SOLUCAO TOPICA C/ 50GR, GLD
510100406131413, CLOB-X, CLOB X, NOT FOUND,  0.5 MG/ML LOC DERM CT FR PLAS OPC X 59 ML, GLD
510100402169416, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G GEL CT BG AL X 30 G, GLD
510100405133412, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML XAMP CT FR PLAS OPC X 118 ML, GLD
510100401162418, CLOB-X, CLOB X, NOT FOUND, BISNAGA C/ 30 GR, GLD
510100403165414, CLOB-X, CLOB X, NOT FOUND, POMADA - BISNAGA C/ 30 GR, GLD
510100404171418, CLOB-X, CLOB X, NOT FOUND, SOLUCAO TOPICA C/ 50GR, GLD
510100406131413, CLOB-X, CLOB X, NOT FOUND,  0.5 MG/ML LOC DERM CT FR PLAS OPC X 59 ML, GLD
510100401162418, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLD
510100402169416, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G GEL CT BG AL X 30 G, GLD
510100403165414, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G POM DERM CT BG AL X 30 G, GLD
510100404171418, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G SOL TOP CT FR PLAS OPC GOT X 50 G, GLD
510100408167318, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML LOC DERM CT FR PLAS OPC X 30 ML, GLD
510100405133412, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML XAMP CT FR PLAS OPC X 118 ML, GLD
510100409171319, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML XAMP CT FR PLAS OPC X 125 ML, GLD
510100407179312, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML XAMP CT FR PLAS OPC X 60 ML, GLD
510100406131413, CLOB-X, CLOB X, NOT FOUND,  0.5 MG/ML LOC DERM CT FR PLAS OPC X 59 ML, GLD
510100401162418, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLD
510100402169416, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G GEL CT BG AL X 30 G, GLD
510100403165414, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G POM DERM CT BG AL X 30 G, GLD
510100404171418, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G SOL TOP CT FR PLAS OPC GOT X 50 G, GLD
510100408167318, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML LOC DERM CT FR PLAS OPC X 30 ML, GLD
510100405133412, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML XAMP CT FR PLAS OPC X 118 ML, GLD
510100409171319, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML XAMP CT FR PLAS OPC X 125 ML, GLD
510100407179312, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML XAMP CT FR PLAS OPC X 60 ML, GLD
510100406131413, CLOB-X, CLOB X, NOT FOUND,  0.5 MG/ML LOC DERM CT FR PLAS OPC X 59 ML, GLD
510100401162418, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLD
510100402169416, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G GEL CT BG AL X 30 G, GLD
510100403165414, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G POM DERM CT BG AL X 30 G, GLD
510100404171418, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G SOL TOP CT FR PLAS OPC GOT X 50 G, GLD
510100408167318, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML LOC DERM CT FR PLAS OPC X 30 ML, GLD
510100405133412, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML XAMP CT FR PLAS OPC X 118 ML, GLD
510100409171319, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML XAMP CT FR PLAS OPC X 125 ML, GLD
510100407179312, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/ML XAMP CT FR PLAS OPC X 60 ML, GLD
510100406131413, CLOB-X, CLOB X, NOT FOUND,  0.5 MG/ML LOC DERM CT FR PLAS OPC X 59 ML, GLD
510100401162418, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLD
510100402169416, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G GEL CT BG AL X 30 G, GLD
510100403165414, CLOB-X, CLOB X, NOT FOUND, 0.5 MG/G POM DERM CT BG AL X 30 G, GLD
