514001602138410; DELTAVIT; DELTAVIT; NOT FOUND; SUS OR CT FR VD AMB X 120 ML; DLT
514001601115417; DELTAVIT; DELTAVIT; NOT FOUND; DRG CT FR VD AMB X 50; DLT
514001506139411; DELTAREN; DELTAREN; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC CGT X 10 ML; DLT
514001502117411; DELTAREN; DELTAREN; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 10; DLT
514001503113411; DELTAREN; DELTAREN; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 20; DLT
514001902174412; DIPRO AS; DIPRO AS; NOT FOUND; 0.64 MG/ML + 20 MG/ML SOL TOP CT FR PLAS OPC CGT X 30 ML; DLT
514001901161414; DIPRO AS; DIPRO AS; NOT FOUND; 0.64 MG/G + 30 MG/G POM DERM CT BG AL X 30 G; DLT
514002001111419; DORMELOX; DORMELOX; NOT FOUND; 15 MG COM CT FR VD AMB X 10; DLT
514002002118417; DORMELOX; DORMELOX; NOT FOUND; 7.5 MG COM CT FR VD AMB X 10; DLT
514001302134411; DELTAFLAN; DELTAFLAN; NOT FOUND; 10 MG/ML SUS OR CT FR VD AMB X 60 ML; DLT
514001301111416; DELTAFLAN; DELTAFLAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; DLT
514001304110410; DELTAFLAN; DELTAFLAN; NOT FOUND; 100 MG COM DISP CT STR AL X 12 ; DLT
514001303165416; DELTAFLAN; DELTAFLAN; NOT FOUND; 20 MG/G GEL TOP CT BG AL X 40 G; DLT
514001305133414; DELTAFLAN; DELTAFLAN; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML   ; DLT
