528504409117116, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS INC X 100 (EMB MULTI), PZ8
528504413114118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS INC X 300 (EMB MULT), PZ8
528525801113111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 15, PZ8
528525803116118, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 300 (EMB HOSP), PZ8
528504503113404, POLIBIOTIC, POLIBIOTIC, NOT FOUND, 250 MG COM CT 30 BL AL PLAS INC X 10 (EMB HOSP), PZ8
528504510111411, POLIBIOTIC, POLIBIOTIC, NOT FOUND, 250 MG COM CT BL AL/PLAS INC X 500 (EMB HOSP), PZ8
528504511116417, POLIBIOTIC, POLIBIOTIC, NOT FOUND, 250 MG COM REV CT BL AL PVC LEIT X 20, PZ8
528504512112415, POLIBIOTIC, POLIBIOTIC, NOT FOUND, 250 MG COM REV CT BL AL PVC LEIT X 300 (EMB HOSP), PZ8
528504513119413, POLIBIOTIC, POLIBIOTIC, NOT FOUND, 250 MG COM REV CT BL AL PVC LEIT X 500 (EMB HOSP), PZ8
528504507135410, POLIBIOTIC, POLIBIOTIC, NOT FOUND, 40 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML (EMB HOSP), PZ8
528504508131419, POLIBIOTIC, POLIBIOTIC, NOT FOUND, 40 MG/ML SUS OR CX 50 FR PLAS OPC X 80 ML (EMB HOSP), PZ8
528504509138417, POLIBIOTIC, POLIBIOTIC, NOT FOUND, 40 MG/ML SUS OR CX 50 FR VD AMB X 100 ML (EMB HOSP), PZ8
528525301137410, PRATI-SAL, PRATI SAL, NOT FOUND, 3.5G + 1.5G + 2.9G + 20.0G PO P/ SOL EXTEMPORANEA CT 50 SACH X 27.9G, PZ8
528525302133419, PRATI-SAL, PRATI SAL, NOT FOUND, 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 4 SACH X 27.9G, PZ8
528525318137419, PRATI-SAL, PRATI SAL, NOT FOUND, 3.5G + 1.5G + 2.9G + 20.0G PO P/SOL EXTEMPORANEA CT 4 SACH X 28.84G (SABOR LARANJA), PZ8
528504611137416, PRATICILIN, PRATICILIN, NOT FOUND, 250 MG/ 5 ML PO SUS OR CT FR PLAS AMB X 150 ML, PZ8
528504610130418, PRATICILIN, PRATICILIN, NOT FOUND, 250 MG/ 5 ML PO SUS OR CT FR PLAS AMB X 60 ML, PZ8
528504609132410, PRATICILIN, PRATICILIN, NOT FOUND, 250 MG/ 5 ML PO SUS OR CX 50 FR PLAS AMB X 150 ML (EMB HOSP), PZ8
