528530902119413, ESPAFIN COMPOSTO, ESPAFIN COMPOSTO, NOT FOUND, 250 MG + 10 MG COM REV CT BL AL PLAS INC X 20 , PZ8
528530903115411, ESPAFIN COMPOSTO, ESPAFIN COMPOSTO, NOT FOUND, 250 MG + 10 MG COM REV CT BL AL PLAS INC X 200 (EMB MULT) , PZ8
528530901112415, ESPAFIN COMPOSTO, ESPAFIN COMPOSTO, NOT FOUND, 250 MG + 10 MG COM REV CT BL AL PLAS INC X 600 (EMB MULT) , PZ8
528502809134410, ESPECTROPRIMA, ESPECTROPRIMA, NOT FOUND, 40 MG / ML + 8 MG / ML SUS OR CX 50 FR PLAS OPC X 60 ML (EMB HOSP), PZ8
528502802113418, ESPECTROPRIMA, ESPECTROPRIMA, NOT FOUND, 400 MG+80 MG COM CT 30 BL AL PLAS INC X 10 (EMB HOSP), PZ8
528530102112112, ESTOLATO DE ERITROMICINA, ESTOLATO ERITROMICINA, ESTOLATO ERITROMICINA, 500 MG COM CT BL AL PLAS AMB X 14 , PZ8
528530103119110, ESTOLATO DE ERITROMICINA, ESTOLATO ERITROMICINA, ESTOLATO ERITROMICINA, 500 MG COM CT BL AL PLAS AMB X 20, PZ8
528530115117118, ESTOLATO DE ERITROMICINA, ESTOLATO ERITROMICINA, ESTOLATO ERITROMICINA, 500 MG COM CT BL AL PLAS AMB X 350 (EMB HOSP), PZ8
528530114110111, ESTOLATO DE ERITROMICINA, ESTOLATO ERITROMICINA, ESTOLATO ERITROMICINA, 500 MG COM CT BL AL PLAS AMB X 420 (EMB HOSP), PZ8
528530113114111, ESTOLATO DE ERITROMICINA, ESTOLATO ERITROMICINA, ESTOLATO ERITROMICINA, 500 MG COM CT BL AL PLAS AMB X 560 (EMB HOSP), PZ8
528530112118113, ESTOLATO DE ERITROMICINA, ESTOLATO ERITROMICINA, ESTOLATO ERITROMICINA, 500 MG COM CT BL AL PLAS INC X 14, PZ8
528530111111115, ESTOLATO DE ERITROMICINA, ESTOLATO ERITROMICINA, ESTOLATO ERITROMICINA, 500 MG COM CT BL AL PLAS INC X 20, PZ8
528530101116114, ESTOLATO DE ERITROMICINA, ESTOLATO ERITROMICINA, ESTOLATO ERITROMICINA, 500 MG COM CT BL AL PLAS INC X 350 (EMB HOSP), PZ8
528530110115117, ESTOLATO DE ERITROMICINA, ESTOLATO ERITROMICINA, ESTOLATO ERITROMICINA, 500 MG COM CT BL AL PLAS INC X 420 (EMB HOSP), PZ8
528530109117111, ESTOLATO DE ERITROMICINA, ESTOLATO ERITROMICINA, ESTOLATO ERITROMICINA, 500 MG COM CT BL AL PLAS INC X 560 (EMB HOSP), PZ8
528530108110111, ESTOLATO DE ERITROMICINA, ESTOLATO ERITROMICINA, ESTOLATO ERITROMICINA, 500 MG COM CT BL AL PLAS OPC X 14, PZ8
