526514110079603; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 10 MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.0 ML + SIST APLIC; NVR
526514110079703; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 20 MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.0 ML + SIST APLIC; NVR
526514110079803; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 30 MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.0 ML + SIST APLIC; NVR
526527202156315; SANDOSTATIN LAR; SANDOSTATIN LAR; NOT FOUND; 10 MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.5 ML + SIST APLIC ; NVR
526527204159311; SANDOSTATIN LAR; SANDOSTATIN LAR; NOT FOUND; 20 MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.5 ML + SIST APLIC ; NVR
526527206151318; SANDOSTATIN LAR; SANDOSTATIN LAR; NOT FOUND; 30 MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.5 ML + SIST APLIC ; NVR
526513901154419; SIMULECT; SIMULECT; NOT FOUND; 20 MG PO LIOF INJ CT FA VD INC + AMP VD INC DIL X 5 ML ; NVR
526514070079307; STALEVO; STALEVO; NOT FOUND; 200 MG + 50 MG + 200 MG COM REV CT FR PLAS OPC X 10 ; NVR
526514070079407; STALEVO; STALEVO; NOT FOUND; 200 MG + 50 MG + 200 MG COM REV CT FR PLAS OPC X 30 ; NVR
526525606111211; STALEVO; STALEVO; NOT FOUND; 50 MG+ 12.5 MG+ 200MG COM REV CT FR PLAS OPC X 10; NVR
526525605113219; STALEVO; STALEVO; NOT FOUND; 50 MG+12.5 MG+200MG COM REV CT FR PLAS OPC X 30; NVR
526525601118216; STALEVO; STALEVO; NOT FOUND; 100MG+25 MG+200MG COM REV CT FR PLAS OPC X 10; NVR
526525602114214; STALEVO; STALEVO; NOT FOUND; 100 MG+ 25 MG+ 200MG COM REV CT FR PLAS OPC X 30; NVR
526525603110212; STALEVO; STALEVO; NOT FOUND; 150 + 37.5 + 200 MG COM REV CT FR PLAS OPC X 10; NVR
526525604117210; STALEVO; STALEVO; NOT FOUND; 150 MG + 37.5 MG + 200 MG COM REV CT FR PLAS OPC X 30; NVR
526513402115310; SANDIMMUN NEORAL; SANDIMMUN NEORAL; NOT FOUND; 100 MG CAP GEL MOLE CT BL AL/AL X 50; NVR
526513403138314; SANDIMMUN NEORAL; SANDIMMUN NEORAL; NOT FOUND; 100 MG/ML SOL OR CT FR VD INC X 50 ML; NVR
526513404118317; SANDIMMUN NEORAL; SANDIMMUN NEORAL; NOT FOUND; 25 MG CAP GEL MOLE CT BL AL/AL X 50; NVR
526513405114315; SANDIMMUN NEORAL; SANDIMMUN NEORAL; NOT FOUND; 50 MG CAP GEL MOLE CT BL AL/AL X 50; NVR
526513301157311; SANDIMMUN; SANDIMMUN; NOT FOUND; 50 MG/ML SOL INJ CT 10 AMP VD INC X 1 ML; NVR
526513302153318; SANDIMMUN; SANDIMMUN; NOT FOUND; 50 MG/ML SOL INJ CT 10 AMP VD INC X 5 ML; NVR
526514201113416; SLOW - K; SLOW K; NOT FOUND; 600 MG DRG CT FR PLAS OPC X 20; NVR
526514301118411; STARFORM; STARFORM; NOT FOUND; 120 MG COM REV + 500 MG COM REV CT 14 BL PVC/PVDC/ALU X 6 + 6; NVR
526514302114418; STARFORM; STARFORM; NOT FOUND; 120 MG COM REV + 500 MG COM REV CT 8 BL PVC/PVDC/ALU X 6 + 6; NVR
526514304117317; STARFORM; STARFORM; NOT FOUND; 120 MG COM REV + 850 MG COM REV CT 14 BL PVC/PVDC/ALU X 6 + 6; NVR
526514303110211; STARFORM; STARFORM; NOT FOUND; 120 MG COM REV + 850 MG COM REV CT 8 BL PVC/PVDC/ALU X 6 + 6; NVR
526514103111311; SIRDALUD; SIRDALUD; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30  ; NVR
526514401112219; STARLIX; STARLIX; NOT FOUND; 120 MG COM REV CT BL PVC/PVDC/AL X 24; NVR
526514402119217; STARLIX; STARLIX; NOT FOUND; 120 MG COM REV CT BL PVC/PVDC/AL X 48; NVR
526514403115215; STARLIX; STARLIX; NOT FOUND; 120 MG COM REV CT BL PVC/PVDC/AL X 84; NVR
526514603173316; SYNTOCINON; SYNTOCINON; NOT FOUND; 40 UI/ML SOL NAS CT FR VD AMB SPR X 5 ML; NVR
526514602150411; SYNTOCINON; SYNTOCINON; NOT FOUND; 5 UI/ML SOL INJ CT 50 AMP VD INC X 1 ML (REST HOSP); NVR
526513701155411; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 0.05 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; NVR
526513702151411; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 0.1 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; NVR
526513703158418; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 0.5 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; NVR
526513601118417; SANDOMIGRAN; SANDOMIGRAN; NOT FOUND; 0.5 MG DRG CT 2 BL AL PLAS INC X 10; NVR
