526503304110414; CIBALENA A; CIBALENA A; NOT FOUND; 250 MG + 250 MG + 65 MG COM REV CT SACH AL/PE X 10; NVR
526503305117412; CIBALENA A; CIBALENA A; NOT FOUND; 250 MG + 250 MG + 65 MG COM REV CT SACH AL/PE X 192 (EMB MULT); NVR
526502401112411; CALSAN; CALSAN; NOT FOUND; 500 MG COM MAST CT FR PLAS OPC X 30; NVR
526501902118412; CALCIUM D3; CALCIUM D3; NOT FOUND; 600 MG + 200 UI COM REV CT FR PLAS OPC X 30; NVR
526501903114410; CALCIUM D3; CALCIUM D3; NOT FOUND; 600 MG + 200 UI COM REV CT FR PLAS OPC X 60; NVR
526529401113418; CALCIUM SANDOZ + VITAMINA C LARANJA; CALCIUM SANDOZ VITAMINA C LARANJA; NOT FOUND; 327 MG + 1000 MG + 1000 MG COM EFEV CT TB PLAS X 10 ; NVR
526502303110412; CALCIUM SANDOZ FF; CALCIUM SANDOZ FF; NOT FOUND; 1750 MG + 2263 MG COM EFEV CT TB PLAS X 10; NVR
526502203116419; CALCIUM SANDOZ F; CALCIUM SANDOZ F; NOT FOUND; 875 MG + 1132 MG COM EFEV CT TB PLAS X 10; NVR
526524804112117; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 1 MG COM CT BL AL/AL X 20; NVR
526524805119115; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 2 MG COM CT BL AL/AL X 20; NVR
526524806115113; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 4 MG COM CT BL AL/AL X 20; NVR
526529701133317; CUBICIN; CUBICIN; NOT FOUND; 500 MG PO LIOF INJ CT FR AMP VD INC ; NVR
526529702131318; CUBICIN; CUBICIN; NOT FOUND; 500 MG PO LIOF INJ CT 05 FR AMP VD INC; NVR
526513080078103; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 11.6 MG/G GEL DERM CT TB AL LAMIN X 100 G   ; NVR
526513080078203; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 11.6 MG/G GEL DERM CT TB AL LAMIN X 150 G   ; NVR
526513080077903; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 11.6 MG/G GEL DERM CT TB AL LAMIN X 30 G  ; NVR
526513080078003; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 11.6 MG/G GEL DERM CT TB AL LAMIN X 60 G  ; NVR
526513080078303; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 11.6 MG/G SOL DERM AER TB AL X 85 ML ; NVR
526513080078503; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 23.2 MG/G GEL DERM CT TB AL LAMIN X 100 G     ; NVR
526513080078403; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 23.2 MG/G GEL DERM CT TB AL LAMIN X 50 G     ; NVR
526514070079103; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 4; NVR
526514010078603; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 10; NVR
526502709117319; CATAFLAM D; CATAFLAM D; NOT FOUND; 44.3 MG COM DISP CT BL AL PLAS INC X 20; NVR
526504202117418; CODATEN; CODATEN; NOT FOUND; 50 MG  + 50 MG COM REV CT BL AL PLAS INC X 10; NVR
526504201110411; CODATEN; CODATEN; NOT FOUND; 50 MG  + 50 MG COM REV CT 2 BL AL PLAS INC X 10; NVR
526502701132319; CATAFLAM; CATAFLAM; NOT FOUND; 1.8 MG/ML SUS OR CT FR VD AMB X 120 ML (SABOR MORANGO); NVR
526502708171311; CATAFLAM; CATAFLAM; NOT FOUND; 11.6 MG / G SOL TOP FILME POLIET TB AL AER X 85 ML; NVR
526502705154317; CATAFLAM; CATAFLAM; NOT FOUND; 25 MG/ML SOL INJ CT 3 AMP VD INC X 3 ML; NVR
526502703135315; CATAFLAM; CATAFLAM; NOT FOUND; 44.94 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; NVR
526502713114310; CATAFLAM; CATAFLAM; NOT FOUND; 50 MG DRG CT BL AL/PVC/PE/PVDC X 10; NVR
526502704115318; CATAFLAM; CATAFLAM; NOT FOUND; 50 MG DRG CT BL AL PVC/PE/PVDC X 20; NVR
526504301115219; COMTAN; COMTAN; NOT FOUND; 200 MG COM REV CT FR PLAS OPC X 30; NVR
526525101115218; CERTICAN; CERTICAN; NOT FOUND; 0.10 MG COM DISP CT BL AL/AL X 60; NVR
526525102111216; CERTICAN; CERTICAN; NOT FOUND; 0.25 MG COM DISP CT BL AL/AL X 60; NVR
526525103118214; CERTICAN; CERTICAN; NOT FOUND; 0.50 MG COM CT BL AL/AL X 60; NVR
526525104114212; CERTICAN; CERTICAN; NOT FOUND; 0.75 MG COM CT BL AL/AL X 60; NVR
526525105110210; CERTICAN; CERTICAN; NOT FOUND; 1.00 MG COM CT BL AL/AL X 60; NVR
526530305165317; CATAFLAM EMULGEL; CATAFLAM EMULGEL; NOT FOUND; 11.6 MG/G GEL CT TB AL X 100 G; NVR
526530308164311; CATAFLAM EMULGEL; CATAFLAM EMULGEL; NOT FOUND; 11.6 MG/G GEL CT TB AL LAMIN X 150 G; NVR
526530306161315; CATAFLAM EMULGEL; CATAFLAM EMULGEL; NOT FOUND; 11.6 MG/G GEL CT TB AL X 30 G; NVR
526530307168313; CATAFLAM EMULGEL; CATAFLAM EMULGEL; NOT FOUND; 11.6 MG/G GEL CT TB AL X 60 G; NVR
