513405001154414, MONOCEF, MONOCEF, NOT FOUND, 750 MG PO INJ IM/IV CX 50 FA VD INC, I_B
513405002150412, MONOCEF, MONOCEF, NOT FOUND, 750 MG PO INJ IM/IV CT 1 FA VD INC + 1 DIL X 6 ML, I_B
513405003157410, MONOCEF, MONOCEF, NOT FOUND, 750 MG PO INJ IM/IV CT 01 FA VD INC, I_B
513405004153419, MONOCEF, MONOCEF, NOT FOUND, 750 MG PO INJ IM/IV CX 50 FA VD INC + 50 DIL X 6 ML, I_B
513414010022106, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 1 G PO SOL INJ CT FA VD TRANS X 20 ML, I_B
513414010022206, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 1 G PO SOL INJ CX 10 FA VD TRANS X 20 ML, I_B
513414010022306, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 1 G PO SOL INJ CX 25 FA VD TRANS X 20 ML, I_B
513414010022406, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 1 G PO SOL INJ CX 50 FA VD TRANS X 20 ML, I_B
513414010022506, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 1 G PO SOL INJ CT FA VD TRANS X 20 ML + BOLS PLAS TRANS SIST FECH X 100 ML (EMB HOSP), I_B
513414010022606, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 1 G PO SOL INJ CX 10 FA VD TRANS X 20 ML + 10 BOLS PLAS TRANS SIST FECH X 100 ML (EMB HOSP), I_B
513414010022706, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 1 G PO SOL INJ CX 50 FA VD TRANS X 20 ML + 50 BOLS PLAS TRANS SIST FECH X 100 ML (EMB HOSP), I_B
513414010022806, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 1 G PO SOL INJ CX 100 FA VD TRANS X 20 ML, I_B
