513400901157419, CEFAZIMA, CEFAZIMA, NOT FOUND, CX. C/ 1 FR. + 1 AMP., I_B
513400902153417, CEFAZIMA, CEFAZIMA, NOT FOUND, CX. C/ 50 FR., I_B
513401007158419, CEMAX, CEMAX, NOT FOUND, 1.0 G PO LIOF CT FA VD INC + 01 BOLSA PLAS FLEX X 100ML (SIST FECH) (EMB HOSP), I_B
513401011155410, CEMAX, CEMAX, NOT FOUND, 1.0 G PO LIOF CX 10 FA VD INC + 10 BOLSAS PLAS FLEX X 100ML (SIST FECH) (EMB HOSP), I_B
513401004159414, CEMAX, CEMAX, NOT FOUND, 1.0 G PO LIOF CX 50 FA VD INC, I_B
513401005155412, CEMAX, CEMAX, NOT FOUND, 1.0 G PO LIOF CX 50 FA VD INC + 50 AMP DIL X 3.0 ML, I_B
513401008154417, CEMAX, CEMAX, NOT FOUND, 1.0 G PO LIOF CX 50 FA VD INC + 50 BOLSAS PLAS FLEX X 100ML (SIST FECH) (EMB HOSP), I_B
513401009150415, CEMAX, CEMAX, NOT FOUND, 2.0 G PO LIOF CT FA VD INC + BOLSA PLAS FLEX X 100ML (SIST FECH) (EMB HOSP), I_B
513401010159412, CEMAX, CEMAX, NOT FOUND, 2.0 G PO LIOF CX 10 FA VD INC + 10 BOLSAS PLAS FLEX X 100ML (SIST FECH) (EMB HOSP), I_B
513401006151410, CEMAX, CEMAX, NOT FOUND, 2.0 G PO LIOF CX 50 FA VD INC, I_B
513401012151419, CEMAX, CEMAX, NOT FOUND, 2.0 G PO LIOF CX 50 FA VD INC + 50 BOLSAS PLAS FLEX X 100ML (SIST FECH) (EMB HOSP) , I_B
513401001151412, CEMAX, CEMAX, NOT FOUND, CX. C/ 1 FA + DIL 1 G, I_B
513401003152416, CEMAX, CEMAX, NOT FOUND, CX. C/ 1 FA + DIL 500 MG, I_B
513401002156418, CEMAX, CEMAX, NOT FOUND, CX. C/ 1 FA 2 G, I_B
513401103157411, CEZOLIN, CEZOLIN, NOT FOUND, 1000 MG PO P/ SOL INJ CX 50 FA VD INC (EMB HOSP), I_B
513401102150411, CEZOLIN, CEZOLIN, NOT FOUND, CX. C/ 50 FR., I_B
513401101154413, CEZOLIN, CEZOLIN, NOT FOUND, PO P/ SOL INJ FA 1 G (IM/IV) , I_B
513406102159118, CLORIDRATO DE CEFEPIMA, CLORIDRATO CEFEPIMA, CLORIDRATO CEFEPIMA, 1G PO P/ SOL INJ CT 01 FA VD INC, I_B
