513400201112412, AMOXIPEN, AMOXIPEN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP), I_B
513413100021003, AZANEM, AZANEM, NOT FOUND, 1.0 G PO INJ CX FA VD INC, I_B
513413100021103, AZANEM, AZANEM, NOT FOUND, 1.0 G PO INJ CX 10 FA VD INC, I_B
513413100021203, AZANEM, AZANEM, NOT FOUND, 1.0 G PO INJ CX 25 FA VD INC, I_B
513404002157419, AZANEM, AZANEM, NOT FOUND, 1.0 G PO INJ CT FA VD INC + SOL DIL X 3 ML , I_B
513404006152411, AZANEM, AZANEM, NOT FOUND, 1.0 G PO INJ CT 01 FA VD INC MONOVIAL, I_B
513404007159411, AZANEM, AZANEM, NOT FOUND, 1.0 G PO INJ CT 10 FA VD INC MONOVIAL, I_B
513404008155418, AZANEM, AZANEM, NOT FOUND, 1.0 G PO INJ CX 50 FA VD INC, I_B
513400301151411, AMPLOSPEC, AMPLOSPEC, NOT FOUND, 1 G PO INJ CT 01 FA VD INC + AMP VD INC X 10 ML , I_B
513400302156415, AMPLOSPEC, AMPLOSPEC, NOT FOUND, 1 G PO INJ CX 50 FA VD INC (EMB HOSP), I_B
513405401179414, ANESEVO, ANESEVO, NOT FOUND, 1 ML/ML SOL INAL CT FR VD AMB X 100 ML (REST HOSP), I_B
513405402175412, ANESEVO, ANESEVO, NOT FOUND, 1 ML/ML SOL INAL CT FR VD AMB X 250 ML (REST HOSP), I_B
513405403171410, ANESEVO, ANESEVO, NOT FOUND, 1 ML/ML SOL INAL CT FR VD AMB X 50 ML (REST HOSP), I_B
513400102157418, AMINOCINA, AMINOCINA, NOT FOUND, 125 MG/ML SOL INJ CX AMP VD INC X 2 ML, I_B
513400103153416, AMINOCINA, AMINOCINA, NOT FOUND, 250 MG/ML SOL INJ CX AMP VD INC X 2 ML, I_B
513400101150411, AMINOCINA, AMINOCINA, NOT FOUND, 50 MG/ML SOL INJ CX AMP VD INC X 2 ML, I_B
