506409801136113, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, CM5
506409802132111, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, CM5
506400101166415, ACICLOMED, ACICLOMED, NOT FOUND, 50 MG/G DERM CT BG X 10 G, CM5
506407201166112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, CM5
506408001111118, ÁCIDO ACETILSALICÍLICO, ACIDO ACETILSALICILICO, ACIDO ACETILSALICILICO, 100 MG COM CT BL AL PLAS INC X 200 (EMB MULT), CM5
506408002116113, ÁCIDO ACETILSALICÍLICO, ACIDO ACETILSALICILICO, ACIDO ACETILSALICILICO, 500 MG COM CT BL AL PLAS INC X 100 (EMB MULT), CM5
506409101169418, ACNEZIL, ACNEZIL, NOT FOUND, 50 MG/ G GEL CT BG AL X 20 G., CM5
506400201111418, ALGEXIN, ALGEXIN, NOT FOUND, 250 MG + 10 MG DRG CT X 10, CM5
506400202132419, ALGEXIN, ALGEXIN, NOT FOUND, 333.4MG + 6.64MG/ML SOL FR 15 ML, CM5
506408703130112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 100 MG/ML PO SUSP OR CT FR VD AMB X 150 ML + CP MED, CM5
506408702134114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO SUSP OR CT FR VD AMB X 150 ML + CP MED, CM5
506408701111110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, CM5
506400504139416, AMOXIMED, AMOXIMED, NOT FOUND, 250 MG/ 5 ML PO SUS ORAL CT 50 FR VD AMB X 150 ML (EMB HOSP), CM5
506400501131414, AMOXIMED, AMOXIMED, NOT FOUND, 250 MG/5 ML PO SUS ORAL CT FR VD AMB X 150 ML, CM5
506400503116412, AMOXIMED, AMOXIMED, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, CM5
506400505119419, AMOXIMED, AMOXIMED, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 630 (EMB.HOSP), CM5
506400502136411, AMOXIMED, AMOXIMED, NOT FOUND, 500 MG/5 ML PO SUS OR CT FR X 150 ML, CM5
506400601118411, AMPLAVIT, AMPLAVIT, NOT FOUND, 15MG + 5MG + 5MG DRG X 30, CM5
506406601136417, APMED, APMED, NOT FOUND, XPE CT FR VD AMB X 240 ML, CM5
506406703117411, AZIMED, AZIMED, NOT FOUND, 500 MG CAP GEL CT 1 BL PLAS X 3, CM5
506406704113411, AZIMED, AZIMED, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 5, CM5
506409801136113, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, CM5
506409802132111, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, CM5
506400101166415, ACICLOMED, ACICLOMED, NOT FOUND, 50 MG/G DERM CT BG X 10 G, CM5
506407201166112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, CM5
506408001111118, ÁCIDO ACETILSALICÍLICO, ACIDO ACETILSALICILICO, ACIDO ACETILSALICILICO, 100 MG COM CT BL AL PLAS INC X 200 (EMB MULT), CM5
506408002116113, ÁCIDO ACETILSALICÍLICO, ACIDO ACETILSALICILICO, ACIDO ACETILSALICILICO, 500 MG COM CT BL AL PLAS INC X 100 (EMB MULT), CM5
506400201111418, ALGEXIN, ALGEXIN, NOT FOUND, 250 MG + 10 MG DRG CT X 10, CM5
506400202132419, ALGEXIN, ALGEXIN, NOT FOUND, 333.4MG + 6.64MG/ML SOL FR 15 ML, CM5
506408703130112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 100 MG/ML PO SUSP OR CT FR VD AMB X 150 ML + CP MED, CM5
506408702134114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO SUSP OR CT FR VD AMB X 150 ML + CP MED, CM5
506408701111110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, CM5
506400504139416, AMOXIMED, AMOXIMED, NOT FOUND, 250 MG/ 5 ML PO SUS ORAL CT 50 FR VD AMB X 150 ML (EMB HOSP), CM5
506400501131414, AMOXIMED, AMOXIMED, NOT FOUND, 250 MG/5 ML PO SUS ORAL CT FR VD AMB X 150 ML, CM5
506400503116412, AMOXIMED, AMOXIMED, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, CM5
506400505119419, AMOXIMED, AMOXIMED, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 630 (EMB.HOSP), CM5
506400502136411, AMOXIMED, AMOXIMED, NOT FOUND, 500 MG/5 ML PO SUS OR CT FR X 150 ML, CM5
506406601136417, APMED, APMED, NOT FOUND, XPE CT FR VD AMB X 240 ML, CM5
506406703117411, AZIMED, AZIMED, NOT FOUND, 500 MG CAP GEL CT 1 BL PLAS X 3, CM5
506406704113411, AZIMED, AZIMED, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 5, CM5
506409801136113, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, CM5
506409802132111, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, CM5
506410101169111, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 10 G, CM5
506400101166415, ACICLOMED, ACICLOMED, NOT FOUND, 50 MG/G DERM CT BG X 10 G, CM5
506407201166112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, CM5
506408001111118, ÁCIDO ACETILSALICÍLICO, ACIDO ACETILSALICILICO, ACIDO ACETILSALICILICO, 100 MG COM CT BL AL PLAS INC X 200 (EMB MULT), CM5
506408002116113, ÁCIDO ACETILSALICÍLICO, ACIDO ACETILSALICILICO, ACIDO ACETILSALICILICO, 500 MG COM CT BL AL PLAS INC X 100 (EMB MULT), CM5
506400201111418, ALGEXIN, ALGEXIN, NOT FOUND, 250 MG + 10 MG DRG CT X 10, CM5
506400202132419, ALGEXIN, ALGEXIN, NOT FOUND, 333.4MG + 6.64MG/ML SOL FR 15 ML, CM5
506408703130112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 100 MG/ML PO SUSP OR CT FR VD AMB X 150 ML + CP MED, CM5
506408702134114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO SUSP OR CT FR VD AMB X 150 ML + CP MED, CM5
506408701111110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, CM5
506400504139416, AMOXIMED, AMOXIMED, NOT FOUND, 250 MG/ 5 ML PO SUS ORAL CT 50 FR VD AMB X 150 ML (EMB HOSP), CM5
506400501131414, AMOXIMED, AMOXIMED, NOT FOUND, 250 MG/5 ML PO SUS ORAL CT FR VD AMB X 150 ML, CM5
506400503116412, AMOXIMED, AMOXIMED, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, CM5
506400505119419, AMOXIMED, AMOXIMED, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 630 (EMB.HOSP), CM5
506400502136411, AMOXIMED, AMOXIMED, NOT FOUND, 500 MG/5 ML PO SUS OR CT FR X 150 ML, CM5
506406601136417, APMED, APMED, NOT FOUND, XPE CT FR VD AMB X 240 ML, CM5
506406703117411, AZIMED, AZIMED, NOT FOUND, 500 MG CAP GEL CT 1 BL PLAS X 3, CM5
506406704113411, AZIMED, AZIMED, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 5, CM5
506409801136113, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, CM5
506409802132111, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, CM5
506410101169111, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 10 G, CM5
506400101166415, ACICLOMED, ACICLOMED, NOT FOUND, 50 MG/G DERM CT BG X 10 G, CM5
506407201166112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, CM5
506408001111118, ÁCIDO ACETILSALICÍLICO, ACIDO ACETILSALICILICO, ACIDO ACETILSALICILICO, 100 MG COM CT BL AL PLAS INC X 200 (EMB MULT), CM5
506408002116113, ÁCIDO ACETILSALICÍLICO, ACIDO ACETILSALICILICO, ACIDO ACETILSALICILICO, 500 MG COM CT BL AL PLAS INC X 100 (EMB MULT), CM5
506400201111418, ALGEXIN, ALGEXIN, NOT FOUND, 250 MG + 10 MG DRG CT X 10, CM5
506400202132419, ALGEXIN, ALGEXIN, NOT FOUND, 333.4MG + 6.64MG/ML SOL FR 15 ML, CM5
506408703130112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 100 MG/ML PO SUSP OR CT FR VD AMB X 150 ML + CP MED, CM5
506408702134114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO SUSP OR CT FR VD AMB X 150 ML + CP MED, CM5
506408701111110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, CM5
506400504139416, AMOXIMED, AMOXIMED, NOT FOUND, 250 MG/ 5 ML PO SUS ORAL CT 50 FR VD AMB X 150 ML (EMB HOSP), CM5
506400501131414, AMOXIMED, AMOXIMED, NOT FOUND, 250 MG/5 ML PO SUS ORAL CT FR VD AMB X 150 ML, CM5
506400503116412, AMOXIMED, AMOXIMED, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, CM5
506400505119419, AMOXIMED, AMOXIMED, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 630 (EMB.HOSP), CM5
506400502136411, AMOXIMED, AMOXIMED, NOT FOUND, 500 MG/5 ML PO SUS OR CT FR X 150 ML, CM5
506406601136417, APMED, APMED, NOT FOUND, XPE CT FR VD AMB X 240 ML, CM5
506406703117411, AZIMED, AZIMED, NOT FOUND, 500 MG CAP GEL CT 1 BL PLAS X 3, CM5
506406704113411, AZIMED, AZIMED, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 5, CM5
506409801136113, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, CM5
506409802132111, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, CM5
506410101169111, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 10 G, CM5
506400101166415, ACICLOMED, ACICLOMED, NOT FOUND, 50 MG/G DERM CT BG X 10 G, CM5
506407201166112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, CM5
506408001111118, ÁCIDO ACETILSALICÍLICO, ACIDO ACETILSALICILICO, ACIDO ACETILSALICILICO, 100 MG COM CT BL AL PLAS INC X 200 (EMB MULT), CM5
