528103001117418, TONGIFORT, TONGIFORT, NOT FOUND, 30 DRG, PLB
528103002113416, TONGIFORT, TONGIFORT, NOT FOUND, 60 DRG, PLB
528103102118411, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 5 BL AL PLAS LARANJA X 4, PLB
528103103114418, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 50 BL AL PLAS LARANJA X 4, PLB
528103101138417, TYLOL, TYLOL, NOT FOUND, GOTAS 15 ML, PLB
528103102118411, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 5 BL AL PLAS LARANJA X 4, PLB
528103103114418, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 50 BL AL PLAS LARANJA X 4, PLB
528103101138417, TYLOL, TYLOL, NOT FOUND, GOTAS 15 ML, PLB
528103102118411, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 5 BL AL PLAS LARANJA X 4, PLB
528103103114418, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 50 BL AL PLAS LARANJA X 4, PLB
528103101138417, TYLOL, TYLOL, NOT FOUND, GOTAS 15 ML, PLB
528103102118411, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 5 BL AL PLAS LARANJA X 4, PLB
528103103114418, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 50 BL AL PLAS LARANJA X 4, PLB
528103101138417, TYLOL, TYLOL, NOT FOUND, GOTAS 15 ML, PLB
528103102118411, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 5 BL AL PLAS LARANJA X 4, PLB
528103103114418, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 50 BL AL PLAS LARANJA X 4, PLB
528103101138417, TYLOL, TYLOL, NOT FOUND, GOTAS 15 ML, PLB
528103102118411, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 5 BL AL PLAS LARANJA X 4, PLB
528103103114418, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 50 BL AL PLAS LARANJA X 4, PLB
528103101138417, TYLOL, TYLOL, NOT FOUND, GOTAS 15 ML, PLB
528103102118411, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 5 BL AL PLAS LARANJA X 4, PLB
528103103114418, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 50 BL AL PLAS LARANJA X 4, PLB
528103101138417, TYLOL, TYLOL, NOT FOUND, GOTAS 15 ML, PLB
528103102118411, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 5 BL AL PLAS LARANJA X 4, PLB
528103103114418, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 50 BL AL PLAS LARANJA X 4, PLB
528103101138417, TYLOL, TYLOL, NOT FOUND, GOTAS 15 ML, PLB
528103102118411, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 5 BL AL PLAS LARANJA X 4, PLB
528103103114418, TYLOL, TYLOL, NOT FOUND, 750MG COM CT 50 BL AL PLAS LARANJA X 4, PLB
528103101138417, TYLOL, TYLOL, NOT FOUND, GOTAS 15 ML, PLB
528103101138417, TYLOL, TYLOL, NOT FOUND, 200 MG/ML SOL OR CT FR PLAS GOT X 15 ML, PLB
528103102118411, TYLOL, TYLOL, NOT FOUND, 750 MG COM CT 5 BL AL PLAS LARANJA X 4, PLB
528103103114418, TYLOL, TYLOL, NOT FOUND, 750 MG COM CT 50 BL AL PLAS LARANJA X 4, PLB
528103101138417, TYLOL, TYLOL, NOT FOUND, 200 MG/ML SOL OR CT FR PLAS GOT X 15 ML, PLB
528103102118411, TYLOL, TYLOL, NOT FOUND, 750 MG COM CT 5 BL AL PLAS LARANJA X 4, PLB
528103103114418, TYLOL, TYLOL, NOT FOUND, 750 MG COM CT 50 BL AL PLAS LARANJA X 4, PLB
