528102701174416, SORINAN, SORINAN, NOT FOUND, 30 ML ADULTO, PLB
528102702170414, SORINAN, SORINAN, NOT FOUND, 30 ML INFANTIL, PLB
528102802116411, SPECTORUB, SPECTORUB, NOT FOUND, 20 PASTILHAS, PLB
528102801136419, SPECTORUB, SPECTORUB, NOT FOUND, SPRAY 30 ML, PLB
528102903133419, SPECTOSAN, SPECTOSAN, NOT FOUND, (5.0 + 2.5 + 0.1) MG/ML XPE CT FR VD AMB X 100 ML SABOR MEL, PLB
528102904131411, SPECTOSAN, SPECTOSAN, NOT FOUND, (6.60 + 3.30 + 0.12) MG/ML XPE CT FR VD AMB X 150 ML SABOR MEL, PLB
528102901130412, SPECTOSAN, SPECTOSAN, NOT FOUND, XPE. 100 ML, PLB
528102902137410, SPECTOSAN, SPECTOSAN, NOT FOUND, XPE. 150 ML, PLB
528104902118412, SULFTRIN, SULFTRIN, NOT FOUND, 400 MG + 80 MG/ COM CT BL AL PLAS INC X 20, PLB
528104901138411, SULFTRIN, SULFTRIN, NOT FOUND, 40MG+8MG/ML SUS OR CT FR VD AMB X 100 ML, PLB
528102701174416, SORINAN, SORINAN, NOT FOUND, 30 ML ADULTO, PLB
528102702170414, SORINAN, SORINAN, NOT FOUND, 30 ML INFANTIL, PLB
528102802116411, SPECTORUB, SPECTORUB, NOT FOUND, 20 PASTILHAS, PLB
528102801136419, SPECTORUB, SPECTORUB, NOT FOUND, SPRAY 30 ML, PLB
528102903133419, SPECTOSAN, SPECTOSAN, NOT FOUND, (5.0 + 2.5 + 0.1) MG/ML XPE CT FR VD AMB X 100 ML SABOR MEL, PLB
528102904131411, SPECTOSAN, SPECTOSAN, NOT FOUND, (6.60 + 3.30 + 0.12) MG/ML XPE CT FR VD AMB X 150 ML SABOR MEL, PLB
528102901130412, SPECTOSAN, SPECTOSAN, NOT FOUND, XPE. 100 ML, PLB
528102902137410, SPECTOSAN, SPECTOSAN, NOT FOUND, XPE. 150 ML, PLB
528104902118412, SULFTRIN, SULFTRIN, NOT FOUND, 400 MG + 80 MG/ COM CT BL AL PLAS INC X 20, PLB
528104901138411, SULFTRIN, SULFTRIN, NOT FOUND, 40MG+8MG/ML SUS OR CT FR VD AMB X 100 ML, PLB
528102701174416, SORINAN, SORINAN, NOT FOUND, 30 ML ADULTO, PLB
528102702170414, SORINAN, SORINAN, NOT FOUND, 30 ML INFANTIL, PLB
528102802116411, SPECTORUB, SPECTORUB, NOT FOUND, 20 PASTILHAS, PLB
528102801136419, SPECTORUB, SPECTORUB, NOT FOUND, SPRAY 30 ML, PLB
528102903133419, SPECTOSAN, SPECTOSAN, NOT FOUND, (5.0 + 2.5 + 0.1) MG/ML XPE CT FR VD AMB X 100 ML SABOR MEL, PLB
528102904131411, SPECTOSAN, SPECTOSAN, NOT FOUND, (6.60 + 3.30 + 0.12) MG/ML XPE CT FR VD AMB X 150 ML SABOR MEL, PLB
528102901130412, SPECTOSAN, SPECTOSAN, NOT FOUND, XPE. 100 ML, PLB
528102902137410, SPECTOSAN, SPECTOSAN, NOT FOUND, XPE. 150 ML, PLB
