525421701150311; CETROTIDE; CETROTIDE; NOT FOUND; 0.25 MG PO LIOF INJ CT FA VD INC + 1 SER DIL + 2 AGULHAS + 2 TOALHAS; M_S
525401505119410; CEBION; CEBION; NOT FOUND; 1G COM EFERV EST CART TB PLAS X 10; M_S
525401506115419; CEBION; CEBION; NOT FOUND; 1G COM EFERV EST TB PLAS X 10 - SABOR ACEROLA; M_S
525401510112410; CEBION; CEBION; NOT FOUND; 1G COM EFERV SEM ACUCAR EST CART TB PLAS X 10; M_S
525401501113418; CEBION; CEBION; NOT FOUND; 1 G COM EFERV EST CART 2 TB PLAS X 10; M_S
525401502111419; CEBION; CEBION; NOT FOUND; 1 G COM EFERV EST CART 2 TB PLAS X 10 SABOR LARANJ; M_S
525401503116414; CEBION; CEBION; NOT FOUND; 1 G COM EFERV EST CART 3 TB PLAS X 10 SABOR ACEROL; M_S
525401504112412; CEBION; CEBION; NOT FOUND; 1 G COM EFERV EST CART 3 TB PLAS X 10 SABOR LARANJ; M_S
525401511135414; CEBION; CEBION; NOT FOUND; 100 MG/ML SOL OR EST CART FR PLAS OPC GOT X 30 ML; M_S
525401508118415; CEBION; CEBION; NOT FOUND; 2 G COM EFERV EST CART TB PLAS X 10; M_S
525401507111417; CEBION; CEBION; NOT FOUND; 2 G COM EFERV EST CART 02 TB PLAS X 10; M_S
525401512131412; CEBION; CEBION; NOT FOUND; 200 MG/ML SOL OR EST CART FR VD AMB X 30 ML GOTAS; M_S
525401517117418; CEBION; CEBION; NOT FOUND; 500 MG COM LIB MOD CT BL AL/AL X 30; M_S
525402401139413; CLINDAL AZ; CLINDAL AZ; NOT FOUND; 40 MG/ML PO PREP EXT CT FR PLAS OPC X 600 MG; M_S
525402402135411; CLINDAL AZ; CLINDAL AZ; NOT FOUND; 40 MG/ML PO PREP EXT CT FR PLAS OPC X 900 MG; M_S
525402403115414; CLINDAL AZ; CLINDAL AZ; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 2; M_S
525402404111412; CLINDAL AZ; CLINDAL AZ; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3 ; M_S
525402406114419; CLINDAL AZ; CLINDAL AZ; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 5; M_S
525403001118417; CONCOR; CONCOR; NOT FOUND; 1.25 MG COM REV EST CART  BL AL PLAS INC X 14; M_S
525403005113411; CONCOR; CONCOR; NOT FOUND; 1.25 MG COM REV EST CART 2 BL AL PLAS INC X 14; M_S
525403002114415; CONCOR; CONCOR; NOT FOUND; 10 MG COM REV EST CART BL AL PLAS INC X 14; M_S
525403006111410; CONCOR; CONCOR; NOT FOUND; 10 MG COM REV EST CART 2 BL AL PLAS INC X 14; M_S
525403003110413; CONCOR; CONCOR; NOT FOUND; 2.5 MG COM REV EST CART BL AL PLAS INC X 14; M_S
525403007116416; CONCOR; CONCOR; NOT FOUND; 2.5 MG COM REV EST  CART 2 BL AL PLAS INC X 14; M_S
525403004117411; CONCOR; CONCOR; NOT FOUND; 5 MG COM REV EST CART BL AL PLAS INC X 14; M_S
525403008112414; CONCOR; CONCOR; NOT FOUND; 5 MG COM REV EST CART 2 BL AL PLAS INC X 14; M_S
525420001112419; CELAPRAM; CELAPRAM; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; M_S
525401401135126; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 20MG/ML XPE CT FR PLAS AMB X 100ML; M_S
525401402131124; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 50MG/ML XPE CT FR PLAS AMB X 100ML; M_S
525401601118411; CEBION CALCIO; CEBION CALCIO; NOT FOUND; 500 MG + 600 MG COM EFEV EST CART TB PLAS X 10; M_S
525402205151414; CITONEURIN; CITONEURIN; NOT FOUND; (100 + 100) MG/ML SOL INJ IM CX CAMA 3 AMP VD AMB X 1ML + 1000 MCG/ML 3 AMP X 1ML; M_S
525402206158412; CITONEURIN; CITONEURIN; NOT FOUND;  (100 + 100) MG/ML SOL INJ IM CX CAMA 3 AMP VD AMB X 1ML + 5000 MCG/ML 3 AMP X 1ML; M_S
525402202111411; CITONEURIN; CITONEURIN; NOT FOUND; 5000 MCG + 100 MG + 100 MG DRG EST CT BL AL PLAS AMB X 20; M_S
525402101119115; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 30; M_S
525402302114110; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT BL AL PLAS X 10; M_S
525402301118112; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 14; M_S
525417902112117; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; M_S
525417901116119; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6 ; M_S
525402605117108; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1G COM REV CT BL AL PLAS INC  X 30 ; M_S
525402602118111; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 30; M_S
525402601111113; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 60; M_S
525402603114111; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30 ; M_S
525402604110118; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 60; M_S
525418001119111; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT FR PLAS OPC X 20; M_S
525418002115118; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT FR PLAS OPC X 30; M_S
525402701116117; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV EST FR PLAS OPC X 20; M_S
