525419606138413; FLORALYTE; FLORALYTE; NOT FOUND; 4.68 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 20 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR NATURAL); M_S
525419607134411; FLORALYTE; FLORALYTE; NOT FOUND; 2.05 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 22.75 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR CEREJA); M_S
525419608130312; FLORALYTE; FLORALYTE; NOT FOUND; 2.05 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 22.75 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR MACA); M_S
525419609137310; FLORALYTE; FLORALYTE; NOT FOUND; 2.05 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 22.75 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR COCO); M_S
525419610135415; FLORALYTE; FLORALYTE; NOT FOUND; 4.68 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 20 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR COCO); M_S
525419601136412; FLORALYTE; FLORALYTE; NOT FOUND; 2.05 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 22.75 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR TUTTI-FRUTTI) ; M_S
525419602132410; FLORALYTE; FLORALYTE; NOT FOUND; 2.05 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 22.75 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR LARANJA); M_S
525419603139419; FLORALYTE; FLORALYTE; NOT FOUND; 2.05 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 22.75 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR GUARANA); M_S
525419604135417; FLORALYTE; FLORALYTE; NOT FOUND; 2.05 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 22.75 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR ABACAXI) ; M_S
525419605131415; FLORALYTE; FLORALYTE; NOT FOUND; 4.68 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 20 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR ABACAXI); M_S
525419801119414; FLOXOCIP; FLOXOCIP; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; M_S
525419802115412; FLOXOCIP; FLOXOCIP; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; M_S
525404604134412; FLOGAN SOLÚVEL; FLOGAN SOLUVEL; NOT FOUND; 100 MG COM SOL CT CART BL AL PLAS TRANS X 10; M_S
525404606137419; FLOGAN SOLÚVEL; FLOGAN SOLUVEL; NOT FOUND; 50 MG COM SOL EST CART 2 BL AL PLAS TRANS X 10; M_S
525404302111118; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1MG COM REV CT BL AL PLAS INC X 30; M_S
525404304114114; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS INC X 60; M_S
525404402116413; FLAXIN; FLAXIN; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 15; M_S
525404303118116; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS INC X 30; M_S
525404401111418; FLAXIN; FLAXIN; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 30; M_S
525404721114418; FLORATIL; FLORATIL; NOT FOUND; 200 MG + 250 MG CAP GEL DURA CT BL AL AL 3 CAP X 200 MG + 3 CAP X 250 MG; M_S
525404723117414; FLORATIL; FLORATIL; NOT FOUND; 200 MG + 250 MG CAP GEL DURA CT BL AL AL 6 CAP X 200 MG + 6 CAP X 250 MG; M_S
525404722137411; FLORATIL; FLORATIL; NOT FOUND; 200 MG/G + 250 MG/1.25 G PO ORAL CART 6 SACH X 1 G + 6 SACH X 1.25 G; M_S
525404724131410; FLORATIL; FLORATIL; NOT FOUND; 200 MG/G + 250 MG/1.25 G PO ORAL CART 3 SACH X 1 G + 3 SACH X 1.25 G; M_S
525404701113416; FLORATIL; FLORATIL; NOT FOUND; 100 MG CAP GEL DURA CART TB PLAS X 12; M_S
525404702111417; FLORATIL; FLORATIL; NOT FOUND; 100 MG CAP GEL DURA CART FR VD INC X 12; M_S
525404708118413; FLORATIL; FLORATIL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL AL X 12; M_S
525404709114411; FLORATIL; FLORATIL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL AL X 3; M_S
525404720118411; FLORATIL; FLORATIL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL AL X 6; M_S
525404710112419; FLORATIL; FLORATIL; NOT FOUND; 200 MG CAP GEL DURA CT BL AL AL X 3; M_S
525404703116412; FLORATIL; FLORATIL; NOT FOUND; 200 MG CAP GEL DURA CART FR VD INC X 6; M_S
525404704112410; FLORATIL; FLORATIL; NOT FOUND; 200 MG CAP GEL DURA CART TB PLAS X 6; M_S
525404711119417; FLORATIL; FLORATIL; NOT FOUND; 200 MG CAP GEL DURA CT BL AL AL X 6; M_S
525404707138410; FLORATIL; FLORATIL; NOT FOUND; 200 MG/G PO OR CART 25  SACH X 1 G (EMB FRAC) ; M_S
525404705135414; FLORATIL; FLORATIL; NOT FOUND; 200 MG/G PO ORAL CART 4 SACHE X 1G; M_S
525404706131412; FLORATIL; FLORATIL; NOT FOUND; 200 MG/G PO ORAL CART 6 SACHE X 1G; M_S
525404712115415; FLORATIL; FLORATIL; NOT FOUND; 250 MG CAP GEL DURA CT BL AL AL X 10; M_S
