525413010043803; GONAL F; GONAL F; NOT FOUND; 300 UI (22 MCG) SOL INJ SC CT CAN APLIC CARVD TRANS X 0.5 ML     ; M_S
525421302159412; GONAL F; GONAL F; NOT FOUND; 300 UI (22 MCG) SOL INJ SC CT APLICADOR PRE-CARREGADO VD INC X 0.5 ML; M_S
525413010043903; GONAL F; GONAL F; NOT FOUND; 450 UI (33 MCG) SOL INJ SC CT  CAN APLIC CAR VD TRANS X 0.75 ML    ; M_S
525421303155410; GONAL F; GONAL F; NOT FOUND; 450 UI (33 MCG) SOL INJ SC CT APLICADOR PRE-CARREGADO VD INC X 0.75 ML; M_S
525421301152414; GONAL F; GONAL F; NOT FOUND; 75 UI PO LIOF INJ CT FA VD INC + SER VD DIL X 1 ML; M_S
525413010044003; GONAL F; GONAL F; NOT FOUND; 900 UI (66 MCG) SOL INJ SC CT CAN APLIC CAR VD TRANS X 1.5 ML ; M_S
525421304151419; GONAL F; GONAL F; NOT FOUND; 900 UI (66 MCG) SOL INJ SC CT APLICADOR PRE-CARREGADO VD INC X 1.5 ML; M_S
525420303119319; GLIFAGE XR; GLIFAGE XR; NOT FOUND; 1 G COM CT BL AL PLAS INC X 10; M_S
525420304115317; GLIFAGE XR; GLIFAGE XR; NOT FOUND; 1 G COM CT BL AL PLAS INC X 30; M_S
525404901112413; GLIFAGE; GLIFAGE; NOT FOUND; 1 G COM REV EST BL AL PLAS INC X 30; M_S
525404902119411; GLIFAGE; GLIFAGE; NOT FOUND; 500 MG COM REV CT EST BL AL PLAS INC X 30 ; M_S
525404904111310; GLIFAGE; GLIFAGE; NOT FOUND; 500 MG COM REV CT EST BL AL PLAS INC X 10; M_S
525420305111315; GLIFAGE XR; GLIFAGE XR; NOT FOUND; 500 MG COM AP CT BL AL PLAS INC X 30; M_S
525420301116312; GLIFAGE XR; GLIFAGE XR; NOT FOUND; 750 MG COM AP CT BL AL PLAS INC X 10; M_S
525420302112310; GLIFAGE XR; GLIFAGE XR; NOT FOUND; 750 MG COM AP CT BL AL PLAS INC X 30; M_S
525404903115411; GLIFAGE; GLIFAGE; NOT FOUND; 850 MG COM REV EST CT BL AL PLAS INC X 30 ; M_S
525405206116315; GLUCOVANCE; GLUCOVANCE; NOT FOUND; 1000 MG + 5 MG COM REV EST BL AL PVC/PVDC INC X 10; M_S
525405207112313; GLUCOVANCE; GLUCOVANCE; NOT FOUND; 1000 MG + 5 MG COM REV EST BL AL PVC/PVDC INC X 30; M_S
525405201114411; GLUCOVANCE; GLUCOVANCE; NOT FOUND; 250 MG + 1.25 MG COM REV CT BL AL PLAS INC X 30; M_S
525405204113319; GLUCOVANCE; GLUCOVANCE; NOT FOUND; 500 MG + 2.5 MG COM REV EST BL AL PLAS INC X 10; M_S
525405205111311; GLUCOVANCE; GLUCOVANCE; NOT FOUND; 500 MG + 5 MG COM REV EST BL AL PLAS INC X 10; M_S
525405202110411; GLUCOVANCE; GLUCOVANCE; NOT FOUND; 500 MG + 5 MG COM REV CT BL AL PLAS INC X 30; M_S
525405203117418; GLUCOVANCE; GLUCOVANCE; NOT FOUND; 500 MG + 2.5 MG COM REV CT BL AL PLAS INC X 30; M_S
525418101113113; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 30 ; M_S
525418102111114; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30 ; M_S
525418103116111; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 30 ; M_S
