70206; FAXIMIN ; FAXIMIN; NOT FOUND; SACHETS 1.50 MG 4 G x 15; SDZ
62586; FELODIL ; FELODIL; NOT FOUND; CPR RETARD 10 MG x 20; SDZ
63825; FELODIPINO MG ; FELODIPINO; FELODIPINO; CPR REVES.AP 10 MG x 20; SDZ
63542; FELODIPINO MG ; FELODIPINO; FELODIPINO; CPR REVES.AP 5 MG x 20; SDZ
64013; FESTONE ; FESTONE; NOT FOUND; CPR REVEST 10 MG x 30; SDZ
64014; FESTONE ; FESTONE; NOT FOUND; CPR REVEST 20 MG x 30; SDZ
74329; FEXOLERG ; FEXOLERG; NOT FOUND; CPR REVEST 120 MG x 10; SDZ
74328; FEXOLERG ; FEXOLERG; NOT FOUND; CPR REVEST 180 MG x 10; SDZ
71824; FINASTERIDA MG ; FINASTERIDA; FINASTERIDA; CPR REVEST 1 MG x 30; SDZ
71825; FINASTERIDA MG ; FINASTERIDA; FINASTERIDA; CPR REVEST 1 MG x 60; SDZ
73153; FINASTERIDA MG ; FINASTERIDA; FINASTERIDA; CPR REVEST 5 MG x 30; SDZ
58000; FLOX ; FLOX; NOT FOUND; CPR 400 MG x 14; SDZ
74357; FLUCONAZOL MG ; FLUCONAZOL; FLUCONAZOL; CAPS 150 MG x 1; SDZ
74356; FLUCONAZOL MG ; FLUCONAZOL; FLUCONAZOL; CAPS 150 MG x 2; SDZ
58002; FLUTEC ; FLUTEC; NOT FOUND; CAPS 150 MG x 1; SDZ
64471; FLUTEC ; FLUTEC; NOT FOUND; CAPS 150 MG x 2; SDZ
80311; FUM QUETIAPINA MG ; FUM QUETIAPINA; NOT FOUND; CPR REVEST 100 MG x 28; SDZ
80312; FUM QUETIAPINA MG ; FUM QUETIAPINA; NOT FOUND; CPR REVEST 200 MG x 28; SDZ
80310; FUM QUETIAPINA MG ; FUM QUETIAPINA; NOT FOUND; CPR REVEST 25 MG x 14; SDZ
