46494; SALDER S ; SALDER S; NOT FOUND; SABAO 80 G x 1; MD7
9336; SARCOTON ; SARCOTON; NOT FOUND; PO 10 G x 1; MD7
59113; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR REVEST 1000 MG x 2; MD7
59114; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR REVEST 1000 MG x 4; MD7
52298; SECZOL ; SECZOL; NOT FOUND; CPR.VAG.APL x 7; MD7
52299; SECZOL ; SECZOL; NOT FOUND; CR.VAG.7 APL 35 G x 1; MD7
63896; SIMETICONA MG ; SIMETICONA; SIMETICONA; CAPS GELATIN 125 MG x 10; MD7
72113; SIMETICONA MG ; SIMETICONA; SIMETICONA; CAPS GELATIN 125 MG x 90; MD7
68335; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 20; MD7
72114; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 200; MD7
59214; SIMETICONA MG ; SIMETICONA; SIMETICONA; GOTAS 75 MG 15 ML x 1 (/ML); MD7
63022; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 10 MG x 30; MD7
63023; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 20 MG x 30; MD7
63024; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 20 MG x 60; MD7
63025; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 40 MG x 10; MD7
63026; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 40 MG x 30; MD7
63021; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 5 MG x 30; MD7
63027; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR 80 MG x 10; MD7
59923; SULF SALBUTAMOL MG ; SULF SALBUTAMOL; NOT FOUND; XAROPE 2 MG 120 ML x 1 (/5ML); MD7
57896; SULF.NEOM+BACIT.MG ; SULF NEOM BACIT; NOT FOUND; POM. 15 G x 1; MD7
57897; SULF.NEOM+BACIT.MG ; SULF NEOM BACIT; NOT FOUND; POM. 50 G x 1; MD7
61236; SULF.TERBU+GUAI.MG ; SULF TERBU GUAI; NOT FOUND; XAR. 100 ML x 1; MD7
59529; SULFATO TERBUTA.MG ; SULFATO TERBUTA; SULFATO TERBUTALINA; XAROPE 0.30 MG 100 ML x 1 (/ML); MD7
