90008, TAR BRIMONIDINA MG , TAR BRIMONIDINA, NOT FOUND, SOL OFTAL 0.20 % 5 ML x 1, MD7
58975, TINID+NIT.MICON.MG , TINID NIT MICON, NOT FOUND, CR.VAG.7 APL 40 G x 1, MD7
68591, TINIDAZOL MG , TINIDAZOL, TINIDAZOL, CPR REVEST 500 MG x 4, MD7
68592, TINIDAZOL MG , TINIDAZOL, TINIDAZOL, CPR REVEST 500 MG x 8, MD7
58889, TIOCO+TINIDAZOL MG , TIOCO TINIDAZOL, NOT FOUND, CREME VAG. 35 G x 1, MD7
58156, TIOCONAZOL MG , TIOCONAZOL, TIOCONAZOL, CREME 1 % 30 G x 1, MD7
58332, TIOCONAZOL MG , TIOCONAZOL, TIOCONAZOL, LOC. 1 % 30 G x 1, MD7
113333, TOPIT , TOPIT, NOT FOUND, CPR REV 100 MG x 30, MD7
113334, TOPIT , TOPIT, NOT FOUND, CPR REV 100 MG x 60, MD7
113326, TOPIT , TOPIT, NOT FOUND, CPR REV 25 MG x 30, MD7
113328, TOPIT , TOPIT, NOT FOUND, CPR REV 25 MG x 60, MD7
113329, TOPIT , TOPIT, NOT FOUND, CPR REV 50 MG x 30, MD7
113332, TOPIT , TOPIT, NOT FOUND, CPR REV 50 MG x 60, MD7
115565, TRAVOPROSTA MG , TRAVOPROSTA, TRAVOPROSTA, SOLN OFTAL 0.04 MG 2.50 ML x 1 (/ML, MD7
77318, TRIDERM , TRIDERM, NOT FOUND, CREME DERMAT 15 G x 1, MD7
55351, TRISEQUENS , TRISEQUENS, NOT FOUND, CPR REVEST 2 MG x 28, MD7
