92379; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR. 0.50 MG 100 ML x 1 (/ML); MD7
92377; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR. 0.50 MG 60 ML x 1 (/ML); MD7
64639; DESONIDA MG ; DESONIDA; DESONIDA; CREME 0.50 MG 30 G x 1 (/G); MD7
67223; DESONIDA MG ; DESONIDA; DESONIDA; LOC. 0.50 MG 60 G x 1 (/G); MD7
66303; DESONIDA MG ; DESONIDA; DESONIDA; POM.DERMAT 0.50 MG 30 G x 1 (/G); MD7
32847; DESONOL ; DESONOL; NOT FOUND; CREME 0.05 % 30 G x 1; MD7
60068; DESONOL ; DESONOL; NOT FOUND; LOC. 0.05 % 60 G x 1; MD7
50851; DESONOL ; DESONOL; NOT FOUND; LOC.CAPILAR 0.10 % 30 G x 1; MD7
50852; DESONOL ; DESONOL; NOT FOUND; POM. 0.05 % 30 G x 1; MD7
61095; DEXAMETASONA MG ; DEXAMETASONA; DEXAMETASONA; ELIXIR 0.50 MG 120 ML x 1 (/5ML); MD7
62276; DICLOF.COLESTIR.MG ; DICLOF COLESTIR; NOT FOUND; CAPS 70 MG x 14; MD7
62275; DICLOF.COLESTIR.MG ; DICLOF COLESTIR; NOT FOUND; CAPS 70 MG x 20; MD7
57248; DICLOF.RESINATO MG ; DICLOF RESINATO; NOT FOUND; GOTAS 20 ML x 1; MD7
57245; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 1 % 60 G x 1; MD7
57246; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; CPR REVEST 50 MG x 20; MD7
57249; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; AMP. 25 MG 3 ML x 5 (/ML); MD7
57507; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR 50 MG x 20; MD7
60444; DICLOR CETIRIZI.MG ; DICLOR CETIRIZI; DICLORIDRATO CETIRIZINA; CPR RECUB. 10 MG x 12; MD7
60443; DICLOR CETIRIZI.MG ; DICLOR CETIRIZI; DICLORIDRATO CETIRIZINA; CPR RECUB. 10 MG x 6; MD7
60442; DICLOR CETIRIZI.MG ; DICLOR CETIRIZI; DICLORIDRATO CETIRIZINA; SOLN ORAL 1 MG 120 ML x 1 (/ML; MD7
92850; DIELOFT ; DIELOFT; NOT FOUND; CPR REVEST 100 MG x 15; MD7
73469; DIELOFT ; DIELOFT; NOT FOUND; CPR REVEST 100 MG x 20; MD7
84484; DIELOFT ; DIELOFT; NOT FOUND; CPR REVEST 100 MG x 30; MD7
72581; DIELOFT ; DIELOFT; NOT FOUND; CPR REVEST 50 MG x 14; MD7
92848; DIELOFT ; DIELOFT; NOT FOUND; CPR REVEST 50 MG x 15; MD7
72582; DIELOFT ; DIELOFT; NOT FOUND; CPR REVEST 50 MG x 20; MD7
77509; DIELOFT ; DIELOFT; NOT FOUND; CPR REVEST 50 MG x 30; MD7
46655; DILAFLUX ; DILAFLUX; NOT FOUND; CPR 10 MG x 30; MD7
46656; DILAFLUX RETARD ; DILAFLUX RETARD; NOT FOUND; CPR 20 MG x 20; MD7
61668; DILAFLUX RETARD ; DILAFLUX RETARD; NOT FOUND; CPR 20 MG x 400; MD7
68570; DIMET+MET.HOMAT.MG ; DIMET MET HOMAT; NOT FOUND; GOTAS 2.50 MG 20 ML x 1 (/80); MD7
58845; DIP.BET+AC.SALI MG ; DIP BET AC SALI; NOT FOUND; POM. 30 G x 1; MD7
61096; DIP.BET+SUL.GEN.MG ; DIP BET SUL GEN; NOT FOUND; CREME 30 G x 1; MD7
61097; DIP.BET+SUL.GEN.MG ; DIP BET SUL GEN; NOT FOUND; POM. 30 G x 1; MD7
61538; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 500 MG x 100; MD7
61539; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 500 MG x 240; MD7
61537; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 500 MG x 30; MD7
59474; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); MD7
59475; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); MD7
59884; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; SOLN ORAL 50 MG 100 ML x 1 (/M; MD7
72518; DOMPERIDONA MG ; DOMPERIDONA; DOMPERIDONA; SUSP ORAL 1 MG 100 ML x 1 (/ML); MD7
59480; DROPROPIZINA MG ; DROPROPIZINA; DROPROPIZINA; XAR. 1.50 MG 120 ML x 1 (/ML); MD7
59481; DROPROPIZINA MG ; DROPROPIZINA; DROPROPIZINA; XAR. 3 MG 120 ML x 1 (/ML); MD7
100279; DROSPI+ETINILES MG ; DROSPI ETINILES; NOT FOUND; CPR REVEST 3 MG x 21 (/.03); MD7
72585; DUOTRAT ; DUOTRAT; NOT FOUND; CREME DERMAT 30 G x 1; MD7
72584; DUOTRAT ; DUOTRAT; NOT FOUND; POM.DERMAT 30 G x 1; MD7
