83974, BECARVE , BECARVE, NOT FOUND, CPR 12.5 MG x 15, MD7
83975, BECARVE , BECARVE, NOT FOUND, CPR 12.5 MG x 30, MD7
83976, BECARVE , BECARVE, NOT FOUND, CPR 25 MG x 15, MD7
83978, BECARVE , BECARVE, NOT FOUND, CPR 25 MG x 30, MD7
83980, BECARVE , BECARVE, NOT FOUND, CPR 3.12 MG x 15, MD7
83981, BECARVE , BECARVE, NOT FOUND, CPR 3.12 MG x 30, MD7
83972, BECARVE , BECARVE, NOT FOUND, CPR 6.25 MG x 15, MD7
83973, BECARVE , BECARVE, NOT FOUND, CPR 6.25 MG x 30, MD7
76690, BENESTARE , BENESTARE, NOT FOUND, CPR REVEST 625 MG x 30, MD7
1365, BENTYL , BENTYL, NOT FOUND, GOTAS 20 MG 15 ML x 1 (/ML), MD7
59048, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 20, MD7
59049, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30, MD7
59046, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 20, MD7
59047, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, MD7
61335, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, ELIXIR 0.10 MG 120 ML x 1 (/ML), MD7
115560, BIMATOPROSTA MG , BIMATOPROSTA, BIMATOPROSTA, SOLN OFTAL 0.30 MG 3 ML x 1 (/ML), MD7
69875, BMETRO+NIS+BENZ MG , BMETRO NIS BENZ, NOT FOUND, CR.VAG.10APL 40 G x 1, MD7
58817, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 20, MD7
58818, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 30, MD7
58819, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 20, MD7
58820, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 30, MD7
62885, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, CAPS 10 MG x 20, MD7
58821, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, GOTAS 4 MG 20 ML x 1 (/ML), MD7
58823, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, SOLN ORAL 1 MG 120 ML x 1 (/ML), MD7
63892, BUTILB ES+D SOD MG , BUTILB ES D SOD, NOT FOUND, GOTAS 20 ML x 1, MD7
