2000, CALMOCITENO , CALMOCITENO, NOT FOUND, CPR 10 MG x 20, MD7
68764, CALMOCITENO , CALMOCITENO, NOT FOUND, CPR 10 MG x 200, MD7
1999, CALMOCITENO , CALMOCITENO, NOT FOUND, CPR 5 MG x 20, MD7
62471, CAPTOP+HIDROCLO.MG , CAPTOP HIDROCLO, NOT FOUND, CPR 50 MG x 16 (/25), MD7
62472, CAPTOP+HIDROCLO.MG , CAPTOP HIDROCLO, NOT FOUND, CPR 50 MG x 30 (/25), MD7
62473, CAPTOP+HIDROCLO.MG , CAPTOP HIDROCLO, NOT FOUND, CPR 50 MG x 60 (/25), MD7
56373, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 12.5 MG x 16, MD7
56374, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 12.5 MG x 30, MD7
56375, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 12.5 MG x 60, MD7
61093, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 12.5 MG x 90, MD7
56376, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 16, MD7
56377, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 30, MD7
56378, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 60, MD7
61094, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 90, MD7
56379, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 16, MD7
56380, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 30, MD7
56381, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 60, MD7
72320, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 20, MD7
72325, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 200, MD7
72323, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 30, MD7
72322, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 60, MD7
72321, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 400 MG x 20, MD7
72324, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 400 MG x 30, MD7
70587, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, SUSP ORAL 2 % 100 ML x 1, MD7
58356, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, SOLN ORAL 50 MG 20 ML x 1 (/ML), MD7
58357, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. 20 MG 100 ML x 1 (/ML), MD7
