45344, FACYL-500 , FACYL 500, NOT FOUND, CPR 500 MG x 8, MD7
30379, FACYL-500 , FACYL 500, NOT FOUND, DRAG 500 MG x 4, MD7
52211, FACYL-M , FACYL M, NOT FOUND, CR.VAG.14APL 80 G x 1, MD7
45657, FACYL-M , FACYL M, NOT FOUND, CREME APLIC 80 G x 1, MD7
84462, FEBSEN , FEBSEN, NOT FOUND, GOTAS 100 MG 20 ML x 1 (/ML), MD7
84460, FEBSEN , FEBSEN, NOT FOUND, GOTAS 50 MG 30 ML x 1 (/ML), MD7
27748, FERROTRAT , FERROTRAT, NOT FOUND, DRAG 500 MG x 20, MD7
27915, FERROTRAT B12 PLUS , FERROTRAT B12 PLUS, NOT FOUND, LIQD 200 ML x 1, MD7
64652, FINASTERIDA MG , FINASTERIDA, FINASTERIDA, CPR REVEST 1 MG x 30, MD7
64653, FINASTERIDA MG , FINASTERIDA, FINASTERIDA, CPR REVEST 1 MG x 60, MD7
66432, FINASTERIDA MG , FINASTERIDA, FINASTERIDA, CPR REVEST 5 MG x 30, MD7
58555, FLUCONAZOL MG , FLUCONAZOL, FLUCONAZOL, CAPS GELATIN 150 MG x 1, MD7
58556, FLUCONAZOL MG , FLUCONAZOL, FLUCONAZOL, CAPS GELATIN 150 MG x 2, MD7
32365, FLUVERT , FLUVERT, NOT FOUND, CPR 10 MG x 30, MD7
61098, FOS.SOD.PREDNIS.MG , FOS SOD PREDNIS, NOT FOUND, SOLN 1 MG 100 ML x 1 (/ML), MD7
86210, FUM QUETIAPINA MG , FUM QUETIAPINA, NOT FOUND, CPR REVEST 100 MG x 28, MD7
86211, FUM QUETIAPINA MG , FUM QUETIAPINA, NOT FOUND, CPR REVEST 200 MG x 28, MD7
86212, FUM QUETIAPINA MG , FUM QUETIAPINA, NOT FOUND, CPR REVEST 25 MG x 14, MD7
86213, FUM QUETIAPINA MG , FUM QUETIAPINA, NOT FOUND, CPR REVEST 25 MG x 28, MD7
58252, FUMARATO CETOTI.MG , FUMARATO CETOTI, FUMARATO CETOTIFENO, GOTAS 1 MG 30 ML x 1 (/ML), MD7
58253, FUMARATO CETOTI.MG , FUMARATO CETOTI, FUMARATO CETOTIFENO, XAR. 0.20 MG 120 ML x 1 (/ML), MD7
73360, FUROAT.MOMETASO.MG , FUROAT MOMETASO, FUROATO MOMETASONA, CREME 1 MG 20 G x 1 (/G), MD7
72259, FUROAT.MOMETASO.MG , FUROAT MOMETASO, FUROATO MOMETASONA, POM. 1 MG 20 G x 1 (/G), MD7
46658, FUROSEM , FUROSEM, NOT FOUND, CPR 40 MG x 20, MD7
28104, FUROSEMIDE COMP , FUROSEMIDE COMP, NOT FOUND, CPR x 20, MD7
