64413, MAL.DEX+PSE+GUA.MG , MAL DEX PSE GUA, NOT FOUND, SOLN ORAL 120 ML x 1, MD7
61106, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, MD7
63899, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 12.5 MG x 30 (/20), MD7
63900, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 25 MG x 30 (/10), MD7
59080, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, MD7
59081, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, MD7
59079, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, MD7
76555, MALEA.MIDAZOLAM.MG , MALEA MIDAZOLAM, MALEATO MIDAZOLAM, CPR REVEST 15 MG x 30, MD7
76556, MALEA.MIDAZOLAM.MG , MALEA MIDAZOLAM, MALEATO MIDAZOLAM, CPR REVEST 15 MG x 20, MD7
76557, MALEA.MIDAZOLAM.MG , MALEA MIDAZOLAM, MALEATO MIDAZOLAM, CPR REVEST 7.50 MG x 30, MD7
61105, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 0.40 MG 120 ML x 1 (/ML), MD7
76727, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CREME DERMAT 10 MG 30 G x 1 (/G), MD7
66446, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP ORAL 20 MG 30 ML x 1 (/ML), MD7
72295, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, CPR 500 MG x 50, MD7
58872, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, MD7
58871, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 7.50 MG x 10, MD7
68051, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, MD7
63545, METILDOPA MG , METILDOPA, METILDOPA, CPR REVEST 250 MG x 30, MD7
59082, METILDOPA MG , METILDOPA, METILDOPA, CPR REVEST 500 MG x 30, MD7
77586, MINIMA , MINIMA, NOT FOUND, CPR REVEST x 84, MD7
62277, MINIMA , MINIMA, NOT FOUND, CPR REVEST x 28, MD7
77598, MORATUS , MORATUS, NOT FOUND, CPR REVEST 20 MG x 30, MD7
77596, MORATUS , MORATUS, NOT FOUND, CPR REVEST 20 MG x 20, MD7
100202, MORATUS , MORATUS, NOT FOUND, CPR REVEST 20 MG x 15, MD7
45373, MUCIBRON , MUCIBRON, NOT FOUND, XAR. AD 30 MG 100 ML x 1 (/5ML), MD7
45374, MUCIBRON , MUCIBRON, NOT FOUND, XAR. INF 15 MG 100 ML x 1 (/5ML), MD7
70484, MUPIROCINA MG , MUPIROCINA, MUPIROCINA, POM.DERMAT 20 MG 15 G x 1 (/G), MD7
