500506201114411; OSTEORAL; OSTEORAL; NOT FOUND; 10 MG COM CT 2 BL AL PLAS INC X 15; A4H
500506103112412; OMEPRAMIX; OMEPRAMIX; NOT FOUND; 20MG CAP GEL DURA + 500MG C"20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 14 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28; A4H
500506105115419; OMEPRAMIX; OMEPRAMIX; NOT FOUND; 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 28 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28; A4H
500506102116414; OMEPRAMIX; OMEPRAMIX; NOT FOUND; 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 20 + BL AL PLAS INC X 20 + BL AL PLAS INC X 40 ; A4H
500506101111419; OMEPRAMIX; OMEPRAMIX; NOT FOUND; 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT FLOW PACK BL AL PLAS INC X 42 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28; A4H
500506106111417; OMEPRAMIX; OMEPRAMIX; NOT FOUND; 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 42 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28; A4H
500512050041904; OSTEOBAN; OSTEOBAN; NOT FOUND; 150 MG COM REV CT BL AL/AL X 1; A4H
500512100047106; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM CT BL AL/AL X 30; A4H
500512100046906; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5  MG COM CT BL AL/AL X 30; A4H
500512100047006; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM CT BL AL/AL X 30; A4H
500512702111116; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS TRANS X 15; A4H
500512701115118; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS TRANS X 30; A4H
500512100046706; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 15 MG COM REV CT BL AL PLAS TRANS X 7; A4H
500512100046806; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 30; A4H
500512070043706; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG/ML SOL OR CT FR VD AMB GOT X 15 ML ; A4H
500512050042004; OSTEOTRAT; OSTEOTRAT; NOT FOUND; 35 MG COM REV CT BL AL PLAS INC X 2 ; A4H
500512050042104; OSTEOTRAT; OSTEOTRAT; NOT FOUND; 35 MG COM REV CT BL AL PLAS INC X 4; A4H
