500514100057903; TANDRILAX; TANDRILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS TRANS X 4; A4H
500506901116318; TANDRILAX; TANDRILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 15; A4H
500506902112316; TANDRILAX; TANDRILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 30; A4H
500513801113311; TALERC; TALERC; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10; A4H
500513802111310; TALERC; TALERC; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; A4H
500513803116316; TALERC; TALERC; NOT FOUND; 2 MG/ML XPE CT FR VD AMB X 50 ML; A4H
500513804112314; TALERC; TALERC; NOT FOUND; 20 MG COM REV CT BL AL/AL X 10; A4H
500509202162412; TRICANGINE-A; TRICANGINE A; NOT FOUND; 5000 UI/G + 20 MG/G CREM VAG CT BG AL X 85 G + 15 APLIC PLAS DESCART; A4H
500509904116410; TIMASEN SR; TIMASEN SR; NOT FOUND; 100 MG CAP LIB PROG BL AL PLAS OPC X 10 (SR); A4H
500509905112419; TIMASEN SR; TIMASEN SR; NOT FOUND; 50 MG CAP LIB PROG CT BL AL PLAS OPC X 10 (SR); A4H
500508701114415; TEOREMIN; TEOREMIN; NOT FOUND; 140 MG CAP GEL DURA CT 2 BL AL PLAS INC X 9 ; A4H
500511102161416; TRANSPULMIN; TRANSPULMIN; NOT FOUND; (25 MG + 100 MG + 50 MG + 10 MG)/G BALS CT BG AL X 20 G; A4H
500511103141419; TRANSPULMIN; TRANSPULMIN; NOT FOUND; (12.5 MG + 30 MG + 4 MG + 12.5 MG)/G SUP CT STR X 5; A4H
500511101130411; TRANSPULMIN; TRANSPULMIN; NOT FOUND; 13.33 MG/ML XPE AD FR PLAS INC X 150 ML + CP MED PP 15 ML; A4H
500511104131417; TRANSPULMIN; TRANSPULMIN; NOT FOUND; 6.667 MG/ML XPE INF FR PLAS INC X 150 ML + CP MED PP 15 ML; A4H
500507201118413; TRACONAL; TRACONAL; NOT FOUND; 100 MG CAP GEL CT 2 BL AL PLAST INC X 5; A4H
500507202114411; TRACONAL; TRACONAL; NOT FOUND; 100 MG CAP GEL CT 3 BL AL PLAST INC X 5; A4H
500507203110411; TRACONAL; TRACONAL; NOT FOUND; 100 MG CAP GEL CT BL AL PLAST INC X 4; A4H
500514050057403; TREZOR; TREZOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 5; A4H
500514050057503; TREZOR; TREZOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 10; A4H
500512070043104; TREZOR; TREZOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10; A4H
500512070043304; TREZOR; TREZOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; A4H
500512070043204; TREZOR; TREZOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; A4H
500507001119416; TENOTEC; TENOTEC; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 10; A4H
500513302117115; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL/AL X 60; A4H
500513303113113; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 60; A4H
500513301110117; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL/AL X 60; A4H
