538000202151110, CARBOPLATINA, CARBOPLATINA, CARBOPLATINA, 10 MG/ML SOL INJ IV CT FA VD AMB X 15 ML, A1F
538000203156116, CARBOPLATINA, CARBOPLATINA, CARBOPLATINA, 10 MG/ML SOL INJ IV CT FA VD AMB X 45 ML, A1F
538000201153111, CARBOPLATINA, CARBOPLATINA, CARBOPLATINA, 10 MG/ML SOL INJ IV CT FA VD AMB X 5 ML, A1F
538000303150111, CISPLATINA, CISPLATINA, CISPLATINA, 1 MG/ML SOL INJ IV CT FA VD AMB X 10 ML, A1F
538000302154111, CISPLATINA, CISPLATINA, CISPLATINA, 1 MG/ML SOL INJ IV CT FA VD AMB X 25 ML, A1F
538000301158113, CISPLATINA, CISPLATINA, CISPLATINA, 1 MG/ML SOL INJ IV CT FA VD AMB X 50 ML, A1F
538000603154110, CITARABINA, CITARABINA, CITARABINA, 100 MG/ML SOL INJ CT FA VD INC X 1 ML, A1F
538000602158112, CITARABINA, CITARABINA, CITARABINA, 100 MG/ML SOL INJ CT FA VD INC X 10 ML, A1F
538000601151114, CITARABINA, CITARABINA, CITARABINA, 100 MG/ML SOL INJ CT FA VD INC X 5 ML, A1F
538001402152119, CLORIDRATO DE EPIRRUBICINA, CLORIDRATO EPIRRUBICINA, CLORIDRATO EPIRRUBICINA, 2 MG/ML SOL INJ IM CT FR VD INC X 10 ML, A1F
538001403159117, CLORIDRATO DE EPIRRUBICINA, CLORIDRATO EPIRRUBICINA, CLORIDRATO EPIRRUBICINA, 2 MG/ML SOL INJ IM CT FR VD INC X 25 ML, A1F
538001401156110, CLORIDRATO DE EPIRRUBICINA, CLORIDRATO EPIRRUBICINA, CLORIDRATO EPIRRUBICINA, 2 MG/ML SOL INJ IM CT FR VD INC X 5 ML, A1F
538001002154114, CLORIDRATO DE GENCITABINA, CLORIDRATO GENCITABINA, CLORIDRATO GENCITABINA, 1000 MG PO LIOF INJ CT FA VD INC X 50 ML, A1F
538001001158116, CLORIDRATO DE GENCITABINA, CLORIDRATO GENCITABINA, CLORIDRATO GENCITABINA, 200 MG PO LIOF INJ CT FA VD INC X 10 ML, A1F
538001301151117, CLORIDRATO DE IRINOTECANO, CLORIDRATO IRINOTECANO, CLORIDRATO IRINOTECANO, 20 MG/ML SOL INJ CT FA VD AMB X 2 ML, A1F
538001302158115, CLORIDRATO DE IRINOTECANO, CLORIDRATO IRINOTECANO, CLORIDRATO IRINOTECANO, 20 MG/ML SOL INJ CT FA VD AMB X 5 ML, A1F
538000902119112, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PVC INC X 105 (EMB HOSP), A1F
538000906114115, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PVC INC X 15, A1F
538000904111119, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PVC INC X 210 (EMB HOSP), A1F
538000901112114, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PVC INC X 30, A1F
538000903115110, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PVC INC X 450 (EMB HOSP), A1F
538000905118117, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PVC INC X 600 (EMB HOSP), A1F
538000202151110, CARBOPLATINA, CARBOPLATINA, CARBOPLATINA, 10 MG/ML SOL INJ IV CT FA VD AMB X 15 ML, A1F
