538015020016506; VORICONAZOL; VORICONAZOL; VORICONAZOL; 50 MG COM REV CT BL AL PLAS INC X 5; A1F
538015020016606; VORICONAZOL; VORICONAZOL; VORICONAZOL; 50 MG COM REV CT BL AL PLAS INC X 10; A1F
538015020016706; VORICONAZOL; VORICONAZOL; VORICONAZOL; 50 MG COM REV CT BL AL PLAS INC X 14; A1F
538015020016806; VORICONAZOL; VORICONAZOL; VORICONAZOL; 50 MG COM REV CT BL AL PLAS INC X 30; A1F
538015020016906; VORICONAZOL; VORICONAZOL; VORICONAZOL; 200 MG COM REV CT BL AL PLAS INC X 2; A1F
538015020017006; VORICONAZOL; VORICONAZOL; VORICONAZOL; 200 MG COM REV CT BL AL PLAS INC X 5; A1F
538015020017106; VORICONAZOL; VORICONAZOL; VORICONAZOL; 200 MG COM REV CT BL AL PLAS INC X 7; A1F
538015020017206; VORICONAZOL; VORICONAZOL; VORICONAZOL; 200 MG COM REV CT BL AL PLAS INC X 10; A1F
538015020017306; VORICONAZOL; VORICONAZOL; VORICONAZOL; 200 MG COM REV CT BL AL PLAS INC X 14; A1F
538015020017406; VORICONAZOL; VORICONAZOL; VORICONAZOL; 200 MG COM REV CT BL AL PLAS INC X 30; A1F
538015020017506; VORICONAZOL; VORICONAZOL; VORICONAZOL; 200 MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP); A1F
538015020017606; VORICONAZOL; VORICONAZOL; VORICONAZOL; 50 MG COM REV CT BL AL PLAS INC X 2; A1F
538015020017706; VORICONAZOL; VORICONAZOL; VORICONAZOL; 50 MG COM REV CT BL AL PLAS INC X 7; A1F
538015020017806; VORICONAZOL; VORICONAZOL; VORICONAZOL; 50 MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP); A1F
