533014501153411, VANCOTRAT, VANCOTRAT, NOT FOUND, PO LIOF CT FA VD INC X AMP DIL, U_Q
533020401114115, VARFARINA SÓDICA, VARFARINA SODICA, VARFARINA SODICA, 5 MG COM CT STR AL X 10, U_Q
533020402110113, VARFARINA SÓDICA, VARFARINA SODICA, VARFARINA SODICA, 5 MG COM CT STR AL X 100 (EMB HOSP), U_Q
533020403117111, VARFARINA SÓDICA, VARFARINA SODICA, VARFARINA SODICA, 5 MG COM CT STR AL X 200 (EMB HOSP), U_Q
533020404113111, VARFARINA SÓDICA, VARFARINA SODICA, VARFARINA SODICA, 5 MG COM CT STR AL X 30, U_Q
533020405111110, VARFARINA SÓDICA, VARFARINA SODICA, VARFARINA SODICA, 5 MG COM CT STR AL X 500 (EMB HOSP), U_Q
533014601115412, VASCER, VASCER, NOT FOUND, COM REV CT BL AL PLAS INC X 20, U_Q
533014801114411, VASOJET, VASOJET, NOT FOUND, 10MG COM CT 3 BL AL PLAS INC X 10, U_Q
533014802110418, VASOJET, VASOJET, NOT FOUND, 5MG COM CT 3 BL AL PLAS INC X 10, U_Q
533014901178411, VISIONOM, VISIONOM, NOT FOUND, SOL OFT CT FR PLAS TRANS X 10, U_Q
533015001154415, VITA K, VITA K, NOT FOUND, 10 MG/ML SOL INJ 50 AMP X 1 ML, U_Q
533015101116418, VITA SENIOR, VITA SENIOR, NOT FOUND, CAP GEL MOLE CT FR PLAS OPC X 30, U_Q
533015202117411, VIVERDAL, VIVERDAL, NOT FOUND, 2MG COM REV CT BL AL PLAS INC X 20, U_Q
533015301158416, VIXMICINA, VIXMICINA, NOT FOUND, PO INJ CX 50 FA VD INC + 50 AMP DIL X 5ML, U_Q
533015404161411, VODOL, VODOL, NOT FOUND, 20 MG/ ML LOCAO CT FR PLAS OPC SPRAY X 30 ML, U_Q
533015405166415, VODOL, VODOL, NOT FOUND, 20 MG/ML LOCAO CT FR PLAS OPC SPRAY X 60 ML, U_Q
533015401160412, VODOL, VODOL, NOT FOUND, CREM DERM CT BG X 28G 20MG/G, U_Q
533015403171411, VODOL, VODOL, NOT FOUND, LOCAO CT FR VD AMB X 30ML 20MG/ML, U_Q
533015402175413, VODOL, VODOL, NOT FOUND, PO TOP CT FR PLAST OPC X 30G 20MG/G, U_Q
533014501153411, VANCOTRAT, VANCOTRAT, NOT FOUND, PO LIOF CT FA VD INC X AMP DIL, U_Q
533020401114115, VARFARINA SÓDICA, VARFARINA SODICA, VARFARINA SODICA, 5 MG COM CT STR AL X 10, U_Q
