508011302116319; PROFLAM; PROFLAM; NOT FOUND; 100 MG COM REV CT BL AL/AL X 12; EUF
508011305115313; PROFLAM; PROFLAM; NOT FOUND; 100 MG COM REV CT BL AL / AL X 6; EUF
508011303163310; PROFLAM; PROFLAM; NOT FOUND; 15 MG/G CREM DERM CT TB AL X 30 G; EUF
508014050104503; PLAQ; PLAQ; NOT FOUND; 75 MG COM REV CT BL AL PLAS INC X 150 (EMB FRAC); EUF
508028501117417; PLAQ; PLAQ; NOT FOUND; 75 MG COM REV CT BL AL PLAS INC X 10; EUF
508028502113415; PLAQ; PLAQ; NOT FOUND; 75 MG COM REV CT BL AL PLAS INC X 30; EUF
508021302161419; PERMUT; PERMUT; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G POM DERM CT BG AL X 10 G; EUF
508021301163418; PERMUT; PERMUT; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 10 G; EUF
508011001116417; PONDERA; PONDERA; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 10; EUF
508011002112415; PONDERA; PONDERA; NOT FOUND; 10 MG COM REV CT 2 BL AL PLAS INC X 10; EUF
508011010115411; PONDERA; PONDERA; NOT FOUND; 15 MG COM REV CT BL AL PLAS INC X 10; EUF
508011011111418; PONDERA; PONDERA; NOT FOUND; 15 MG COM REV CT BL AL PLAS INC X 20; EUF
508011008110414; PONDERA; PONDERA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 10; EUF
508011005111411; PONDERA; PONDERA; NOT FOUND; 20 MG COM REV CT 2 BL AL PLAS INC X 10; EUF
508011006118418; PONDERA; PONDERA; NOT FOUND; 20 MG COM REV CT 3 BL AL PLAS INC X 10; EUF
508011012118416; PONDERA; PONDERA; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 10; EUF
508011013114414; PONDERA; PONDERA; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 20; EUF
508011009117412; PONDERA; PONDERA; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 10; EUF
508011007114416; PONDERA; PONDERA; NOT FOUND; 30 MG COM REV CT 3 BL AL PLAS INC X 10; EUF
508011003119413; PONDERA; PONDERA; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 10; EUF
508011004115411; PONDERA; PONDERA; NOT FOUND; 40 MG COM REV CT 2 BL AL PLAS INC X 10; EUF
508011201115414; PRIMERA; PRIMERA; NOT FOUND; 0.150 MG + 0.030 MG COM REV CT BL AL PLAS INC X 21 ; EUF
508011202111412; PRIMERA; PRIMERA; NOT FOUND; 0.150 MG + 0.020 MG COM REV CT BL AL PLAS INC X 21 ; EUF
508011203118410; PRIMERA; PRIMERA; NOT FOUND; 0.150 MG + 0.020 MG COM REV CT BL AL PLAS INC X 63; EUF
508011204114419; PRIMERA; PRIMERA; NOT FOUND; 0.150 MG + 0.030 MG COM REV CT  BL AL PLAS INC X 63; EUF
508014070105804; PERIVASC; PERIVASC; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 30; EUF
508014070105904; PERIVASC; PERIVASC; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 60; EUF
508010802115313; PEN-VE-ORAL; PEN VE ORAL; NOT FOUND; 500.000 UI COM CT ENV AL POLIET X 12; EUF
508010801135310; PEN-VE-ORAL; PEN VE ORAL; NOT FOUND; 80.000 UI/ML PO SOL OR CT FR VD AMB X 60 ML; EUF
508010803138317; PEN-VE-ORAL; PEN VE ORAL; NOT FOUND; 80.000 UI/ML PO SOL OR CT FR VD AMB X 60 ML + CP MED; EUF
508026801113410; PACO; PACO; NOT FOUND; 500MG + 30MG COM CT BL AL PLAS INC X 12; EUF
508028401112111; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500MG + 30MG COM CT BL AL PLAS INC X 12; EUF
508016801137411; PERCOF; PERCOF; NOT FOUND; 6 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED ; EUF
508013020095704; PIEMONTE; PIEMONTE; NOT FOUND; 4 MG COM MAST CT BL AL/AL X 10 ; EUF
508013020095804; PIEMONTE; PIEMONTE; NOT FOUND; 4 MG COM MAST CT BL AL/AL X 30; EUF
508013020095904; PIEMONTE; PIEMONTE; NOT FOUND; 5 MG COM MAST CT BL AL/AL X 10; EUF
508013020096004; PIEMONTE; PIEMONTE; NOT FOUND; 5 MG COM MAST CT BL AL/AL X 30 ; EUF
508010301159113; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML; EUF
508010303151111; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ CT 10 FA VD INC X 16.7 ML; EUF
508010305154116; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ CT 20 FA VD INC X 16.7 ML; EUF
508010203157418; PACLITAX; PACLITAX; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 25 ML; EUF
508010204153416; PACLITAX; PACLITAX; NOT FOUND; 6 MG/ML SOL INJ CT 10 FA VD INC X 25 ML; EUF
508010202150411; PACLITAX; PACLITAX; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 5 ML; EUF
508010302155111; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ CT FA VD INC X 5 ML ; EUF
508010304158118; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ CT 10 FA VD INC X 5 ML; EUF
508010306150114; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ CT 20 FA VD INC X 5 ML; EUF
508010404152111; PAMIDRONATO DISSÓDICO; PAMIDRONATO DISSODICO; PAMIDRONATO DISSODICO; 30 MG PO LIOF P/ SOL INJ CT 2 FA VD INC + 2 AMP PLAS INC DIL X 10 ML  ; EUF
508010406155118; PAMIDRONATO DISSÓDICO; PAMIDRONATO DISSODICO; PAMIDRONATO DISSODICO; 60 MG PO LIOF P/ SOL INJ CT FA VD INC + AMP PLAS INC DIL X 10 ML ; EUF
508010405159111; PAMIDRONATO DISSÓDICO; PAMIDRONATO DISSODICO; PAMIDRONATO DISSODICO; 90 MG PO LIOF P/ SOL INJ CT FA VD INC + AMP PLAS INC DIL X 10 ML ; EUF
508013060097306; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV LIB RETARD CT BL AL/AL X 14; EUF
508013060097406; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV LIB RETARD CT BL AL/AL X 28; EUF
508012110094503; PANTOCAL; PANTOCAL; NOT FOUND; 20 MG COM REV CT BL AL/AL X 14; EUF
508012110094603; PANTOCAL; PANTOCAL; NOT FOUND; 20 MG COM REV CT BL AL/AL X 28; EUF
