508017402139115; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EUF
508017401132117; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EUF
508029901119318; ACTIVELLE; ACTIVELLE; NOT FOUND; 1 MG + 0.5 MG COM REV CT EST CALENDARIO X 28; EUF
508014040103206; ACETILCISTEINA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 30 ENV PAPEL AL POLIET X 5 G (EMB FRAC); EUF
508014040103306; ACETILCISTEINA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 30 ENV PAPEL AL POLIET X 5 G (EMB FRAC); EUF
508014040103406; ACETILCISTEINA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 30 ENV PAPEL AL POLIET X 5 G (EMB FRAC); EUF
508017601115127; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G; EUF
508025402134416; AIRES; AIRES; NOT FOUND; 120 MG/G GRAN CT 16 SACH PAPEL AL POLIET X 5 G; EUF
508025404137412; AIRES; AIRES; NOT FOUND; 120 MG/G GRAN CT 08 SACH PAPEL AL POLIET X 5 G; EUF
508017603134129; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; EUF
508017604130127; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 150 ML + CP MED; EUF
508025401138418; AIRES; AIRES; NOT FOUND; 20 MG/G GRAN CT 16 SACH PAPEL AL POLIET X 5 G; EUF
508025405133410; AIRES; AIRES; NOT FOUND; 20 MG/G GRAN CT 08 SACH PAPEL AL POLIET X 5 G; EUF
508017606133123; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G; EUF
508025403130414; AIRES; AIRES; NOT FOUND; 40 MG/G GRAN CT 16 SACH PAPEL AL POLIET X 5 G; EUF
508025406131411; AIRES; AIRES; NOT FOUND; 40 MG/G GRAN CT 08 SACH PAPEL AL POLIET X 5 G; EUF
508017602138120; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G; EUF
508025101150110; ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL; ALGESTONA ACETOFENIDA ENANTATO ESTRADIOL; NOT FOUND; 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML; EUF
508018801118111; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS OPC X 20; EUF
508018802114118; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS OPC X 20; EUF
508018803110116; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS OPC X 20; EUF
508018804117114; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS OPC X 30; EUF
508017701136411; ALERGO FILINAL; ALERGO FILINAL; NOT FOUND; 2.5 MG + 0.22 MG + 20 MG + 6.6 MG / ML XPE CT 1 FR VD AMB X 100 ML; EUF
508017703139416; ALERGO FILINAL; ALERGO FILINAL; NOT FOUND; 2.5 MG + 0.220 MG + 20.0 MG +6.6 MG / ML XPE CT 1 FR VD AMB X 120 ML ; EUF
508017702132418; ALERGO FILINAL; ALERGO FILINAL; NOT FOUND; 2.5 MG + 0.132 MG + 12 MG +5.82 MG / ML XPE CT 1 FR VD AMB X 60 ML ; EUF
508000306131112; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG/5ML PO P/ SUS OR CT FR VD AMB X 150 ML + CP MED; EUF
508000304139116; AMOXICILINA; AMOXICILINA; AMOXICILINA; 125 MG/5ML PO P/ SUS OR CT FR VD AMB X 150 ML + CP MED; EUF
508000308134119; AMOXICILINA; AMOXICILINA; AMOXICILINA; 200 MG/5ML PO P/ SUS OR CT FR VD AMB X 100 ML + SER DOSAD; EUF
508000305151111; AMOXICILINA; AMOXICILINA; AMOXICILINA; 250 MG/5ML PO P/ SUS OR CT FR VD AMB X 150 ML + CP MED; EUF
508000301113116; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15 ; EUF
508000302111117; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; EUF
508000303116112; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
508000307138110; AMOXICILINA; AMOXICILINA; AMOXICILINA; 400 MG/5ML PO P/ SUS OR CT FR VD AMB X 100 ML + SER DOSAD; EUF
508000309114111; AMOXICILINA; AMOXICILINA; AMOXICILINA; 875 MG COM REV CT 2 STP AL X 7 ; EUF
508014040102806; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 60 (EMB FRAC); EUF
508014040102906; AMOXICILINA; AMOXICILINA; AMOXICILINA; 875 MG COM REV CT STR AL X 42 (EMB FRAC); EUF
508000204150118; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 200 MG PO P/ SOL INJ CT 10 FA VD INC (EMB HOSP); EUF
508013010095306; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 400 MG + 57 MG/5 ML PO SUS OR FR VD AMB X 70 ML; EUF
508000205114115; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 12; EUF
508000206110113; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 14; EUF
508000207117111; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 20; EUF
508014040103806; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 48 (EMB FRAC) ; EUF
508017801114116; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12 ; EUF
508017802110114; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 18; EUF
508000408155312; AMPLACILINA; AMPLACILINA; NOT FOUND; 1 G PO INJ CX 25 FA VD INC + DIL X 3 ML; EUF
508000409151116; AMPLACILINA; AMPLACILINA; NOT FOUND; 1 G PO INJ CX 25 FA VD INC + AMP PLAS DIL X 3 ML ; EUF
508000404117319; AMPLACILINA; AMPLACILINA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; EUF
508000402130318; AMPLACILINA; AMPLACILINA; NOT FOUND; 50 MG/ML SUS OR CT FR VD AMB X 140 ML + SER X 10 ML; EUF
508000403137316; AMPLACILINA; AMPLACILINA; NOT FOUND; 50 MG/ML SUS OR CT FR VD AMB X 60 ML; EUF
508020401113112; ANASTROZOL; ANASTROZOL; ANASTROZOL; 1 MG COM REV CT BL AL PLAS INC X 28; EUF
508020402111113; ANASTROZOL; ANASTROZOL; ANASTROZOL; 1 MG COM REV CT BL AL PLAS INC X 30; EUF
508021101113417; ANATEN; ANATEN; NOT FOUND; 5.0 MG + 25 MG CAP GEL DURA CT BL AL PLAS INC X 30 ; EUF
508021102111418; ANATEN; ANATEN; NOT FOUND; 5.0 MG + 50 MG CAP GEL DURA CT BL AL PLAS INC X 30 ; EUF
508022904112112; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30; EUF
508022903116114; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 30; EUF
508022901113118; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 28 ; EUF
508022902111119; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 28; EUF
508013090099006; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; EUF
508013090099106; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 30; EUF
508013090099206; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 30; EUF
508018902119111; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 2 ; EUF
508018901112113; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; EUF
508018904111118; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 5; EUF
508018903115111; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC)  ; EUF
508014050104206; AZITROMICINA; AZITROMICINA; AZITROMICINA; 600 MG PO SUS OR FR PLAS OPC + FLAC SOL DIL X 9 ML + SER DOS; EUF
508014050104306; AZITROMICINA; AZITROMICINA; AZITROMICINA; 900 MG PO SUS OR FR PLAS OPC + FLAC SOL DIL X 12 ML + SER DOS; EUF
508014050104406; AZITROMICINA; AZITROMICINA; AZITROMICINA; 1500 MG PO SUS OR FR PLAS OPC + FLAC SOL DIL X 22 ML + SER DOS; EUF
508000707136417; ASTRO; ASTRO; NOT FOUND; 900 MG PO SUS OR FR PLAS OPC + FLAC SOL DIL X 12 ML + SER DOS ; EUF
508000708132415; ASTRO; ASTRO; NOT FOUND; 1500 MG PO SUS OR FR PLAS OPC + SOL DIL FLAC PLAS INC X 22 ML + SER DOS ; EUF
508000709139413; ASTRO; ASTRO; NOT FOUND; 1500 MG PO SUS OR FR PLAS OPC + FR VD AMB SOL DIL X 22 ML + SER DOS; EUF
508000702134416; ASTRO; ASTRO; NOT FOUND; 600 MG PO SUS OR FR PLAS OPC + FLAC SOL DIL X 9 ML + SER DOS ; EUF
508000701111412; ASTRO; ASTRO; NOT FOUND; 500 MG COM REV CT BL AL PLAST INC X 2 ; EUF
508000703114419; ASTRO; ASTRO; NOT FOUND; 500 MG COM REV CT BL AL PLAST INC X 3; EUF
508000704110417; ASTRO; ASTRO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 5; EUF
508000706113413; ASTRO; ASTRO; NOT FOUND; 500 MG COM REV CT BL AL PLAST INC X 60 (EMB FRAC); EUF
508000705117415; ASTRO; ASTRO; NOT FOUND; 500 MG COM REV CT BL AL PLAST INC X 9; EUF
508000504170319; ANDOLBA; ANDOLBA; NOT FOUND; 45 MG/G + 5 MG/G + 5 MG/G CREM DERM CT BG PLAS OPC X 30; EUF
508000503131311; ANDOLBA; ANDOLBA; NOT FOUND; 4.5% + 0.5% + 0.5% AER TOP CX TB AL X 43 G; EUF
508019501118414; ATMOS; ATMOS; NOT FOUND; 2.5 MG+10.0 MG CAP GEL DURA CT STR X 30; EUF
508019503110410; ATMOS; ATMOS; NOT FOUND; 5.0 MG+20.0 MG CAP GEL DURA CT STR X 30; EUF
508019502114412; ATMOS; ATMOS; NOT FOUND; 5.0 MG+10.0 MG CAP GEL DURA CT STR X 30; EUF
508000601117419; ANGINO RUB; ANGINO RUB; NOT FOUND; 3MG PAST SBR MORANGO CT 2 STR AL X 8; EUF
508000604116413; ANGINO RUB; ANGINO RUB; NOT FOUND; 3 MG PAST SBR MEL E LIMAO CT 2 STR AL X 8; EUF
508000605112411; ANGINO RUB; ANGINO RUB; NOT FOUND; 3MG PAST SBR MENTA CT 2 STR AL X 8; EUF
508014203119411; ASSERT; ASSERT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 20; EUF
508012080093903; ASSERT; ASSERT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 30; EUF
508014205111418; ASSERT; ASSERT; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 14; EUF
508012080093803; ASSERT; ASSERT; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 30; EUF
508014206118416; ASSERT; ASSERT; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 7; EUF
508014202112413; ASSERT; ASSERT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 10 ; EUF
508014201116415; ASSERT; ASSERT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; EUF
508014204115411; ASSERT; ASSERT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 28; EUF
508012080093603; ASSERT; ASSERT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 30; EUF
508012080093703; ASSERT; ASSERT; NOT FOUND; 50 MG COM REV CT BL AL PLAS TRANS X 60; EUF
508014010102404; ANTROFI; ANTROFI; NOT FOUND; 10 MG/G CREM VAG CT BG AL X 30 G + 20 APLIC; EUF
508029401132412; ARTICO; ARTICO; NOT FOUND; 1.5 G + 1.2 G PO SOL OR CT 30 SACH AL PAP POLIET X 5 G; EUF
508029402139410; ARTICO; ARTICO; NOT FOUND; 1.5 G + 1.2 G PO SOL OR CT 10 SACH AL PAP POLIET X 5 G; EUF
508022404111419; AMATO; AMATO; NOT FOUND; 100 MG COM REV CT BL AL AL X 12; EUF
508022401110411; AMATO; AMATO; NOT FOUND; 100 MG COM REV CT BL AL AL X 60; EUF
508022405116414; AMATO; AMATO; NOT FOUND; 25 MG COM REV CT BL AL AL X 12; EUF
508022402117411; AMATO; AMATO; NOT FOUND; 25 MG COM REV CT BL AL AL X 60; EUF
508022406112412; AMATO; AMATO; NOT FOUND; 50 MG COM REV CT BL AL AL X 12; EUF
508022403113418; AMATO; AMATO; NOT FOUND; 50 MG COM REV CT BL AL AL X 60; EUF
508028001157118; ÁCIDO ZOLEDRÔNICO; ACIDO ZOLEDRONICO; NOT FOUND; 4MG SOL INJ IV CT FA AMP PLAS INC X 5ML ; EUF
508028002153116; ÁCIDO ZOLEDRÔNICO; ACIDO ZOLEDRONICO; NOT FOUND; 4 MG SOL INJ IV CT 04 FA AMP PLAS INC X 5 ML; EUF
508028003151117; ÁCIDO ZOLEDRÔNICO; ACIDO ZOLEDRONICO; NOT FOUND; 4MG SOL INJ IV CT 10 FA AMP PLAS INC X 5ML; EUF
508030602154417; ÁGUA PARA INJETÁVEIS; AGUA PARA INJETAVEIS; AGUA PARA INJETAVEIS; SOL INJ BOLS PP TRANS SIST FECH X 100 ML; EUF
