1127800080014; DAFLON 500; DAFLON 500; NOT FOUND; 16 DRAGEAS; SVR
1127800080022; DAFLON 500; DAFLON 500; NOT FOUND; 30 DRAGEAS; SVR
1127800030031; DAFLON 500; DAFLON 500; NOT FOUND; 450 + 50 MG COM REV CT BL AL PLAS INC X 15; SVR
1127800030013; DAFLON 500; DAFLON 500; NOT FOUND; 450 + 50 MG COM REV CT BL AL PLAS INC X 30; SVR
1127800030021; DAFLON 500; DAFLON 500; NOT FOUND; 450 + 50 MG COM REV CT BL AL PLAS INC X 60; SVR
1127800030048; DAFLON 1000; DAFLON 1000; NOT FOUND; 900 + 100 MG COM REV OR CT BL AL PLAS TRANS X 10; SVR
1127800030056; DAFLON 1000; DAFLON 1000; NOT FOUND; 900 + 100 MG COM REV OR CT BL AL PLAS TRANS X 20; SVR
1127800030064; DAFLON 1000; DAFLON 1000; NOT FOUND; 900 + 100 MG COM REV OR CT BL AL PLAS TRANS X 30; SVR
1127800030072; DAFLON 1000; DAFLON 1000; NOT FOUND; 900 + 100 MG COM REV OR CT BL AL PLAS TRANS X 60; SVR
1127800040019; DIAMICRON; DIAMICRON; NOT FOUND; 20 COMPRIMIDOS; SVR
1127800040027; DIAMICRON; DIAMICRON; NOT FOUND; 60 COMPRIMIDOS; SVR
1127800040035; DIAMICRON; DIAMICRON; NOT FOUND; 500 COMPRIMIDOS (HOSPITALAR); SVR
1127800040108; DIAMICRON MR; DIAMICRON MR; NOT FOUND; 60 MG COM LIB PROL CX CT BL AL PLAS INC X 60; SVR
1127800040078; DIAMICRON MR; DIAMICRON MR; NOT FOUND; 30 MG COM CT BL AL PLAS INC X 15; SVR
1127800040043; DIAMICRON MR; DIAMICRON MR; NOT FOUND; 30 MG COM CX BL AL PLAS INC X 30; SVR
1127800040051; DIAMICRON MR; DIAMICRON MR; NOT FOUND; 30 MG COM CX BL AL PLAS INC X 60; SVR
1127800040086; DIAMICRON MR; DIAMICRON MR; NOT FOUND; 60 MG COM LIB PROL CX CT BL AL PLAS INC X 15; SVR
1127800040094; DIAMICRON MR; DIAMICRON MR; NOT FOUND; 60 MG COM LIB PROL CX CT BL AL PLAS INC X 30; SVR
