506715308158419; XYLESTESIN ISOBÁRICO; XYLESTESIN ISOBARICO; NOT FOUND; 20 MG/ML SOL INJ CX 50 AMP VD INC X 5 ML (EMB HOSP); CT6
506714110053603; XYLESTESIN PESADA; XYLESTESIN PESADA; NOT FOUND; 50 MG/ML + 75 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP) ; CT6
506715401158415; XYLESTESIN COM EPINEFRINA; XYLESTESIN EPINEFRINA; NOT FOUND; 10 MG/ML + 9.1 MCG/ML SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
506715402154413; XYLESTESIN COM EPINEFRINA; XYLESTESIN EPINEFRINA; NOT FOUND; 20 MG/ML + 9.1 MCG/ML SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
506715403150411; XYLESTESIN COM EPINEFRINA; XYLESTESIN EPINEFRINA; NOT FOUND; 20 MG/ML + 9.1 MCG/ML SOL INJ CX 10 FA VD INC X 20 ML; CT6
506715302151412; XYLESTESIN; XYLESTESIN; NOT FOUND; 1 PCC SOL INJ CX 10 FA VD INC X 20 ML(EMB HOSP); CT6
506715301153411; XYLESTESIN; XYLESTESIN; NOT FOUND; 10 MG/ML SOL INJ CX 10 EST FA VD INC X 20 ML (EMB HOSP); CT6
506715303172413; XYLESTESIN; XYLESTESIN; NOT FOUND; 100 MG/ML SOL TOP SPRAY CT FR VD INC NEB X 50 ML; CT6
506715304179411; XYLESTESIN; XYLESTESIN; NOT FOUND; 2 PCC GELEIA TOP CX 10 EST SER PLAST PRE-ENCH X 10 G; CT6
506715306155412; XYLESTESIN; XYLESTESIN; NOT FOUND; 20 MG/ML SOL INJ CX 10 EST X FA VD INC X 20 ML (EMB HOSP); CT6
506715307151410; XYLESTESIN; XYLESTESIN; NOT FOUND; 2 PCC SOL INJ CX 10 FA VD INC X 20 ML (EMB. HOSP.); CT6
506715305167417; XYLESTESIN; XYLESTESIN; NOT FOUND; 2 PCC GELEIA TOP CX 10 BG AL X 30 G + APLICADORES; CT6
