506706002157416; FENTANEST; FENTANEST; NOT FOUND; 0.05 MG/ML  SOL INJ CX 25 FA VD INC X 10 ML (EMB HOSP); CT6
506706003153414; FENTANEST; FENTANEST; NOT FOUND; 0.05 MG/ML SOL INJ CX 50 EST X AMP VD INC X 2 ML (EMB HOSP); CT6
506713010050303; FENTANEST; FENTANEST; NOT FOUND; 0.05 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP); CT6
506706001150418; FENTANEST; FENTANEST; NOT FOUND; 0.05 MG/ML SOL INJ CX 25 AMP VD INC X 5 ML (EMB HOSP); CT6
506706004176418; FENTANEST; FENTANEST; NOT FOUND; 25 MCG / H ADES TRANSD CT SACO AL X 10 (REST HOSP); CT6
506706005172416; FENTANEST; FENTANEST; NOT FOUND; 75 MCG / H ADES TRANSD CT SACO AL X 10 (REST HOSP); CT6
506705603157412; FASTFEN; FASTFEN; NOT FOUND; 5 MCG/ML SOL INJ  CX 25 EST  AMP VD INC X 2 ML (EMB HOSP.) ; CT6
506712080046903; FASTFEN; FASTFEN; NOT FOUND; 5 MCG/ML SOL INJ  CX 30 EST AMP VD INC X 2 ML (EMB HOSP) ; CT6
506705602150414; FASTFEN; FASTFEN; NOT FOUND; 50 MCG/ML SOL INJ  CX 25  AMP VD INC X 1 ML (EMB HOSP.); CT6
506705601154416; FASTFEN; FASTFEN; NOT FOUND; 50 MCG/ML SOL INJ  CX 10  AMP VD INC X 5 ML (EMB. HOSP.); CT6
506706101163414; FIBRINASE COM CLORANFENICOL; FIBRINASE CLORANFENICOL; NOT FOUND; 666UI/G + 1UI/G + 10M/G POM DERM CT BG AL X 10 G; CT6
506706102161415; FIBRINASE COM CLORANFENICOL; FIBRINASE CLORANFENICOL; NOT FOUND; 666UI/G + 1UI/G + 10M/G POM DERM CT BG AL X 30 G; CT6
506713050050503; FIBRINASE COM CLORANFENICOL; FIBRINASE CLORANFENICOL; NOT FOUND; 666 U/G + 1U/G + 10M/G POM DERM CX 10 BG AL X 10 G (EMB HOSP) ; CT6
506713050050603; FIBRINASE COM CLORANFENICOL; FIBRINASE CLORANFENICOL; NOT FOUND; 666 U/G + 1U/G + 10M/G POM DERM CX 10 BG AL X 30 G (EMB HOSP); CT6
506705701159411; FENILEFRIN; FENILEFRIN; NOT FOUND; 10 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP); CT6
506719701113411; FLUOXETIN; FLUOXETIN; NOT FOUND; 20 MG CAP GEL DURA CX BL AL PLAS INC X 500; CT6
506706701160416; FUNTYL; FUNTYL; NOT FOUND; 10 MG/G CREM CT BG AL X 20 G; CT6
506706702116410; FUNTYL; FUNTYL; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 14; CT6
506706703112419; FUNTYL; FUNTYL; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 28; CT6
506706301111418; FLUFENAN; FLUFENAN; NOT FOUND; 5 MG COM REV CX 20 BL AL PLAS INC X 10 (EMB HOSP); CT6
506706401159412; FLUFENAN DEPOT; FLUFENAN DEPOT; NOT FOUND; 25 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP); CT6
506705803156411; FENITAL; FENITAL; NOT FOUND; 50 MG/ML SOL INJ CX 50 AMP VD INC X 5 ML (EMB. HOSP.); CT6
506705901115416; FENOCRIS; FENOCRIS; NOT FOUND; 100 MG COM CX BL AL PLAS INC X 200 (EMB HOSP); CT6
506705902154415; FENOCRIS; FENOCRIS; NOT FOUND; 100 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP); CT6
506705903134418; FENOCRIS; FENOCRIS; NOT FOUND; 40MG/ML SOL OR CX 10 FR VD AMB X 20 ML + GOT (EMB HOSP) ; CT6
506714060053203; FLUCAZOL; FLUCAZOL; NOT FOUND; 100 MG CAP GEL DURA CX BL AL PLAS INC X 100 (EMB FRAC) ; CT6
506706201117414; FLUCAZOL; FLUCAZOL; NOT FOUND; 100 MG CAP GEL DURA CT  BL AL PLAS INC X 8 ; CT6
506706203152411; FLUCAZOL; FLUCAZOL; NOT FOUND; 2 MG/ML SOL INJ INFUS IV CX FR VD INC X 100 ML; CT6
506706202113412; FLUCAZOL; FLUCAZOL; NOT FOUND; 50 MG CAP GEL DURA CT  BL AL PLAS INC X 8; CT6
506706501153416; FLUMAZIL; FLUMAZIL; NOT FOUND; 0.1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML; CT6
506712050046306; FUMARATO DE TENOFOVIR DESOPROXILA; FUMARATO TENOFOVIR DESOPROXILA; FUMARATO TENOFOVIR DESOPROXILA; 300 MG COM REV FR PLAS OPC X 30; CT6
506719402116115; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 14; CT6
506719405115111; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); CT6
506719403112113; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 28; CT6
506719404119111; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 14; CT6
506719406111118; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); CT6
506719401111111; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 28; CT6
