506714501159415; TRACUR; TRACUR; NOT FOUND; 10 MG/ML SOL INJ CX 25 AMP VD INC X 2.5 ML; CT6
506714503151411; TRACUR; TRACUR; NOT FOUND; 10 MG/ML SOL INJ CX 05 AMP VD AMB X 2.5 ML; CT6
506714502155413; TRACUR; TRACUR; NOT FOUND; 10 MG/ML SOL INJ CX 25 AMP VD INC X 5 ML; CT6
506714504158411; TRACUR; TRACUR; NOT FOUND; 10 MG/ML SOL INJ CX 05 AMP VD AMB X 5 ML; CT6
506713902117413; TEGRETARD; TEGRETARD; NOT FOUND; 200 MG COM CT 2 BL AL PLAS INC X 10; CT6
506713901110415; TEGRETARD; TEGRETARD; NOT FOUND; 200 MG COM CX 20 BL AL PLAS INC X 10 (EMB HOSP); CT6
506713904111412; TEGRETARD; TEGRETARD; NOT FOUND; 400 MG COM CT 2 BL AL PLAS INC X 10; CT6
506713903113411; TEGRETARD; TEGRETARD; NOT FOUND; 400 MG COM CX 20 ENV AL POLIET X 10 (EMB HOSP); CT6
506714602117416; TRAMADON; TRAMADON; NOT FOUND; 100MG COM REV CT BL AL PLAS OPC  X 10; CT6
506714609146411; TRAMADON; TRAMADON; NOT FOUND; 100 MG SUP RET CT STR X 5; CT6
506714601137413; TRAMADON; TRAMADON; NOT FOUND; 100 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; CT6
506714608115415; TRAMADON; TRAMADON; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS OPC X 10; CT6
506714607119417; TRAMADON; TRAMADON; NOT FOUND; 50 MG CAP GEL DURA CT 10 BL AL PLAS OPC X 10; CT6
506714603156415; TRAMADON; TRAMADON; NOT FOUND; 50 MG/ ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP); CT6
506714605159411; TRAMADON; TRAMADON; NOT FOUND; 50MG/ML SOL INJ CT 6  AMP VD INC X 1 ML; CT6
506714604152413; TRAMADON; TRAMADON; NOT FOUND; 50 MG/ ML SOL INJ CX 100 AMP VD INC X 2 ML (EMB HOSP); CT6
506714606155411; TRAMADON; TRAMADON; NOT FOUND; 50 MG/ ML SOL INJ CT 6 AMP VD INC X 2 ML; CT6
506714001156417; TENSURIL; TENSURIL; NOT FOUND; 15 MG/ML SOL INJ CT AMP VD INC X 20 ML; CT6
506717801137411; TANOHALO; TANOHALO; NOT FOUND; 1 ML/ML SOL INAL CT FR VD AMB X 100 ML; CT6
506707102171419; TANOHALO; TANOHALO; NOT FOUND; 1 ML/ML SOL INAL CT FR VD AMB X 250 ML; CT6
506714702154410; TRIDIL; TRIDIL; NOT FOUND; 5 MG/ML SOL INJ CT  AMP VD AMB X 10 ML; CT6
506714704157311; TRIDIL; TRIDIL; NOT FOUND; 5 MG/ML SOL INJ CX 10 AMP VD AMB X 10 ML; CT6
506714701158412; TRIDIL; TRIDIL; NOT FOUND; 5 MG/ML SOL INJ CT AMP VD AMB X 5 ML; CT6
506714703150311; TRIDIL; TRIDIL; NOT FOUND; 5 MG/ML SOL INJ CX 10 AMP VD AMB X 5 ML; CT6
506719201153110; TENOXICAM; TENOXICAM; TENOXICAM; 20 MG PO LIOF P/ SOL INJ CX 50 FA VD INC + AMP DIL X 2 ML; CT6
506719202151111; TENOXICAM; TENOXICAM; TENOXICAM; 40 MG PO LIOF P/ SOL INJ CX 50 FA VD INC + AMP DIL X 2 ML; CT6
506714201163115; TINIDAZOL +MICONAZOL; TINIDAZOL MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC; CT6
506714301168410; TINIDAZOL+NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC; CT6
506714101150410; THIOPENTAX; THIOPENTAX; NOT FOUND; 0.5 G PO SOL INJ CX 25 FA VD INC + 25 DIL (EMB HOSP); CT6
506714102157419; THIOPENTAX; THIOPENTAX; NOT FOUND; 1 G PO SOL INJ CX 25 FA VD INC (EMB HOSP); CT6
506714401170115; TOBRAMICINA; TOBRAMICINA; TOBRAMICINA; 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; CT6
