11379; XANTINON B12 ; XANTINON B12; NOT FOUND; DRAG x 100; TAK
11380; XANTINON B12 ; XANTINON B12; NOT FOUND; DRAG x 20; TAK
11381; XANTINON B12 ; XANTINON B12; NOT FOUND; LIQD 100 ML x 1; TAK
11377; XANTINON B12 INJET ; XANTINON B12 INJET; NOT FOUND; A.IM 5 ML x 3; TAK
11378; XANTINON B12 INJET ; XANTINON B12 INJET; NOT FOUND; A.IM 5 ML x 96; TAK
73268; XANTINON COMPLE NF ; XANTINON COMPLE NF; NOT FOUND; FLACONETES 10 ML x 12; TAK
75809; XANTINON COMPLE NF ; XANTINON COMPLE NF; NOT FOUND; FLACONETES 10 ML x 60; TAK
73267; XANTINON COMPLE NF ; XANTINON COMPLE NF; NOT FOUND; LIQD 100 ML x 1; TAK
49629; XANTINON COMPLEX ; XANTINON COMPLEX; NOT FOUND; FLACONETES 10 ML x 12; TAK
73270; XANTINON NF ; XANTINON NF; NOT FOUND; CPR REVEST x 100; TAK
73269; XANTINON NF ; XANTINON NF; NOT FOUND; CPR REVEST x 20; TAK
85187; XANTINON NF ; XANTINON NF; NOT FOUND; CPR REVEST x 30; TAK
