69590; ACALMIL ; ACALMIL; NOT FOUND; CPR REVEST x 20; MB9
71650; ACALMIL ; ACALMIL; NOT FOUND; CPR REVEST x 40; MB9
77639; ACECLOFENACO MG ; ACECLOFENACO; ACECLOFENACO; CPR REVEST 100 MG x 12; MB9
71533; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CREME 50 MG 10 G x 1 (/G); MB9
78032; ALCACHOFRA ; ALCACHOFRA; NOT FOUND; CPR 200 MG x 120; MB9
78033; ALCACHOFRA ; ALCACHOFRA; NOT FOUND; CPR 200 MG x 240; MB9
77320; ALCACHOFRA ; ALCACHOFRA; NOT FOUND; CPR 200 MG x 30; MB9
78034; ALCACHOFRA ; ALCACHOFRA; NOT FOUND; CPR 200 MG x 60; MB9
66581; ALOPURIMILIUM ; ALOPURIMILIUM; NOT FOUND; CPR 100 MG x 30; MB9
66582; ALOPURIMILIUM ; ALOPURIMILIUM; NOT FOUND; CPR 300 MG x 30; MB9
79885; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 15; MB9
79886; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; MB9
81771; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP ORAL 250 MG 150 ML x 1; MB9
81773; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP ORAL 250 MG 60 ML x 1; MB9
81772; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP ORAL 500 MG 150 ML x 1; MB9
61624; AMPICILAB ; AMPICILAB; NOT FOUND; CAPS 500 MG x 10; MB9
71305; AMPICILAB ; AMPICILAB; NOT FOUND; CAPS 500 MG x 200; MB9
68722; AMPICILAB ; AMPICILAB; NOT FOUND; CAPS 500 MG x 600; MB9
61625; AMPICILAB ; AMPICILAB; NOT FOUND; PO P/SUSP 250 MG 60 ML x 1 (/5ML); MB9
76069; AMPICILINA MG ; AMPICILINA; AMPICILINA; CAPS 500 MG x 10; MB9
74754; AQUABEN ; AQUABEN; NOT FOUND; PO ENV.COCO 27.9 G x 4; MB9
74755; AQUABEN ; AQUABEN; NOT FOUND; PO ENV.FRAMB 27.9 G x 4; MB9
74756; AQUABEN ; AQUABEN; NOT FOUND; PO ENV.NATU 27.9 G x 4; MB9
74757; AQUABEN ; AQUABEN; NOT FOUND; PO ENV.UVA 27.9 G x 4; MB9
73103; ARNICA ; ARNICA; NOT FOUND; GEL MENTA 30 G x 1; MB9
73102; ARNICA ; ARNICA; NOT FOUND; GEL. 30 G x 1; MB9
66297; ATENOLAB ; ATENOLAB; NOT FOUND; CPR 100 MG x 28; MB9
94309; ATENOLAB ; ATENOLAB; NOT FOUND; CPR 100 MG x 30; MB9
70833; ATENOLAB ; ATENOLAB; NOT FOUND; CPR 100 MG x 700; MB9
80930; ATENOLAB ; ATENOLAB; NOT FOUND; CPR 25 MG x 28; MB9
93130; ATENOLAB ; ATENOLAB; NOT FOUND; CPR 25 MG x 30; MB9
61626; ATENOLAB ; ATENOLAB; NOT FOUND; CPR 50 MG x 28; MB9
94306; ATENOLAB ; ATENOLAB; NOT FOUND; CPR 50 MG x 30; MB9
86868; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 28; MB9
94316; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 30; MB9
86870; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 25 MG x 28; MB9
94311; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 25 MG x 30; MB9
86872; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 50 MG x 28; MB9
94313; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 50 MG x 30; MB9
66426; AZITROLAB ; AZITROLAB; NOT FOUND; CPR 1 G x 1; MB9
66427; AZITROLAB ; AZITROLAB; NOT FOUND; CPR 500 MG x 3; MB9
74893; AZITROLAB ; AZITROLAB; NOT FOUND; CPR 500 MG x 6; MB9
66428; AZITROLAB ; AZITROLAB; NOT FOUND; PO P/SUSP 600 MG 15 ML x 1; MB9
66429; AZITROLAB ; AZITROLAB; NOT FOUND; PO P/SUSP 900 MG 22.5 ML x 1; MB9
