78980; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 200; MB9
75612; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; MB9
71580; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; MB9
61692; PARATONICO ; PARATONICO; NOT FOUND; LIQD 500 ML x 1; MB9
77038; PROCTOX-H ; PROCTOX H; NOT FOUND; POM+6APL 20 G x 1; MB9
68943; PRONOLOL ; PRONOLOL; NOT FOUND; CPR 40 MG x 20; MB9
68944; PRONOLOL ; PRONOLOL; NOT FOUND; CPR 40 MG x 40; MB9
68945; PRONOLOL ; PRONOLOL; NOT FOUND; CPR 80 MG x 20; MB9
100205; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; CREME 30 G x 1; MB9
94208; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; POM. 50 MG 30 G x 1 (/G); MB9
94213; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; SOL CAP 0.50 MG 50 G x 1 (/G); MB9
