69733; CAPTOLAB ; CAPTOLAB; NOT FOUND; CPR 12.5 MG x 30; MB9
61627; CAPTOLAB ; CAPTOLAB; NOT FOUND; CPR 25 MG x 30; MB9
74320; CAPTOLAB ; CAPTOLAB; NOT FOUND; CPR 25 MG x 60; MB9
69221; CAPTOLAB ; CAPTOLAB; NOT FOUND; CPR 25 MG x 750; MB9
69597; CAPTOLAB ; CAPTOLAB; NOT FOUND; CPR 50 MG x 30; MB9
67094; CAPTOMAX ; CAPTOMAX; NOT FOUND; CPR 12.5 MG x 30; MB9
66596; CAPTOMAX ; CAPTOMAX; NOT FOUND; CPR 25 MG x 30; MB9
66598; CAPTOMAX ; CAPTOMAX; NOT FOUND; CPR 50 MG x 30; MB9
85665; CARDIX ; CARDIX; NOT FOUND; CPR 40 MG x 30; MB9
69222; CARDIX ; CARDIX; NOT FOUND; CPR 40 MG x 40; MB9
69223; CARDIX ; CARDIX; NOT FOUND; CPR 80 MG x 20; MB9
81747; CASTANHA DA INDIA ; CASTANHA INDIA; NOT FOUND; CPR REVEST 170 MG x 30; MB9
81745; CASTANHA DA INDIA ; CASTANHA INDIA; NOT FOUND; CPR REVEST 170 MG x 60; MB9
79150; CECOFENE ; CECOFENE; NOT FOUND; CPR 100 MG x 12; MB9
66816; CEFAGEL ; CEFAGEL; NOT FOUND; CAPS 500 MG x 10; MB9
67449; CEFAGEL ; CEFAGEL; NOT FOUND; CAPS 500 MG x 500; MB9
112512; CEFAGEL ; CEFAGEL; NOT FOUND; SUSP ORAL 250 MG 100 ML x 1 (/5ML); MB9
66300; CETOCONALAB ; CETOCONALAB; NOT FOUND; CPR 200 MG x 10; MB9
69450; CETOCONALAB ; CETOCONALAB; NOT FOUND; CPR 200 MG x 500; MB9
61630; CETOCONALAB CREME ; CETOCONALAB CREME; NOT FOUND; CREME 20 MG 30 G x 1; MB9
61631; CETOCONALAB SHAMPO ; CETOCONALAB SHAMPO; NOT FOUND; XAMP 20 MG 100 ML x 1 (/ML); MB9
156857; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CREME 30 G x 1; MB9
86917; CICLATRY ; CICLATRY; NOT FOUND; CPR REV . 500 MG x 14; MB9
77763; CIMETIDINA MG ; CIMETIDINA; CIMETIDINA; CPR REVEST 200 MG x 40; MB9
77764; CIMETIDINA MG ; CIMETIDINA; CIMETIDINA; CPR REVEST 400 MG x 20; MB9
61632; CIMETILAB ; CIMETILAB; NOT FOUND; CPR 200 MG x 40; MB9
61633; CIMETILAB ; CIMETILAB; NOT FOUND; CPR 400 MG x 20; MB9
61758; CLOMAG ; CLOMAG; NOT FOUND; SACH.DISPLAY 33 G x 24; MB9
97178; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 30; MB9
96364; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 5 MG x 30; MB9
78478; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; MB9
109694; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR 20 MG x 30; MB9
77963; CLOTRIMAZOL CR MG ; CLOTRIMAZOL CR; NOT FOUND; CREME DERM 10 MG 20 G x 1 (/G); MB9
77962; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CR.VAG. 6APL 20 MG 35 G x 1 (/G); MB9
64091; COCICHIMIL ; COCICHIMIL; NOT FOUND; CPR 0.50 MG x 20; MB9
114475; COLPLEN ; COLPLEN; NOT FOUND; GEL VAG 10AP 100 MG 50 G x 1 (/G); MB9
131301; CONTHENC ; CONTHENC; NOT FOUND; CPR 500 MG x 30; MB9
61634; CORTITOP ; CORTITOP; NOT FOUND; CREME 10 G x 1; MB9
93132; CORTITOP ; CORTITOP; NOT FOUND; ELIXIR 0.10 MG 100 ML x 1 (/ML); MB9
114495; COSELEN ; COSELEN; NOT FOUND; SOL TOP. 10 ML x 1; MB9
