77321, BRONCOFEDRIN , BRONCOFEDRIN, NOT FOUND, XAR. 0.40 MG 100 ML x 1 (/ML), MB9
96529, BUPROVIL , BUPROVIL, NOT FOUND, CPR REVEST 300 MG x 20, MB9
76367, BUPROVIL , BUPROVIL, NOT FOUND, CPR REVEST 300 MG x 200, MB9
70751, BUPROVIL , BUPROVIL, NOT FOUND, CPR REVEST 300 MG x 30, MB9
71651, BUPROVIL , BUPROVIL, NOT FOUND, CPR REVEST 300 MG x 600, MB9
70754, BUPROVIL , BUPROVIL, NOT FOUND, GOTAS 50 MG 30 ML x 1 (/ML), MB9
70753, BUPROVIL , BUPROVIL, NOT FOUND, SUSP 20 MG 100 ML x 1 (/ML), MB9
96651, BUPROVIL 600 , BUPROVIL 600, NOT FOUND, CPR REVEST 600 MG x 20, MB9
76368, BUPROVIL 600 , BUPROVIL 600, NOT FOUND, CPR REVEST 600 MG x 200, MB9
70752, BUPROVIL 600 , BUPROVIL 600, NOT FOUND, CPR REVEST 600 MG x 30, MB9
71652, BUPROVIL 600 , BUPROVIL 600, NOT FOUND, CPR REVEST 600 MG x 600, MB9
